acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC,Micromonacha lanceolata,"(Deville, 1849)",Lanceolated Monklet,
"Picumnus olivaceus Lafresnaye, 1845",894,SPECIES,ACCEPTED,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC,Picumnus olivaceus,"Lafresnaye, 1845",Olivaceous Piculet,"Picumnus olivaceus harterti, 0.002242152466367713"
"Dryocopus lineatus (Linnaeus, 1766)",741,SPECIES,ACCEPTED,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE,Dryocopus lineatus,"(Linnaeus, 1766)",Lineated Woodpecker,"Dryocopus lineatus fuscipennis, 0.0040650406504065045"
"Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC,Melanerpes pucherani,"(Malherbe, 1849)",Black-cheeked Woodpecker,
"Veniliornis callonotus (Waterhouse, 1841)",697,SPECIES,SYNONYM,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,NE,Dryobates callonotus,"(Waterhouse, 1841)",Scarlet-backed Woodpecker,
"Veniliornis callonotus (Waterhouse, 1841)",4,SPECIES,ACCEPTED,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,LC,Veniliornis callonotus,"(Waterhouse, 1841)",Scarlet-backed Woodpecker,
"Veniliornis kirkii (Malherbe, 1845)",22,SPECIES,SYNONYM,Veniliornis,2478338.0,Veniliornis kirkii,2478367.0,NE,Dryobates kirkii,"(Malherbe, 1845)",Red-rumped Woodpecker,
"Veniliornis dignus (P.L.Sclater & Salvin, 1877)",6,SPECIES,SYNONYM,Veniliornis,2478338.0,Veniliornis dignus,2478378.0,NE,Dryobates dignus,"(P.L.Sclater & Salvin, 1877)",,
"Celeus loricatus (Reichenbach, 1854)",13,SPECIES,ACCEPTED,Celeus,2478432.0,Celeus loricatus,5228950.0,LC,Celeus loricatus,"(Reichenbach, 1854)",Cinnamon Woodpecker,
"Campephilus melanoleucos (J.F.Gmelin, 1788)",1,SPECIES,ACCEPTED,Campephilus,2478560.0,Campephilus melanoleucos,2478564.0,LC,Campephilus melanoleucos,"(J.F.Gmelin, 1788)",Crimson-crested Woodpecker,
"Campephilus pollens (Bonaparte, 1845)",219,SPECIES,ACCEPTED,Campephilus,2478560.0,Campephilus pollens,2478569.0,LC,Campephilus pollens,"(Bonaparte, 1845)",Powerful Woodpecker,"Campephilus pollens pollens, 0.013888888888888888"
"Campephilus gayaquilensis (R.Lesson, 1845)",1861,SPECIES,ACCEPTED,Campephilus,2478560.0,Campephilus gayaquilensis,2478579.0,LC,Campephilus gayaquilensis,"(R.Lesson, 1845)",Guayaquil Woodpecker,
"Campephilus haematogaster (Tschudi, 1844)",79,SPECIES,ACCEPTED,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,LC,Campephilus haematogaster,"(Tschudi, 1844)",Crimson-bellied Woodpecker,"Campephilus haematogaster splendens, 0.01282051282051282"
"Leuconotopicus fumigatus (d'Orbigny, 1840)",2282,SPECIES,SYNONYM,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,NE,Dryobates fumigatus,"(d'Orbigny, 1840)",Smoky-brown Woodpecker,
"Leuconotopicus fumigatus (d'Orbigny, 1840)",14,SPECIES,ACCEPTED,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,LC,Leuconotopicus fumigatus,"(d'Orbigny, 1840)",Smoky-brown Woodpecker,"Leuconotopicus fumigatus fumigatus, 0.625; Leuconotopicus fumigatus obscuratus, 0.07692307692307693"
"Colaptes rivolii (Boissonneau, 1840)",77,SPECIES,ACCEPTED,Colaptes,11016979.0,Colaptes rivolii,7340159.0,LC,Colaptes rivolii,"(Boissonneau, 1840)",Crimson-mantled Woodpecker,
"Colaptes rubiginosus (Swainson, 1820)",3218,SPECIES,ACCEPTED,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,LC,Colaptes rubiginosus,"(Swainson, 1820)",Golden-olive Woodpecker,"Colaptes rubiginosus rubripileus, 0.0009331259720062209"
"Ramphastos brevis Meyer de Schauensee, 1945",6618,SPECIES,ACCEPTED,Ramphastos,2478764.0,Ramphastos brevis,2478769.0,LC,Ramphastos brevis,"Meyer de Schauensee, 1945",Choco Toucan,
"Ramphastos ambiguus Swainson, 1823",6532,SPECIES,ACCEPTED,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,NT,Ramphastos ambiguus,"Swainson, 1823",Yellow-throated Toucan,"Ramphastos ambiguus swainsonii, 0.0009193993257738277"
"Pteroglossus torquatus (J.F.Gmelin, 1788)",5394,SPECIES,ACCEPTED,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,LC,Pteroglossus torquatus,"(J.F.Gmelin, 1788)",Collared Aracari,"Pteroglossus torquatus erythropygius, 0.010680157391793142"
"Pteroglossus erythropygius Gould, 1843",64,SPECIES,ACCEPTED,Pteroglossus,2478813.0,Pteroglossus erythropygius,2478842.0,LC,Pteroglossus erythropygius,"Gould, 1843",Pale-mandibled Aracari,
"Andigena laminirostris Gould, 1851",195,SPECIES,ACCEPTED,Andigena,2478852.0,Andigena laminirostris,2478861.0,NT,Andigena laminirostris,"Gould, 1851",Plate-billed Mountain Toucan,
