taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2496211	Crotophaga sulcirostris Swainson, 1827	2496211	Crotophaga sulcirostris Swainson, 1827	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Crotophaga	2496208	Crotophaga sulcirostris	2496211	LC
2496432	Piaya cayana (Linnaeus, 1766)	2496432	Piaya cayana (Linnaeus, 1766)	4912	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Piaya	2496427	Piaya cayana	2496432	LC
2496700	Trogon collaris Vieillot, 1817	2496700	Trogon collaris Vieillot, 1817	233	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Trogoniformes	1449	Trogonidae	9356	Trogon	2496633	Trogon collaris	2496700	LC
2496720	Pharomachrus auriceps (Gould, 1842)	2496720	Pharomachrus auriceps (Gould, 1842)	3775	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Trogoniformes	1449	Trogonidae	9356	Pharomachrus	2496714	Pharomachrus auriceps	2496720	LC
9422220	Spatula discors (Linnaeus, 1766)	9422220	Spatula discors (Linnaeus, 1766)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Spatula	4850990	Spatula discors	9422220	LC
6177784	Trogon personatus assimilis Gould, 1846	6177784	Trogon personatus assimilis Gould, 1846	9	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Trogoniformes	1449	Trogonidae	9356	Trogon	2496633	Trogon personatus	2496673	
7340159	Colaptes rivolii (Boissonneau, 1840)	7340159	Colaptes rivolii (Boissonneau, 1840)	77	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Colaptes	11016979	Colaptes rivolii	7340159	LC
2488206	Tangara lavinia (Cassin, 1858)	2488206	Tangara lavinia (Cassin, 1858)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Tangara	2488096	Tangara lavinia	2488206	LC
2490029	Dysithamnus puncticeps Salvin, 1866	2490029	Dysithamnus puncticeps Salvin, 1866	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Dysithamnus	2490027	Dysithamnus puncticeps	2490029	LC
6174610	Myiozetetes cayanensis hellmayri Hartert & Goodson, 1917	6174610	Myiozetetes cayanensis hellmayri Hartert & Goodson, 1917	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiozetetes	2482912	Myiozetetes cayanensis	2482921	
2476632	Phaethornis atrimentalis Lawrence, 1858	2476632	Phaethornis atrimentalis Lawrence, 1858	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Phaethornis	2476571	Phaethornis atrimentalis	2476632	LC
2488242	Tangara xanthocephala (Tschudi, 1844)	2488242	Tangara xanthocephala (Tschudi, 1844)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Tangara	2488096	Tangara xanthocephala	2488242	LC
4843093	Strix nigrolineata (P.L.Sclater, 1859)	4843093	Strix nigrolineata (P.L.Sclater, 1859)	206	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Strix	2497486	Strix nigrolineata	4843093	LC
2474383	Fulica ardesiaca Tschudi, 1843	2474383	Fulica ardesiaca Tschudi, 1843	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Fulica	2474376	Fulica ardesiaca	2474383	LC
2483326	Myiotheretes striaticollis (P.L.Sclater, 1853)	2483326	Myiotheretes striaticollis (P.L.Sclater, 1853)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Myiotheretes	2483325	Myiotheretes striaticollis	2483326	LC
2485937	Campylorhamphus pusillus (P.L.Sclater, 1860)	2485937	Campylorhamphus pusillus (P.L.Sclater, 1860)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Campylorhamphus	2485916	Campylorhamphus pusillus	2485937	LC
7742615	Clibanornis rubiginosus nigricauda (Hartert & Ejo, 1898)	5230274	Automolus rubiginosus nigricauda Hartert, 1898	4	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Automolus	2485730	Automolus rubiginosus	5230262	
2479917	Pionus sordidus (Linnaeus, 1758)	2479917	Pionus sordidus (Linnaeus, 1758)	4816	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Pionus	2479900	Pionus sordidus	2479917	LC
8345406	Vireo chivi (Vieillot, 1817)	6090418	Vireo olivaceus chivi (Vieillot, 1817)	2418	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Vireo	2487406	Vireo olivaceus	2487430	LC
2490518	Grallaria haplonota P.L.Sclater, 1877	2490518	Grallaria haplonota P.L.Sclater, 1877	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Grallariidae	6101110	Grallaria	2490516	Grallaria haplonota	2490518	LC
5230649	Diglossa albilatera Lafresnaye, 1843	5230649	Diglossa albilatera Lafresnaye, 1843	141	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Diglossa	2488798	Diglossa albilatera	5230649	LC
2495358	Zenaida auriculata (Des Murs, 1847)	2495358	Zenaida auriculata (Des Murs, 1847)	149	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Zenaida	2495346	Zenaida auriculata	2495358	LC
6178527	Streptoprocne zonaris subtropicalis Parkes, 1994	6178527	Streptoprocne zonaris subtropicalis Parkes, 1994	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Apodidae	2993	Streptoprocne	2477070	Streptoprocne zonaris	2477082	
8360089	Euchrepomis callinota (P.L.Sclater, 1855)	2490016	Terenura callinota (P.L.Sclater, 1855)	257	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Terenura	2490011	Terenura callinota	2490016	LC
2490517	Grallaria gigantea Lawrence, 1866	2490517	Grallaria gigantea Lawrence, 1866	96	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Grallariidae	6101110	Grallaria	2490516	Grallaria gigantea	2490517	VU
2495314	Patagioenas plumbea (Vieillot, 1818)	2495314	Patagioenas plumbea (Vieillot, 1818)	2414	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Patagioenas	2495265	Patagioenas plumbea	2495314	LC
7192350	Pachyramphus homochrous homochrous	7192350	Pachyramphus homochrous homochrous	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Pachyramphus	2486256	Pachyramphus homochrous	5230358	
2487426	Vireo flavoviridis (Cassin, 1851)	2487426	Vireo flavoviridis (Cassin, 1851)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Vireonidae	9358	Vireo	2487406	Vireo flavoviridis	2487426	LC
7340209	Coccycua minuta (Vieillot, 1817)	2496428	Piaya minuta (Vieillot, 1817)	1215	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Piaya	2496427	Piaya minuta	2496428	LC
2479606	Amazona farinosa (Boddaert, 1783)	2479606	Amazona farinosa (Boddaert, 1783)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Amazona	2479603	Amazona farinosa	2479606	LC
2488336	Bangsia edwardsi (D.G.Elliot, 1865)	2488336	Bangsia edwardsi (D.G.Elliot, 1865)	28	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Bangsia	2488329	Bangsia edwardsi	2488336	LC
2490802	Catharus fuscater (Lafresnaye, 1845)	2490802	Catharus fuscater (Lafresnaye, 1845)	49	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Catharus	2490799	Catharus fuscater	2490802	LC
2491738	Amaurospiza moesta (Hartlaub, 1853)	2491738	Amaurospiza moesta (Hartlaub, 1853)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Amaurospiza	2491732	Amaurospiza moesta	2491738	LC
2479913	Pionus tumultuosus (Tschudi, 1844)	2479913	Pionus tumultuosus (Tschudi, 1844)	78	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Pionus	2479900	Pionus tumultuosus	2479913	LC
2480868	Tigrisoma fasciatum (Such, 1825)	2480868	Tigrisoma fasciatum (Such, 1825)	362	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Tigrisoma	2480866	Tigrisoma fasciatum	2480868	LC
2493812	Thryothorus nigricapillus P.L.Sclater, 1860	7341063	Cantorchilus nigricapillus (P.L.Sclater, 1860)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Cantorchilus	7341033	Cantorchilus nigricapillus	7341063	LC
6173063	Basileuterus tristriatus daedalus Bangs, 1908	6173063	Basileuterus tristriatus daedalus Bangs, 1908	23	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Basileuterus	2489731			
6173768	Volatinia jacarina peruviensis (Peale, 1849)	6173768	Volatinia jacarina peruviensis (Peale, 1849)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Volatinia	2491740	Volatinia jacarina	2491741	
