sort v2024,species_code,English name,scientific name,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName
914.0,siwgua1,Sickle-winged Guan,Chamaepetes goudotii,2482183,2482183,"Chamaepetes goudotii (R.Lesson, 1828)",740,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,Chamaepetes goudotii,"(R.Lesson, 1828)",Sickle-winged guan
,,,,6177862,6177862,"Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,,Chamaepetes goudotii fagani,"C.Chubb, 1917",Sickle-winged guan
864.0,andgua1,Andean Guan,Penelope montagnii,2482198,2482198,"Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,Penelope montagnii,"(Bonaparte, 1856)",Andean guan
863.0,baugua1,Baudo Guan,Penelope ortoni,2482216,2482216,"Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,Penelope ortoni,"Salvin, 1874",Baudo guan
887.0,cregua1,Crested Guan,Penelope purpurascens,2482225,2482225,"Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,Penelope purpurascens,"Wagler, 1830",Crested guan
912.0,watgua1,Wattled Guan,Aburria aburri,2482313,2482313,"Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Cracidae,5237.0,Aburria,2482290.0,Aburria aburri,2482313.0,NT,Aburria aburri,"(R.Lesson, 1828)",Wattled guan
1124.0,rfwqua1,Rufous-fronted Wood-Quail,Odontophorus erythrops,5228045,5228045,"Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,Odontophorus erythrops,"Gould, 1859",Rufous-fronted wood quail
1128.0,dbwqua1,Dark-backed Wood-Quail,Odontophorus melanonotus,5228049,5228049,"Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,Odontophorus melanonotus,"Gould, 1861",Dark-backed wood quail
10393.0,rutjac1,Rufous-tailed Jacamar,Galbula ruficauda,5228236,5228236,"Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Galbulidae,5244.0,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC,Galbula ruficauda,"Cuvier, 1816",Rufous-tailed jacamar
10319.0,whwpuf1,White-whiskered Puffbird,Malacoptila panamensis,2475147,2475147,"Malacoptila panamensis Lafresnaye, 1847",76,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC,Malacoptila panamensis,"Lafresnaye, 1847",White-whiskered puffbird
,,,,6180305,6180305,"Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,,Malacoptila panamensis poliopis,"P.L.Sclater, 1862",White-whiskered puffbird
10292.0,barpuf1,Barred Puffbird,Nystalus radiatus,2475200,2475200,"Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Bucconidae,5703.0,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC,Nystalus radiatus,"(P.L.Sclater, 1854)",Barred puffbird
10351.0,whfnun2,White-faced Nunbird,Hapaloptila castanea,2475205,2475205,"Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Bucconidae,5703.0,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC,Hapaloptila castanea,"(J.Verreaux, 1866)",White-faced nunbird
10329.0,lanmon1,Lanceolated Monklet,Micromonacha lanceolata,2475207,2475207,"Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Bucconidae,5703.0,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC,Micromonacha lanceolata,"(Deville, 1849)",Lanceolated monklet
10980.0,olipic1,Olivaceous Piculet,Picumnus olivaceus,5228725,5228725,"Picumnus olivaceus Lafresnaye, 1845",892,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC,Picumnus olivaceus,"Lafresnaye, 1845",Olivaceous piculet
,,,,5228729,5228729,"Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,,Picumnus olivaceus harterti,"Hellmayr, 1909",Olivaceous piculet
11639.0,linwoo1,Lineated Woodpecker,Dryocopus lineatus,5228831,5228831,"Dryocopus lineatus (Linnaeus, 1766)",738,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE,Dryocopus lineatus,"(Linnaeus, 1766)",Lineated woodpecker
,,,,5228833,5228833,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,,Dryocopus lineatus fuscipennis,"P.L.Sclater, 1860",Lineated woodpecker
11049.0,blcwoo1,Black-cheeked Woodpecker,Melanerpes pucherani,2478068,2478068,"Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Picidae,9333.0,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC,Melanerpes pucherani,"(Malherbe, 1849)",Black-cheeked woodpecker
11381.0,scbwoo3,Scarlet-backed Woodpecker,Dryobates callonotus,10680427,2478357,"Veniliornis callonotus (Waterhouse, 1841)",697,SPECIES,SYNONYM,Animalia,1,Chordata,44,Aves,212,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,NE,Dryobates callonotus,"(Waterhouse, 1841)",Scarlet-backed woodpecker
