,scientificName,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,synScientificName,accScientificName,synSplitExtras,accSplitExtras,Unnamed: 0,sort v2024,14.1,speciesCode_eBird,scientificName_Clements,scientificName_IOC,commonName_Clements,commonName_IOC,rank_Clements,rank_IOC,species_Clements,genus_Clements,family_Clements,species_IOC,genus_IOC,family_IOC,family_english_Clements,order_IOC,order_english_Clements,authority_IOC,extinct_Clements,extinctYear_Clements,extinct_Clements.1,range_Clements,breedingRange_IOC,nonbreedingRange_IOC
10,"Malacoptila panamensis poliopis P.L.Sclater, 1862","Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,,,Malacoptila panamensis poliopis,,"P.L.Sclater, 1862",16831,10322.0,9797,whwpuf4,Malacoptila panamensis poliopis,Malacoptila panamensis poliopis,,,subspecies,ssp,Malacoptila panamensis,Malacoptila,Bucconidae,Malacoptila panamensis,Malacoptila,Bucconidae,Bucconidae (Puffbirds),Piciformes,Galbuliformes,"Sclater, PL, 1862",,,,tropical southwestern Colombia and western Ecuador,sw Colombia and w Ecuador,
11,"Nystalus radiatus (P.L.Sclater, 1854)","Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC,,Nystalus radiatus,,"(P.L.Sclater, 1854)",19856,10292.0,9764,barpuf1,Nystalus radiatus,Nystalus radiatus,Barred Puffbird,Barred Puffbird,species,Species,,Nystalus,Bucconidae,,Nystalus,Bucconidae,Bucconidae (Puffbirds),Piciformes,Galbuliformes,"(Sclater, PL, 1854)",,,,humid forest of western Panama to western Ecuador,"MA, SA : Panama to w Ecuador",
12,"Hapaloptila castanea (J.Verreaux, 1866)","Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC,,Hapaloptila castanea,,"(J.Verreaux, 1866)",13587,10351.0,9823,whfnun2,Hapaloptila castanea,Hapaloptila castanea,White-faced Nunbird,White-faced Nunbird,species,Species,,Hapaloptila,Bucconidae,,Hapaloptila,Bucconidae,Bucconidae (Puffbirds),Piciformes,Galbuliformes,"(Verreaux, J, 1866)",,,,locally in Andean foothills of western Colombia to northwestern Peru,"SA : w Colombia, c Ecuador and nw Peru",
13,"Micromonacha lanceolata (Deville, 1849)","Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC,,Micromonacha lanceolata,,"(Deville, 1849)",17902,10329.0,9800,lanmon1,Micromonacha lanceolata,Micromonacha lanceolata,Lanceolated Monklet,Lanceolated Monklet,species,Species,,Micromonacha,Bucconidae,,Micromonacha,Bucconidae,Bucconidae (Puffbirds),Piciformes,Galbuliformes,"(Deville, 1849)",,,,"eastern Costa Rica to Ecuador, northeastern Peru, far western Brazil, and northern Bolivia","MA, SA : Costa Rica to n Bolivia",
14,"Picumnus olivaceus Lafresnaye, 1845","Picumnus olivaceus Lafresnaye, 1845",892,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC,,Picumnus olivaceus,,"Lafresnaye, 1845",22868,10980.0,10376,olipic1,Picumnus olivaceus,Picumnus olivaceus,Olivaceous Piculet,Olivaceous Piculet,species,Species,,Picumnus,Picidae,,Picumnus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"Lafresnaye, 1845",,,,,"MA, SA : Guatemala to nw Peru",
15,"Picumnus olivaceus harterti Hellmayr, 1909","Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,,,Picumnus olivaceus harterti,,"Hellmayr, 1909",22872,10984.0,10382,olipic5,Picumnus olivaceus harterti,Picumnus olivaceus harterti,,,subspecies,ssp,Picumnus olivaceus,Picumnus,Picidae,Picumnus olivaceus,Picumnus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"Hellmayr, 1909",,,,southwestern Colombia and western Ecuador; recorded from northwestern Peru (Tumbes),sw Colombia and w Ecuador,
16,"Dryocopus lineatus (Linnaeus, 1766)","Dryocopus lineatus (Linnaeus, 1766)",738,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE,,Dryocopus lineatus,,"(Linnaeus, 1766)",10272,11639.0,10954,linwoo1,Dryocopus lineatus,Dryocopus lineatus,Lineated Woodpecker,Lineated Woodpecker,species,Species,,Dryocopus,Picidae,,Dryocopus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Linnaeus, 1766)",,,,,"MA, SA : widespread",
17,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860","Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,,,Dryocopus lineatus fuscipennis,,"P.L.Sclater, 1860",10274,11645.0,10958,linwoo8,Dryocopus lineatus fuscipennis,Dryocopus lineatus fuscipennis,Lineated Woodpecker (Dusky-winged),,group (monotypic),ssp,Dryocopus lineatus,Dryocopus,Picidae,Dryocopus lineatus,Dryocopus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"Sclater, PL, 1860",,,,arid littoral of western Ecuador and northwestern Peru,w Ecuador and nw Peru,
18,"Melanerpes pucherani (Malherbe, 1849)","Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC,,Melanerpes pucherani,,"(Malherbe, 1849)",17254,11049.0,10428,blcwoo1,Melanerpes pucherani,Melanerpes pucherani,Black-cheeked Woodpecker,Black-cheeked Woodpecker,species,Species,,Melanerpes,Picidae,,Melanerpes,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Malherbe, 1849)",,,,"southern Mexico (Veracruz, Chiapas) to western Colombia and western Ecuador","MA, SA : s Mexico to w Ecuador",
19,"Veniliornis callonotus (Waterhouse, 1841)","Veniliornis callonotus (Waterhouse, 1841)",701,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,LC,Dryobates callonotus,Veniliornis callonotus,"(Waterhouse, 1841)","(Waterhouse, 1841)",10150,11381.0,10697,scbwoo3,Dryobates callonotus,Veniliornis callonotus,Scarlet-backed Woodpecker,Scarlet-backed Woodpecker,species,Species,,Dryobates,Picidae,,Veniliornis,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Waterhouse, 1841)",,,,,SA : sw Colombia to nw Peru,
20,"Dryobates kirkii (Malherbe, 1845)","Veniliornis kirkii (Malherbe, 1845)",22,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis kirkii,2478367.0,NE,Dryobates kirkii,Veniliornis kirkii,"(Malherbe, 1845)","(Malherbe, 1845)",10170,11352.0,10709,rerwoo1,Dryobates kirkii,Veniliornis kirkii,Red-rumped Woodpecker,Red-rumped Woodpecker,species,Species,,Dryobates,Picidae,,Veniliornis,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Malherbe, 1845)",,,,,"MA, SA : Costa Rica to nw SA",
21,"Dryobates dignus (P.L.Sclater & Salvin, 1877)","Veniliornis dignus (P.L.Sclater & Salvin, 1877)",6,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis dignus,2478378.0,NE,Dryobates dignus,Veniliornis dignus,"(P.L.Sclater & Salvin, 1877)","(P.L.Sclater & Salvin, 1877)",10159,11384.0,10700,yevwoo1,Dryobates dignus,Veniliornis dignus,Yellow-vented Woodpecker,Yellow-vented Woodpecker,species,Species,,Dryobates,Picidae,,Veniliornis,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Sclater, PL & Salvin, 1877)",,,,,SA : sw Venezuela to Peru,
22,"Celeus loricatus (Reichenbach, 1854)","Celeus loricatus (Reichenbach, 1854)",13,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Celeus,2478432.0,Celeus loricatus,5228950.0,LC,,Celeus loricatus,,"(Reichenbach, 1854)",5170,11673.0,10912,cinwoo1,Celeus loricatus,Celeus loricatus,Cinnamon Woodpecker,Cinnamon Woodpecker,species,Species,,Celeus,Picidae,,Celeus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Reichenbach, 1854)",,,,,"MA, SA : e Nicaragua to sw Ecuador",
23,"Campephilus melanoleucos (J.F.Gmelin, 1788)","Campephilus melanoleucos (J.F.Gmelin, 1788)",1,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus melanoleucos,2478564.0,LC,,Campephilus melanoleucos,,"(J.F.Gmelin, 1788)",4441,11443.0,10994,crcwoo1,Campephilus melanoleucos,Campephilus melanoleucos,Crimson-crested Woodpecker,Crimson-crested Woodpecker,species,Species,,Campephilus,Picidae,,Campephilus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Gmelin, JF, 1788)",,,,,"SA : widespread, also Panama",
24,"Campephilus pollens (Bonaparte, 1845)","Campephilus pollens (Bonaparte, 1845)",216,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,LC,,Campephilus pollens,,"(Bonaparte, 1845)",4445,11432.0,10984,powwoo1,Campephilus pollens,Campephilus pollens,Powerful Woodpecker,Powerful Woodpecker,species,Species,,Campephilus,Picidae,,Campephilus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Bonaparte, 1845)",,,,,SA : nc Colombia to Peru,
25,Campephilus pollens pollens,Campephilus pollens pollens,3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,,,Campephilus pollens pollens,,,4447,11433.0,10985,powwoo2,Campephilus pollens pollens,Campephilus pollens pollens,,,subspecies,ssp,Campephilus pollens,Campephilus,Picidae,Campephilus pollens,Campephilus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Bonaparte, 1845)",,,,Andes of northern Colombia to western Venezuela and Ecuador,nc Colombia and sw Venezuela to Ecuador,
26,"Campephilus gayaquilensis (R.Lesson, 1845)","Campephilus gayaquilensis (R.Lesson, 1845)",1861,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus gayaquilensis,2478579.0,LC,,Campephilus gayaquilensis,,"(R.Lesson, 1845)",4430,11451.0,11002,guawoo2,Campephilus gayaquilensis,Campephilus gayaquilensis,Guayaquil Woodpecker,Guayaquil Woodpecker,species,Species,,Campephilus,Picidae,,Campephilus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Lesson, RP, 1845)",,,,arid Pacific lowlands of southwestern Colombia to northwestern Peru (Cajamarca),SA : sw Colombia to nw Peru,
27,"Campephilus haematogaster (Tschudi, 1844)","Campephilus haematogaster (Tschudi, 1844)",78,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,LC,,Campephilus haematogaster,,"(Tschudi, 1844)",4435,11435.0,10988,crbwoo1,Campephilus haematogaster,Campephilus haematogaster,Crimson-bellied Woodpecker,Crimson-bellied Woodpecker,species,Species,,Campephilus,Picidae,,Campephilus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Tschudi, 1844)",,,,,"SA : c Colombia, e Ecuador to c Peru",
28,"Campephilus haematogaster splendens Hargitt, 1889","Campephilus haematogaster splendens Hargitt, 1889",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,,,Campephilus haematogaster splendens,,"Hargitt, 1889",4437,11436.0,,crbwoo4,Campephilus haematogaster splendens,,Crimson-bellied Woodpecker (Splendid),,group (monotypic),,Campephilus haematogaster,Campephilus,Picidae,,,,Picidae (Woodpeckers),,Piciformes,,,,,humid forest of Panama to western Ecuador,,
29,"Leuconotopicus fumigatus (d'Orbigny, 1840)","Leuconotopicus fumigatus (d'Orbigny, 1840)",2290,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,LC,Dryobates fumigatus,Leuconotopicus fumigatus,"(d'Orbigny, 1840)","(d'Orbigny, 1840)",10164,11342.0,10725,smbwoo1,Dryobates fumigatus,Leuconotopicus fumigatus,Smoky-brown Woodpecker,Smoky-brown Woodpecker,species,Species,,Dryobates,Picidae,,Leuconotopicus,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(d'Orbigny, 1840)",,,,,"MA, SA : e Mexico to nw Argentina",
30,Leuconotopicus fumigatus fumigatus,Leuconotopicus fumigatus fumigatus,5,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,,Leuconotopicus fumigatus fumigatus,,,15915,,10729,,,Leuconotopicus fumigatus fumigatus,,,,ssp,,,,Leuconotopicus fumigatus,Leuconotopicus,Picidae,,Piciformes,,"(d'Orbigny, 1840)",,,,,n Colombia and nw Venezuela to nw Argentina,
31,"Leuconotopicus fumigatus obscuratus (Chapman, 1927)","Leuconotopicus fumigatus obscuratus (Chapman, 1927)",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,,Leuconotopicus fumigatus obscuratus,,"(Chapman, 1927)",15916,,10730,,,Leuconotopicus fumigatus obscuratus,,,,ssp,,,,Leuconotopicus fumigatus,Leuconotopicus,Picidae,,Piciformes,,"(Chapman, 1927)",,,,,nw Ecuador and nw Peru,
32,"Colaptes rivolii (Boissonneau, 1840)","Colaptes rivolii (Boissonneau, 1840)",77,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rivolii,7340159.0,LC,,Colaptes rivolii,,"(Boissonneau, 1840)",7330,11759.0,10862,crmwoo2,Colaptes rivolii,Colaptes rivolii,Crimson-mantled Woodpecker,Crimson-mantled Woodpecker,species,Species,,Colaptes,Picidae,,Colaptes,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Boissonneau, 1840)",,,,,SA : nw Venezuela to c Bolivia,
33,"Colaptes rubiginosus (Swainson, 1820)","Colaptes rubiginosus (Swainson, 1820)",3215,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,LC,,Colaptes rubiginosus,,"(Swainson, 1820)",7337,11737.0,10841,goowoo1,Colaptes rubiginosus,Colaptes rubiginosus,Golden-olive Woodpecker,Golden-olive Woodpecker,species,Species,,Colaptes,Picidae,,Colaptes,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Swainson, 1820)",,,,,"MA, SA : Mexico to Guyana, nw Peru and nw Argentina",
34,"Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)","Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,,,Colaptes rubiginosus rubripileus,,"(Salvadori & Festa, 1900)",7351,11757.0,10855,goowoo4,Colaptes rubiginosus rubripileus,Colaptes rubiginosus rubripileus,Golden-olive Woodpecker (rubripileus),,group (monotypic),ssp,Colaptes rubiginosus,Colaptes,Picidae,Colaptes rubiginosus,Colaptes,Picidae,Picidae (Woodpeckers),Piciformes,Piciformes,"(Salvadori & Festa, 1900)",,,,far southwestern Colombia to western Ecuador and northwestern Peru,"sw Colombia, w Ecuador and nw Peru",
35,"Ramphastos brevis Meyer de Schauensee, 1945","Ramphastos brevis Meyer de Schauensee, 1945",6618,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos brevis,2478769.0,LC,,Ramphastos brevis,,"Meyer de Schauensee, 1945",25876,10830.0,9986,chotou1,Ramphastos brevis,Ramphastos brevis,Choco Toucan,Choco Toucan,species,Species,,Ramphastos,Ramphastidae,,Ramphastos,Ramphastidae,Ramphastidae (Toucans),Piciformes,Piciformes,"Meyer de Schauensee, 1945",,,,Pacific slope of western Colombia to southwestern Ecuador,SA : nw Colombia to sw Ecuador,
36,"Ramphastos ambiguus Swainson, 1823","Ramphastos ambiguus Swainson, 1823",6526,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,NT,,Ramphastos ambiguus,,"Swainson, 1823",25872,10817.0,9997,bkmtou1,Ramphastos ambiguus,Ramphastos ambiguus,Yellow-throated Toucan,Yellow-throated Toucan,species,Species,,Ramphastos,Ramphastidae,,Ramphastos,Ramphastidae,Ramphastidae (Toucans),Piciformes,Piciformes,"Swainson, 1823",,,,,SA : se Honduras to w Ecuador; w Venezuela to c Peru,
37,"Ramphastos ambiguus swainsonii Gould, 1833","Ramphastos ambiguus swainsonii Gould, 1833",6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,,,Ramphastos ambiguus swainsonii,,"Gould, 1833",25875,10818.0,9998,chmtou1,Ramphastos ambiguus swainsonii,Ramphastos ambiguus swainsonii,Yellow-throated Toucan (Chestnut-mandibled),,group (monotypic),ssp,Ramphastos ambiguus,Ramphastos,Ramphastidae,Ramphastos ambiguus,Ramphastos,Ramphastidae,Ramphastidae (Toucans),Piciformes,Piciformes,"Gould, 1833",,,,humid forest of northern Honduras to western Ecuador,se Honduras to w Ecuador,
38,"Pteroglossus torquatus (J.F.Gmelin, 1788)","Pteroglossus torquatus (J.F.Gmelin, 1788)",5337,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,LC,,Pteroglossus torquatus,,"(J.F.Gmelin, 1788)",24977,10778.0,9951,colara1,Pteroglossus torquatus,Pteroglossus torquatus,Collared Aracari,Collared Aracari,species,Species,,Pteroglossus,Ramphastidae,,Pteroglossus,Ramphastidae,Ramphastidae (Toucans),Piciformes,Piciformes,"(Gmelin, JF, 1788)",,,,,"MA, SA : Mexico to Venezuela",
39,Pteroglossus torquatus erythropygius,Pteroglossus torquatus erythropygius,57,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,,,Pteroglossus torquatus erythropygius,,,24978,10784.0,,colara5,Pteroglossus torquatus erythropygius,,Collared Aracari (Pale-mandibled),,group (monotypic),,Pteroglossus torquatus,Pteroglossus,Ramphastidae,,,,Ramphastidae (Toucans),,Piciformes,,,,,western Ecuador (western Esmeraldas southward to El Oro) and northwestern Peru (eastern Tumbes),,
40,"Pteroglossus erythropygius Gould, 1843","Pteroglossus erythropygius Gould, 1843",64,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus erythropygius,2478842.0,LC,,Pteroglossus erythropygius,,"Gould, 1843",24969,,9956,,,Pteroglossus erythropygius,,Pale-mandibled Aracari,,Species,,,,,Pteroglossus,Ramphastidae,,Piciformes,,"Gould, 1843",,,,,SA : w Ecuador,
41,"Andigena nigrirostris spilorhynchus Gould, 1858","Andigena nigrirostris spilorhynchus Gould, 1858",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena nigrirostris,2478854.0,,,Andigena nigrirostris spilorhynchus,,"Gould, 1858",1595,10771.0,9977,bkbmot2,Andigena nigrirostris spilorhynchus,Andigena nigrirostris spilorhynchus,,,subspecies,ssp,Andigena nigrirostris,Andigena,Ramphastidae,Andigena nigrirostris,Andigena,Ramphastidae,Ramphastidae (Toucans),Piciformes,Piciformes,"Gould, 1858",,,,central Andes of southern Colombia and northeastern Ecuador; recorded from northern Peru,"s Colombia, ne Ecuador and n Peru",
