,scientificName,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,synScientificName,accScientificName,synSplitExtras,accSplitExtras,Unnamed: 0,sort v2024,14.1,speciesCode_eBird,scientificName_Clements,scientificName_IOC,commonName_Clements,commonName_IOC,rank_Clements,rank_IOC,species_Clements,genus_Clements,family_Clements,species_IOC,genus_IOC,family_IOC,family_english_Clements,order_IOC,order_english_Clements,authority_IOC,extinct_Clements,extinctYear_Clements,extinct_Clements.1,range_Clements,breedingRange_IOC,nonbreedingRange_IOC
0,"Chamaepetes goudotii (R.Lesson, 1828)","Chamaepetes goudotii (R.Lesson, 1828)",740,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,,Chamaepetes goudotii,,"(R.Lesson, 1828)",5751,914.0,735,siwgua1,Chamaepetes goudotii,Chamaepetes goudotii,Sickle-winged Guan,Sickle-winged Guan,species,Species,,Chamaepetes,Cracidae,,Chamaepetes,Cracidae,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,Galliformes,"(Lesson, RP, 1828)",,,,,SA : Colombia to Bolivia,
1,"Chamaepetes goudotii fagani C.Chubb, 1917","Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,,,Chamaepetes goudotii fagani,,"C.Chubb, 1917",5752,917.0,738,siwgua4,Chamaepetes goudotii fagani,Chamaepetes goudotii fagani,,,subspecies,ssp,Chamaepetes goudotii,Chamaepetes,Cracidae,Chamaepetes goudotii,Chamaepetes,Cracidae,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,Galliformes,"Chubb, C, 1917",,,,west slope of Andes of southwestern Colombia and Ecuador,sw Colombia and w Ecuador,
2,"Penelope montagnii (Bonaparte, 1856)","Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,,Penelope montagnii,,"(Bonaparte, 1856)",21547,864.0,690,andgua1,Penelope montagnii,Penelope montagnii,Andean Guan,Andean Guan,species,Species,,Penelope,Cracidae,,Penelope,Cracidae,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,Galliformes,"(Bonaparte, 1856)",,,,,SA : Colombia to Bolivia,
3,"Penelope ortoni Salvin, 1874","Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,,Penelope ortoni,,"Salvin, 1874",21557,863.0,689,baugua1,Penelope ortoni,Penelope ortoni,Baudo Guan,Baudo Guan,species,Species,,Penelope,Cracidae,,Penelope,Cracidae,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,Galliformes,"Salvin, 1874",,,,west slope of Andes of Colombia and Ecuador,SA : w Colombia and w Ecuador,
4,"Penelope purpurascens Wagler, 1830","Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,,Penelope purpurascens,,"Wagler, 1830",21560,887.0,705,cregua1,Penelope purpurascens,Penelope purpurascens,Crested Guan,Crested Guan,species,Species,,Penelope,Cracidae,,Penelope,Cracidae,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,Galliformes,"Wagler, 1830",,,,,"MA, SA : Mexico to nw SA",
5,"Aburria aburri (R.Lesson, 1828)","Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Aburria,2482290.0,Aburria aburri,2482313.0,NT,,Aburria aburri,,"(R.Lesson, 1828)",22,912.0,732,watgua1,Aburria aburri,Aburria aburri,Wattled Guan,Wattled Guan,species,Species,,Aburria,Cracidae,,Aburria,Cracidae,"Cracidae (Guans, Chachalacas, and Curassows)",Galliformes,Galliformes,"(Lesson, RP, 1828)",,,,montane forest of western Venezuela to northern Peru,SA : Venezuela to Peru,
6,"Odontophorus erythrops Gould, 1859","Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,,Odontophorus erythrops,,"Gould, 1859",19936,1124.0,917,rfwqua1,Odontophorus erythrops,Odontophorus erythrops,Rufous-fronted Wood-Quail,Rufous-fronted Wood Quail,species,Species,,Odontophorus,Odontophoridae,,Odontophorus,Odontophoridae,Odontophoridae (New World Quail),Galliformes,Galliformes,"Gould, 1859",,,,,SA : w Colombia and w Ecuador,
7,"Odontophorus melanonotus Gould, 1861","Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,,Odontophorus melanonotus,,"Gould, 1861",19951,1128.0,925,dbwqua1,Odontophorus melanonotus,Odontophorus melanonotus,Dark-backed Wood-Quail,Dark-backed Wood Quail,species,Species,,Odontophorus,Odontophoridae,,Odontophorus,Odontophoridae,Odontophoridae (New World Quail),Galliformes,Galliformes,"Gould, 1861",,,,montane forest of northwestern Ecuador and adjacent southwestern Colombia,SA : sw Colombia and nw Ecuador,
8,"Galbula ruficauda Cuvier, 1816","Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Piciformes,724.0,Galbulidae,5244.0,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC,,Galbula ruficauda,,"Cuvier, 1816",12280,10393.0,9715,rutjac1,Galbula ruficauda,Galbula ruficauda,Rufous-tailed Jacamar,Rufous-tailed Jacamar,species,Species,,Galbula,Galbulidae,,Galbula,Galbulidae,Galbulidae (Jacamars),Piciformes,Galbuliformes,"Cuvier, 1816",,,,,"MA, SA : widespread",
9,"Malacoptila panamensis Lafresnaye, 1847","Malacoptila panamensis Lafresnaye, 1847",76,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC,,Malacoptila panamensis,,"Lafresnaye, 1847",16827,10319.0,9793,whwpuf1,Malacoptila panamensis,Malacoptila panamensis,White-whiskered Puffbird,White-whiskered Puffbird,species,Species,,Malacoptila,Bucconidae,,Malacoptila,Bucconidae,Bucconidae (Puffbirds),Piciformes,Galbuliformes,"Lafresnaye, 1847",,,,,"MA, SA : se Mexico to w Ecuador",
