internalTaxonId,scientificName,maincommonName,altcommonNames
103780109,Acrocephalus nijoi,Aguijan Reed-warbler,
22734033,Acrocephalus orientalis,Oriental Reed-warbler,"Oriental Reed-Warbler, Oriental Reed Warbler"
22729551,Acrocephalus orinus,Large-billed Reed Warbler,Large-billed Reed-warbler
22714696,Acrocephalus paludicola,Aquatic Warbler,
22714741,Acrocephalus palustris,Marsh Warbler,
104011899,Acrocephalus percernis,Northern Marquesan Reed-warbler,
22714791,Acrocephalus rehsei,Nauru Reed-Warbler,"Finsch's Reed-warbler, Nauru Reed Warbler, Nauru Reed-warbler"
22714826,Acrocephalus rimitarae,Rimatara Reed-Warbler,Rimatara Reed-warbler
22714874,Acrocephalus rodericanus,Rodriguez Brush-Warbler,Rodrigues Warbler
22714846,Acrocephalus rufescens,Greater Swamp Warbler,"Greater Swamp-warbler, Greater Swamp-Warbler"
22714700,Acrocephalus schoenobaenus,Sedge Warbler,
22714722,Acrocephalus scirpaceus,European Reed Warbler,"Common Reed-warbler, Eurasian Reed Warbler, Reed Warbler, Eurasian Reed-warbler"
22714882,Acrocephalus sechellensis,Seychelles Brush Warbler,"Seychelles Brush-Warbler, Seychelles Warbler"
22714704,Acrocephalus sorghophilus,Streaked Reed-warbler,"Streaked Reed-Warbler, Speckled Reed Warbler"
219591644,Acrocephalus stentoreus,Clamorous Reed Warbler,Clamorous Reed-warbler
22714786,Acrocephalus syrinx,Caroline Islands Reed-Warbler,"Carolinian Reed Warbler, Caroline Reed-warbler, Caroline Islands Reed-warbler"
22714839,Acrocephalus taiti,Henderson Island Reed-warbler,"Henderson Island Reed-Warbler, Henderson Reed-warbler, Henderson Reed Warbler"
22728387,Acrocephalus tangorum,White-browed Reed-warbler,"Manchurian Reed-warbler, Manchurian Reed Warbler"
22714832,Acrocephalus vaughani,Pitcairn Reed-warbler,"Pitcairn Reed Warbler, Pitcairn Reed-Warbler"
103780103,Acrocephalus yamashinae,Pagan Reed-warbler,
22703554,Acropternis orthonyx,Ocellated Tapaculo,
22679572,Acryllium vulturinum,Vulturine Guineafowl,
22683519,Actenoides bougainvillei,Moustached Kingfisher,
22726852,Actenoides capucinus,Black-headed Kingfisher,
22683532,Actenoides concretus,Rufous-collared Kingfisher,
22683542,Actenoides hombroni,Blue-capped Kingfisher,Hombron's Kingfisher
22683535,Actenoides lindsayi,Spotted Wood Kingfisher,Spotted Kingfisher
22726844,Actenoides monachus,Blue-headed Kingfisher,Green-backed Kingfisher
22726858,Actenoides princeps,Scaly Kingfisher,Scaly-breasted Kingfisher
22727941,Actenoides regalis,Plain-backed Kingfisher,
22716557,Actinodura egertoni,Rusty-fronted Barwing,
103879283,Actinodura radcliffei,Eastern Spectacled Barwing,
103879269,Actinodura ramsayi,Western Spectacled Barwing,
22716552,Actinodura sodangorum,Black-crowned Barwing,
22693264,Actitis hypoleucos,Common Sandpiper,
22693277,Actitis macularius,Spotted Sandpiper,
22693528,Actophilornis africanus,African Jacana,
22693532,Actophilornis albinucha,Madagascar Jacana,
22687696,Adelomyia melanogenys,Speckled Hummingbird,
22696634,Aechmophorus clarkii,Clark's Grebe,
22696631,Aechmophorus occidentalis,Western Grebe,
103870959,Aegithalos annamensis,Grey-crowned Bushtit,Grey-crowned Tit
22736055,Aegithalos bonvaloti,Black-browed Tit,"Black-browed Bushtit, Pere Bonvalot's Tit, Père Bonvalot's Tit"
103871923,Aegithalos caudatus,Long-tailed Bushtit,Long-tailed Tit
103870880,Aegithalos concinnus,Black-throated Bushtit,Black-throated Tit
22712024,Aegithalos fuliginosus,White-necklaced Tit,"Sooty Tit, Sooty Bushtit"
103871974,Aegithalos glaucogularis,Silver-throated Bushtit,Silver-throated Tit
103871775,Aegithalos iouschistos,Rufous-fronted Bushtit,Rufous-fronted Tit
103871108,Aegithalos iredalei,Red-headed Bushtit,Red-headed Tit
22712008,Aegithalos leucogenys,White-cheeked Bushtit,White-cheeked Tit
22712016,Aegithalos niveogularis,White-throated Bushtit,White-throated Tit
22707443,Aegithina lafresnayei,Great Iora,
22707436,Aegithina nigrolutea,White-tailed Iora,Marshall's Iora
22707433,Aegithina tiphia,Common Iora,
22707440,Aegithina viridissima,Green Iora,
22689366,Aegolius acadicus,Northern Saw-whet Owl,
22689362,Aegolius funereus,Boreal Owl,Tengmalm's Owl
62184893,Aegolius gradyi,Bermuda Saw-whet Owl,
22689378,Aegolius harrisii,Buff-fronted Owl,
22689371,Aegolius ridgwayi,Unspotted Saw-whet Owl,Unspotted Saw-whet Owl
60814512,Aegotheles affinis,Allied Owlet-nightjar,
22689576,Aegotheles albertisi,Mountain Owlet-Nightjar,Mountain Owlet-nightjar
22689572,Aegotheles archboldi,Archbold's Owlet-nightjar,Archbold's Owlet-Nightjar
60814475,Aegotheles bennettii,Barred Owlet-nightjar,
22689546,Aegotheles crinifrons,Long-whiskered Owlet-Nightjar,Moluccan Owlet-nightjar
22689555,Aegotheles cristatus,Australian Owlet-nightjar,Australian Owlet-Nightjar
22689550,Aegotheles insignis,Feline Owlet-nightjar,
