,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,Unnamed: 0,English name
0,2482183,2482183,"Chamaepetes goudotii (R.Lesson, 1828)",740,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,Chamaepetes goudotii,"(R.Lesson, 1828)",733.0,Sickle-winged Guan
1,6177862,6177862,"Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,,Chamaepetes goudotii fagani,"C.Chubb, 1917",736.0,
2,2482198,2482198,"Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,Penelope montagnii,"(Bonaparte, 1856)",688.0,Andean Guan
3,2482216,2482216,"Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,Penelope ortoni,"Salvin, 1874",687.0,Baudo Guan
4,2482225,2482225,"Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,Penelope purpurascens,"Wagler, 1830",703.0,Crested Guan
5,2482313,2482313,"Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Aburria,2482290.0,Aburria aburri,2482313.0,NT,Aburria aburri,"(R.Lesson, 1828)",730.0,Wattled Guan
6,5228045,5228045,"Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,Odontophorus erythrops,"Gould, 1859",915.0,Rufous-fronted Wood Quail
7,5228049,5228049,"Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,Odontophorus melanonotus,"Gould, 1861",923.0,Dark-backed Wood Quail
8,5228236,5228236,"Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Piciformes,724.0,Galbulidae,5244.0,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC,Galbula ruficauda,"Cuvier, 1816",9722.0,Rufous-tailed Jacamar
9,2475147,2475147,"Malacoptila panamensis Lafresnaye, 1847",76,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC,Malacoptila panamensis,"Lafresnaye, 1847",9800.0,White-whiskered Puffbird
10,6180305,6180305,"Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,,Malacoptila panamensis poliopis,"P.L.Sclater, 1862",9804.0,
11,2475200,2475200,"Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC,Nystalus radiatus,"(P.L.Sclater, 1854)",9771.0,Barred Puffbird
12,2475205,2475205,"Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC,Hapaloptila castanea,"(J.Verreaux, 1866)",9830.0,White-faced Nunbird
13,2475207,2475207,"Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC,Micromonacha lanceolata,"(Deville, 1849)",9807.0,Lanceolated Monklet
14,5228725,5228725,"Picumnus olivaceus Lafresnaye, 1845",892,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC,Picumnus olivaceus,"Lafresnaye, 1845",10384.0,Olivaceous Piculet
15,5228729,5228729,"Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,,Picumnus olivaceus harterti,"Hellmayr, 1909",10390.0,
16,5228831,5228831,"Dryocopus lineatus (Linnaeus, 1766)",738,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE,Dryocopus lineatus,"(Linnaeus, 1766)",10962.0,Lineated Woodpecker
17,5228833,5228833,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,,Dryocopus lineatus fuscipennis,"P.L.Sclater, 1860",10966.0,
18,2478068,2478068,"Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC,Melanerpes pucherani,"(Malherbe, 1849)",10436.0,Black-cheeked Woodpecker
19,10680427,2478357,"Veniliornis callonotus (Waterhouse, 1841)",697,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,NE,Dryobates callonotus,"(Waterhouse, 1841)",,
20,2478357,2478357,"Veniliornis callonotus (Waterhouse, 1841)",4,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,LC,Veniliornis callonotus,"(Waterhouse, 1841)",10705.0,Scarlet-backed Woodpecker
21,10860672,2478367,"Veniliornis kirkii (Malherbe, 1845)",22,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis kirkii,2478367.0,NE,Dryobates kirkii,"(Malherbe, 1845)",,
22,10835052,2478378,"Veniliornis dignus (P.L.Sclater & Salvin, 1877)",6,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis dignus,2478378.0,NE,Dryobates dignus,"(P.L.Sclater & Salvin, 1877)",,
23,5228950,5228950,"Celeus loricatus (Reichenbach, 1854)",13,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Celeus,2478432.0,Celeus loricatus,5228950.0,LC,Celeus loricatus,"(Reichenbach, 1854)",10920.0,Cinnamon Woodpecker
24,2478564,2478564,"Campephilus melanoleucos (J.F.Gmelin, 1788)",1,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus melanoleucos,2478564.0,LC,Campephilus melanoleucos,"(J.F.Gmelin, 1788)",11002.0,Crimson-crested Woodpecker
25,2478569,2478569,"Campephilus pollens (Bonaparte, 1845)",216,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,LC,Campephilus pollens,"(Bonaparte, 1845)",10992.0,Powerful Woodpecker
26,7192569,7192569,Campephilus pollens pollens,3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,,Campephilus pollens pollens,,10993.0,
27,2478579,2478579,"Campephilus gayaquilensis (R.Lesson, 1845)",1861,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus gayaquilensis,2478579.0,LC,Campephilus gayaquilensis,"(R.Lesson, 1845)",11010.0,Guayaquil Woodpecker
28,2478584,2478584,"Campephilus haematogaster (Tschudi, 1844)",78,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,LC,Campephilus haematogaster,"(Tschudi, 1844)",10996.0,Crimson-bellied Woodpecker
29,6177626,6177626,"Campephilus haematogaster splendens Hargitt, 1889",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,,Campephilus haematogaster splendens,"Hargitt, 1889",,
30,10809442,9000455,"Leuconotopicus fumigatus (d'Orbigny, 1840)",2282,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,NE,Dryobates fumigatus,"(d'Orbigny, 1840)",,
31,9000455,9000455,"Leuconotopicus fumigatus (d'Orbigny, 1840)",8,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,LC,Leuconotopicus fumigatus,"(d'Orbigny, 1840)",10733.0,Smoky-brown Woodpecker
32,8953206,8953206,Leuconotopicus fumigatus fumigatus,5,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,Leuconotopicus fumigatus fumigatus,,10737.0,
33,9095476,9095476,"Leuconotopicus fumigatus obscuratus (Chapman, 1927)",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,Leuconotopicus fumigatus obscuratus,"(Chapman, 1927)",10738.0,
