sort v2024,species_code,English name,scientific name,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
1929.0,batpig1,Band-tailed Pigeon,Patagioenas fasciata,"Patagioenas fasciata (Say, 1822)",786,SPECIES,ACCEPTED,Patagioenas,2495265.0,Patagioenas fasciata,2495266.0,LC,Patagioenas fasciata,"(Say, 1822)",Band-tailed Pigeon,
1943.0,plupig2,Plumbeous Pigeon,Patagioenas plumbea,"Patagioenas plumbea (Vieillot, 1818)",2415,SPECIES,ACCEPTED,Patagioenas,2495265.0,Patagioenas plumbea,2495314.0,LC,Patagioenas plumbea,"(Vieillot, 1818)",Plumbeous Pigeon,"Patagioenas plumbea chapmani, 0.00041425020712510354"
1950.0,rudpig,Ruddy Pigeon,Patagioenas subvinacea,"Patagioenas subvinacea (Lawrence, 1868)",4084,SPECIES,ACCEPTED,Patagioenas,2495265.0,Patagioenas subvinacea,2495321.0,LC,Patagioenas subvinacea,"(Lawrence, 1868)",Ruddy Pigeon,"Patagioenas subvinacea berlepschi, 0.0002449179524859172"
1964.0,duspig2,Dusky Pigeon,Patagioenas goodsoni,"Patagioenas goodsoni (Hartert, 1902)",204,SPECIES,ACCEPTED,Patagioenas,2495265.0,Patagioenas goodsoni,2495333.0,LC,Patagioenas goodsoni,"(Hartert, 1902)",Dusky Pigeon,
2206.0,cogdov,Common Ground Dove,Columbina passerina,"Columbina passerina (Linnaeus, 1758)",29,SPECIES,ACCEPTED,Columbina,2495852.0,Columbina passerina,2495869.0,LC,Columbina passerina,"(Linnaeus, 1758)",Common Ground Dove,
2225.0,pbgdov1,Plain-breasted Ground Dove,Columbina minuta,"Columbina minuta (Linnaeus, 1766)",1,SPECIES,ACCEPTED,Columbina,2495852.0,Columbina minuta,2495853.0,LC,Columbina minuta,"(Linnaeus, 1766)",Plain-breasted Ground Dove,
2237.0,ecgdov1,Ecuadorian Ground Dove,Columbina buckleyi,"Columbina buckleyi (P.L.Sclater & Salvin, 1877)",1,SPECIES,ACCEPTED,Columbina,2495852.0,Columbina buckleyi,2495892.0,LC,Columbina buckleyi,"(P.L.Sclater & Salvin, 1877)",Ecuadorian Ground Dove,
2247.0,crgdov1,Croaking Ground Dove,Columbina cruziana,"Columbina cruziana (Prévost, 1842)",2,SPECIES,ACCEPTED,Columbina,2495852.0,Columbina cruziana,2495891.0,LC,Columbina cruziana,"(Prévost, 1842)",Croaking Ground Dove,
2250.0,blgdov1,Blue Ground Dove,Claravis pretiosa,"Claravis pretiosa (Ferrari-Pérez, 1886)",2,SPECIES,ACCEPTED,Claravis,2495913.0,Claravis pretiosa,2495922.0,LC,Claravis pretiosa,"(Ferrari-Pérez, 1886)",Blue Ground Dove,
2251.0,mcgdov1,Maroon-chested Ground Dove,Paraclaravis mondetoura,"Claravis mondetoura (Bonaparte, 1856)",1,SPECIES,SYNONYM,Claravis,2495913.0,Claravis mondetoura,2495914.0,LC,Paraclaravis mondetoura,"(Bonaparte, 1856)",Maroon-chested Ground Dove,
2270.0,sapqud1,Purple Quail-Dove,Geotrygon purpurata,"Geotrygon purpurata (Salvin, 1878)",3,SPECIES,ACCEPTED,Geotrygon,2496103.0,Geotrygon purpurata,5843937.0,EN,Geotrygon purpurata,"(Salvin, 1878)",Purple Quail-Dove,
2275.0,ruqdov,Ruddy Quail-Dove,Geotrygon montana,"Geotrygon montana (Linnaeus, 1758)",36,SPECIES,ACCEPTED,Geotrygon,2496103.0,Geotrygon montana,2496121.0,LC,Geotrygon montana,"(Linnaeus, 1758)",Ruddy Quail-Dove,
2286.0,whtdov,White-tipped Dove,Leptotila verreauxi,"Leptotila verreauxi Bonaparte, 1855",3099,SPECIES,ACCEPTED,Leptotila,2496059.0,Leptotila verreauxi,2496060.0,LC,Leptotila verreauxi,"Bonaparte, 1855",White-tipped Dove,
2329.0,paldov1,Pallid Dove,Leptotila pallida,"Leptotila pallida von Berlepsch & Taczanowski, 1884",712,SPECIES,ACCEPTED,Leptotila,2496059.0,Leptotila pallida,2496078.0,LC,Leptotila pallida,"von Berlepsch & Taczanowski, 1884",Pallid Dove,
2336.0,wtqdov1,White-throated Quail-Dove,Zentrygon frenata,"Zentrygon frenata (Tschudi, 1843)",593,SPECIES,ACCEPTED,Zentrygon,7366089.0,Zentrygon frenata,8243080.0,LC,Zentrygon frenata,"(Tschudi, 1843)",White-throated Quail-Dove,"Zentrygon frenata bourcieri, 0.0050933786078098476; Geotrygon frenata bourcieri, 0.0016891891891891893"
2361.0,eardov1,Eared Dove,Zenaida auriculata,"Zenaida auriculata (Des Murs, 1847)",149,SPECIES,ACCEPTED,Zenaida,2495346.0,Zenaida auriculata,2495358.0,LC,Zenaida auriculata,"(Des Murs, 1847)",Eared Dove,
2983.0,greani1,Greater Ani,Crotophaga major,"Crotophaga major Gmelin, 1788",4,SPECIES,ACCEPTED,Crotophaga,2496208.0,Crotophaga major,2496210.0,LC,Crotophaga major,"Gmelin, 1788",Greater Ani,
2984.0,smbani,Smooth-billed Ani,Crotophaga ani,"Crotophaga ani Linnaeus, 1758",1425,SPECIES,ACCEPTED,Crotophaga,2496208.0,Crotophaga ani,2496209.0,LC,Crotophaga ani,"Linnaeus, 1758",Smooth-billed Ani,
2985.0,grbani,Groove-billed Ani,Crotophaga sulcirostris,"Crotophaga sulcirostris Swainson, 1827",4,SPECIES,ACCEPTED,Crotophaga,2496208.0,Crotophaga sulcirostris,2496211.0,LC,Crotophaga sulcirostris,"Swainson, 1827",Groove-billed Ani,
2987.0,strcuc1,Striped Cuckoo,Tapera naevia,"Tapera naevia (Linnaeus, 1766)",100,SPECIES,ACCEPTED,Tapera,2496501.0,Tapera naevia,5231932.0,LC,Tapera naevia,"(Linnaeus, 1766)",Striped Cuckoo,
3161.0,litcuc2,Little Cuckoo,Coccycua minuta,"Piaya minuta (Vieillot, 1817)",1215,SPECIES,SYNONYM,Piaya,2496427.0,Piaya minuta,2496428.0,LC,Coccycua minuta,"(Vieillot, 1817)",Little Cuckoo,
3169.0,squcuc1,Squirrel Cuckoo,Piaya cayana,"Piaya cayana (Linnaeus, 1766)",4915,SPECIES,ACCEPTED,Piaya,2496427.0,Piaya cayana,2496432.0,LC,Piaya cayana,"(Linnaeus, 1766)",Squirrel Cuckoo,"Piaya cayana nigricrissa, 0.0006107491856677524"
3187.0,dabcuc1,Dark-billed Cuckoo,Coccyzus melacoryphus,"Coccyzus melacoryphus Vieillot, 1817",9,SPECIES,ACCEPTED,Coccyzus,2496285.0,Coccyzus melacoryphus,2496297.0,LC,Coccyzus melacoryphus,"Vieillot, 1817",Dark-billed Cuckoo,
3193.0,bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,"Coccyzus erythropthalmus (A.Wilson, 1811)",8,SPECIES,ACCEPTED,Coccyzus,2496285.0,Coccyzus erythropthalmus,2496286.0,LC,Coccyzus erythropthalmus,"(A.Wilson, 1811)",Black-billed Cuckoo,
3195.0,gyccuc,Gray-capped Cuckoo,Coccyzus lansbergi,"Coccyzus lansbergi Bonaparte, 1850",7,SPECIES,ACCEPTED,Coccyzus,2496285.0,Coccyzus lansbergi,2496292.0,LC,Coccyzus lansbergi,"Bonaparte, 1850",Grey-capped Cuckoo,
3454.0,shtnig1,Short-tailed Nighthawk,Lurocalis semitorquatus,"Lurocalis semitorquatus (J.F.Gmelin, 1789)",33,SPECIES,ACCEPTED,Lurocalis,2497081.0,Lurocalis semitorquatus,2497082.0,LC,Lurocalis semitorquatus,"(J.F.Gmelin, 1789)",Short-tailed Nighthawk,
3460.0,rubnig1,Rufous-bellied Nighthawk,Lurocalis rufiventris,"Lurocalis rufiventris Taczanowski, 1884",114,SPECIES,ACCEPTED,Lurocalis,2497081.0,Lurocalis rufiventris,2497088.0,LC,Lurocalis rufiventris,"Taczanowski, 1884",Rufous-bellied Nighthawk,
3474.0,compau,Common Pauraque,Nyctidromus albicollis,"Nyctidromus albicollis (J.F.Gmelin, 1789)",459,SPECIES,ACCEPTED,Nyctidromus,2496989.0,Nyctidromus albicollis,2496990.0,LC,Nyctidromus albicollis,"(J.F.Gmelin, 1789)",Pauraque,"Nyctidromus albicollis albicollis, 0.008791208791208791"
3484.0,swtnig1,Swallow-tailed Nightjar,Uropsalis segmentata,"Uropsalis segmentata (Cassin, 1849)",14,SPECIES,ACCEPTED,Uropsalis,2497073.0,Uropsalis segmentata,2497078.0,LC,Uropsalis segmentata,"(Cassin, 1849)",Swallow-tailed Nightjar,
3487.0,lytnig1,Lyre-tailed Nightjar,Uropsalis lyra,"Uropsalis lyra (Bonaparte, 1850)",405,SPECIES,ACCEPTED,Uropsalis,2497073.0,Uropsalis lyra,2497074.0,LC,Uropsalis lyra,"(Bonaparte, 1850)",Lyre-tailed Nightjar,"Uropsalis lyra lyra, 0.004962779156327543"
3496.0,bawnig1,Band-winged Nightjar,Systellura longirostris,"Systellura longirostris (Bonaparte, 1825)",16,SPECIES,ACCEPTED,Systellura,7871468.0,Systellura longirostris,7784172.0,LC,Systellura longirostris,"(Bonaparte, 1825)",Band-winged Nightjar,
3698.0,compot1,Common Potoo,Nyctibius griseus,"Nyctibius griseus (J.F.Gmelin, 1789)",2635,SPECIES,ACCEPTED,Nyctibius,2496795.0,Nyctibius griseus,2496811.0,LC,Nyctibius griseus,"(J.F.Gmelin, 1789)",Common Potoo,"Nyctibius griseus panamensis, 0.0007595898214963919"
3713.0,oilbir1,Oilbird,Steatornis caripensis,"Steatornis caripensis von Humboldt, 1817",67,SPECIES,ACCEPTED,Steatornis,2497149.0,Steatornis caripensis,2497150.0,LC,Steatornis caripensis,"von Humboldt, 1817",Oilbird,
3777.0,whcswi2,White-chested Swift,Cypseloides lemosi,"Cypseloides lemosi Eisenmann & Lehmann, 1962",3,SPECIES,ACCEPTED,Cypseloides,2477279.0,Cypseloides lemosi,2477290.0,LC,Cypseloides lemosi,"Eisenmann & Lehmann, 1962",White-chested Swift,
3781.0,whcswi1,White-chinned Swift,Cypseloides cryptus,"Cypseloides cryptus J.T.Zimmer, 1945",2,SPECIES,ACCEPTED,Cypseloides,2477279.0,Cypseloides cryptus,2477280.0,LC,Cypseloides cryptus,"J.T.Zimmer, 1945",White-chinned Swift,
3782.0,spfswi1,Spot-fronted Swift,Cypseloides cherriei,"Cypseloides cherriei Ridgway, 1893",98,SPECIES,ACCEPTED,Cypseloides,2477279.0,Cypseloides cherriei,2477289.0,DD,Cypseloides cherriei,"Ridgway, 1893",Spot-fronted Swift,
3785.0,chcswi1,Chestnut-collared Swift,Streptoprocne rutila,"Streptoprocne rutila (Vieillot, 1817)",455,SPECIES,ACCEPTED,Streptoprocne,2477070.0,Streptoprocne rutila,2477071.0,LC,Streptoprocne rutila,"(Vieillot, 1817)",Chestnut-collared Swift,
3790.0,whcswi,White-collared Swift,Streptoprocne zonaris,"Streptoprocne zonaris (Shaw, 1796)",3448,SPECIES,ACCEPTED,Streptoprocne,2477070.0,Streptoprocne zonaris,2477082.0,LC,Streptoprocne zonaris,"(Shaw, 1796)",White-collared Swift,"Streptoprocne zonaris subtropicalis, 0.0005803830528148578"
3826.0,grrswi1,Gray-rumped Swift,Chaetura cinereiventris,"Chaetura cinereiventris P.L.Sclater, 1862",270,SPECIES,ACCEPTED,Chaetura,2477150.0,Chaetura cinereiventris,5228621.0,LC,Chaetura cinereiventris,"P.L.Sclater, 1862",Grey-rumped Swift,
3835.0,barswi,Band-rumped Swift,Chaetura spinicaudus,"Chaetura spinicaudus (Temminck, 1839)",57,SPECIES,ACCEPTED,Chaetura,2477150.0,Chaetura spinicaudus,5228635.0,LC,Chaetura spinicaudus,"(Temminck, 1839)",Band-rumped Swift,
4106.0,whtswi1,White-tipped Swift,Aeronautes montivagus,"Aeronautes montivagus (d'Orbigny & Lafresnaye, 1837)",23,SPECIES,ACCEPTED,Aeronautes,2477107.0,Aeronautes montivagus,2477116.0,LC,Aeronautes montivagus,"(d'Orbigny & Lafresnaye, 1837)",White-tipped Swift,
4114.0,lstswi1,Lesser Swallow-tailed Swift,Panyptila cayennensis,"Panyptila cayennensis (J.F.Gmelin, 1789)",225,SPECIES,ACCEPTED,Panyptila,2477135.0,Panyptila cayennensis,2477137.0,LC,Panyptila cayennensis,"(J.F.Gmelin, 1789)",Lesser Swallow-Tailed Swift,
4172.0,whnjac1,White-necked Jacobin,Florisuga mellivora,"Florisuga mellivora (Linnaeus, 1758)",9180,SPECIES,ACCEPTED,Florisuga,2476192.0,Florisuga mellivora,2476195.0,LC,Florisuga mellivora,"(Linnaeus, 1758)",White-necked Jacobin,"Florisuga mellivora mellivora, 0.002621231979030144"
4176.0,whtsic1,White-tipped Sicklebill,Eutoxeres aquila,"Eutoxeres aquila (Bourcier, 1847)",32,SPECIES,ACCEPTED,Eutoxeres,2476376.0,Eutoxeres aquila,2476380.0,LC,Eutoxeres aquila,"(Bourcier, 1847)",White-tipped Sicklebill,
4190.0,batbar1,Band-tailed Barbthroat,Threnetes ruckeri,"Threnetes ruckeri (Bourcier, 1847)",19,SPECIES,ACCEPTED,Threnetes,2476204.0,Threnetes ruckeri,5228462.0,LC,Threnetes ruckeri,"(Bourcier, 1847)",Band-tailed Barbthroat,
4204.0,whwher1,White-whiskered Hermit,Phaethornis yaruqui,"Phaethornis yaruqui (Bourcier, 1851)",6804,SPECIES,ACCEPTED,Phaethornis,2476571.0,Phaethornis yaruqui,2476588.0,LC,Phaethornis yaruqui,"(Bourcier, 1851)",White-whiskered Hermit,
4210.0,tabher1,Tawny-bellied Hermit,Phaethornis syrmatophorus,"Phaethornis syrmatophorus Gould, 1852",2447,SPECIES,ACCEPTED,Phaethornis,2476571.0,Phaethornis syrmatophorus,2476589.0,LC,Phaethornis syrmatophorus,"Gould, 1852",Tawny-bellied Hermit,"Phaethornis syrmatophorus syrmatophorus, 0.0036915504511894994"
4248.0,lither2,Little Hermit,Phaethornis longuemareus,"Phaethornis longuemareus (R.Lesson, 1832)",1,SPECIES,ACCEPTED,Phaethornis,2476571.0,Phaethornis longuemareus,2476572.0,LC,Phaethornis longuemareus,"(R.Lesson, 1832)",Little Hermit,
4252.0,bkther1,Black-throated Hermit,Phaethornis atrimentalis,"Phaethornis atrimentalis Lawrence, 1858",1,SPECIES,ACCEPTED,Phaethornis,2476571.0,Phaethornis atrimentalis,2476632.0,LC,Phaethornis atrimentalis,"Lawrence, 1858",Black-throated Hermit,
4255.0,stther2,Stripe-throated Hermit,Phaethornis striigularis,"Phaethornis striigularis Gould, 1854",600,SPECIES,ACCEPTED,Phaethornis,2476571.0,Phaethornis striigularis,2476600.0,LC,Phaethornis striigularis,"Gould, 1854",Stripe-throated Hermit,
4282.0,grflan1,Green-fronted Lancebill,Doryfera ludovicae,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",1036,SPECIES,ACCEPTED,Doryfera,2476967.0,Doryfera ludovicae,2476971.0,LC,Doryfera ludovicae,"(Bourcier & Mulsant, 1847)",Green-fronted Lancebill,"Doryfera ludovicae ludovicae, 0.0019342359767891683"
4288.0,webhum3,White-throated Daggerbill,Schistes albogularis,"Schistes albogularis Gould, 1852",832,SPECIES,ACCEPTED,Schistes,2476198.0,Schistes albogularis,8752472.0,LC,Schistes albogularis,"Gould, 1852",White-throated Daggerbill,"Schistes geoffroyi albogularis, 0.0036188178528347406"
4289.0,webhum1,Geoffroy's Daggerbill,Schistes geoffroyi,"Schistes geoffroyi (Bourcier, 1843)",1,SPECIES,ACCEPTED,Schistes,2476198.0,Schistes geoffroyi,2476199.0,LC,Schistes geoffroyi,"(Bourcier, 1843)",Geoffroy'S Daggerbill,
4299.0,spvear1,Sparkling Violetear,Colibri coruscans,"Colibri coruscans (Gould, 1846)",2286,SPECIES,ACCEPTED,Colibri,5228473.0,Colibri coruscans,5228474.0,LC,Colibri coruscans,"(Gould, 1846)",Sparkling Violetear,"Colibri coruscans coruscans, 0.002631578947368421"
4302.0,brvear1,Brown Violetear,Colibri delphinae,"Colibri delphinae (R.Lesson, 1839)",4905,SPECIES,ACCEPTED,Colibri,5228473.0,Colibri delphinae,5228485.0,LC,Colibri delphinae,"(R.Lesson, 1839)",Brown Violetear,
4304.0,lesvio1,Lesser Violetear,Colibri cyanotus,"Colibri cyanotus (Bourcier, 1843)",472,SPECIES,ACCEPTED,Colibri,5228473.0,Colibri cyanotus,9053125.0,NE,Colibri cyanotus,"(Bourcier, 1843)",Lesser Violetear,"Colibri cyanotus cyanotus, 0.010706638115631691"
4313.0,pucfai1,Purple-crowned Fairy,Heliothryx barroti,"Heliothryx barroti (Bourcier, 1843)",676,SPECIES,ACCEPTED,Heliothryx,2476218.0,Heliothryx barroti,2476219.0,LC,Heliothryx barroti,"(Bourcier, 1843)",Purple-crowned Fairy,
4329.0,bltman1,Black-throated Mango,Anthracothorax nigricollis,"Anthracothorax nigricollis (Vieillot, 1817)",29,SPECIES,ACCEPTED,Anthracothorax,2476712.0,Anthracothorax nigricollis,2476718.0,LC,Anthracothorax nigricollis,"(Vieillot, 1817)",Black-throated Mango,
4358.0,gorsun1,Gorgeted Sunangel,Heliangelus strophianus,"Heliangelus strophianus (Gould, 1846)",203,SPECIES,ACCEPTED,Heliangelus,2476694.0,Heliangelus strophianus,2476710.0,LC,Heliangelus strophianus,"(Gould, 1846)",Gorgeted Sunangel,
4383.0,gretho1,Green Thorntail,Discosura conversii,"Discosura conversii (Bourcier & Mulsant, 1846)",2174,SPECIES,ACCEPTED,Discosura,2476900.0,Discosura conversii,2476911.0,LC,Discosura conversii,"(Bourcier & Mulsant, 1846)",Green Thorntail,
4405.0,spehum1,Speckled Hummingbird,Adelomyia melanogenys,"Adelomyia melanogenys (Fraser, 1840)",304,SPECIES,ACCEPTED,Adelomyia,2476167.0,Adelomyia melanogenys,2476168.0,LC,Adelomyia melanogenys,"(Fraser, 1840)",Speckled Hummingbird,
4416.0,lotsyl1,Long-tailed Sylph,Aglaiocercus kingii,"Aglaiocercus kingii (R.Lesson, 1832)",2,SPECIES,ACCEPTED,Aglaiocercus,2476384.0,Aglaiocercus kingii,2476388.0,LC,Aglaiocercus kingii,"(R.Lesson, 1832)",Long-tailed Sylph,
4423.0,vitsyl1,Violet-tailed Sylph,Aglaiocercus coelestis,"Aglaiocercus coelestis (Gould, 1861)",3121,SPECIES,ACCEPTED,Aglaiocercus,2476384.0,Aglaiocercus coelestis,2476385.0,LC,Aglaiocercus coelestis,"(Gould, 1861)",Violet-tailed Sylph,"Aglaiocercus coelestis coelestis, 0.00256986829424992"
4447.0,blttra1,Black-tailed Trainbearer,Lesbia victoriae,"Lesbia victoriae (Bourcier & Mulsant, 1846)",37,SPECIES,ACCEPTED,Lesbia,2476292.0,Lesbia victoriae,5228496.0,LC,Lesbia victoriae,"(Bourcier & Mulsant, 1846)",Black-tailed Trainbearer,
4451.0,grttra1,Green-tailed Trainbearer,Lesbia nuna,"Lesbia nuna (R.Lesson, 1832)",16,SPECIES,ACCEPTED,Lesbia,2476292.0,Lesbia nuna,5228490.0,LC,Lesbia nuna,"(R.Lesson, 1832)",Green-tailed Trainbearer,
4461.0,pubtho1,Purple-backed Thornbill,Ramphomicron microrhynchum,"Ramphomicron microrhynchum (Boissonneau, 1840)",1,SPECIES,ACCEPTED,Ramphomicron,2476051.0,Ramphomicron microrhynchum,2476052.0,LC,Ramphomicron microrhynchum,"(Boissonneau, 1840)",Purple-backed Thornbill,
4487.0,tyrmet1,Tyrian Metaltail,Metallura tyrianthina,"Metallura tyrianthina (Loddiges, 1832)",32,SPECIES,ACCEPTED,Metallura,2476858.0,Metallura tyrianthina,2476860.0,LC,Metallura tyrianthina,"(Loddiges, 1832)",Tyrian Metaltail,
4523.0,hoapuf1,Hoary Puffleg,Haplophaedia lugens,"Haplophaedia lugens (Gould, 1852)",19,SPECIES,ACCEPTED,Haplophaedia,2476335.0,Haplophaedia lugens,2476344.0,NT,Haplophaedia lugens,"(Gould, 1852)",Hoary Puffleg,
4524.0,blbpuf3,Black-breasted Puffleg,Eriocnemis nigrivestis,"Eriocnemis nigrivestis (Bourcier & Mulsant, 1852)",1,SPECIES,ACCEPTED,Eriocnemis,2476643.0,Eriocnemis nigrivestis,5228530.0,EN,Eriocnemis nigrivestis,"(Bourcier & Mulsant, 1852)",Black-breasted Puffleg,
4559.0,broinc1,Bronzy Inca,Coeligena coeligena,"Coeligena coeligena (R.Lesson, 1833)",1,SPECIES,ACCEPTED,Coeligena,2477027.0,Coeligena coeligena,2477062.0,LC,Coeligena coeligena,"(R.Lesson, 1833)",Bronzy Inca,
4566.0,broinc2,Brown Inca,Coeligena wilsoni,"Coeligena wilsoni (Delattre & Bourcier, 1846)",2492,SPECIES,ACCEPTED,Coeligena,2477027.0,Coeligena wilsoni,2477042.0,LC,Coeligena wilsoni,"(Delattre & Bourcier, 1846)",Brown Inca,
4568.0,colinc1,Collared Inca,Coeligena torquata,"Coeligena torquata (Boissonneau, 1840)",243,SPECIES,ACCEPTED,Coeligena,2477027.0,Coeligena torquata,2477053.0,LC,Coeligena torquata,"(Boissonneau, 1840)",Collared Inca,
4593.0,buwsta1,Buff-winged Starfrontlet,Coeligena lutetiae,"Coeligena lutetiae (Delattre & Bourcier, 1846)",2,SPECIES,ACCEPTED,Coeligena,2477027.0,Coeligena lutetiae,2477040.0,LC,Coeligena lutetiae,"(Delattre & Bourcier, 1846)",Buff-winged Starfrontlet,
4617.0,butcor1,Buff-tailed Coronet,Boissonneaua flavescens,"Boissonneaua flavescens (Loddiges, 1832)",414,SPECIES,ACCEPTED,Boissonneaua,2476785.0,Boissonneaua flavescens,2476787.0,LC,Boissonneaua flavescens,"(Loddiges, 1832)",Buff-tailed Coronet,"Boissonneaua flavescens tinochlora, 0.0072992700729927005"
4621.0,vepcor1,Velvet-purple Coronet,Boissonneaua jardini,"Boissonneaua jardini (Bourcier, 1851)",1251,SPECIES,ACCEPTED,Boissonneaua,2476785.0,Boissonneaua jardini,2476786.0,LC,Boissonneaua jardini,"(Bourcier, 1851)",Velvet-purple Coronet,
4623.0,boorat1,White-booted Racket-tail,Ocreatus underwoodii,"Ocreatus underwoodii (R.Lesson, 1832)",4509,SPECIES,ACCEPTED,Ocreatus,2476350.0,Ocreatus underwoodii,2476351.0,LC,Ocreatus underwoodii,"(R.Lesson, 1832)",White-booted Racket-Tail,"Ocreatus underwoodii melanantherus, 0.004231625835189309"
4634.0,whthil2,Rufous-gaped Hillstar,Urochroa bougueri,"Urochroa bougueri (Bourcier, 1851)",927,SPECIES,ACCEPTED,Urochroa,2476896.0,Urochroa bougueri,2476897.0,LC,Urochroa bougueri,"(Bourcier, 1851)",Rufous-gaped Hillstar,
4636.0,pubwhi1,Purple-bibbed Whitetip,Urosticte benjamini,"Urosticte benjamini (Bourcier, 1851)",3590,SPECIES,ACCEPTED,Urosticte,2476278.0,Urosticte benjamini,2476279.0,LC,Urosticte benjamini,"(Bourcier, 1851)",Purple-bibbed Whitetip,"Urosticte benjamini benjamini, 0.004195804195804196"
