sort v2024,species_code,English name,scientific name,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
41.0,tabtin1,Tawny-breasted Tinamou,Nothocercus julius,"Nothocercus julius (Bonaparte, 1854)",10,SPECIES,ACCEPTED,Nothocercus,2477468.0,Nothocercus julius,2477472.0,LC,Nothocercus julius,"(Bonaparte, 1854)",Tawny-breasted Tinamou,
78.0,littin1,Little Tinamou,Crypturellus soui,"Crypturellus soui (Hermann, 1783)",64,SPECIES,ACCEPTED,Crypturellus,2477492.0,Crypturellus soui,2477507.0,LC,Crypturellus soui,"(Hermann, 1783)",Little Tinamou,
385.0,comduc3,Comb Duck,Sarkidiornis sylvicola,"Sarkidiornis sylvicola H.Ihering & R.Ihering, 1907",2,SPECIES,ACCEPTED,Sarkidiornis,2498000.0,Sarkidiornis sylvicola,2498003.0,LC,Sarkidiornis sylvicola,"H.Ihering & R.Ihering, 1907",Comb Duck,
431.0,musduc,Muscovy Duck,Cairina moschata,"Cairina moschata (Linnaeus, 1758)",6,SPECIES,ACCEPTED,Cairina,2498282.0,Cairina moschata,9751099.0,LC,Cairina moschata,"(Linnaeus, 1758)",Muscovy Duck,
453.0,torduc1,Torrent Duck,Merganetta armata,"Merganetta armata Gould, 1842",252,SPECIES,ACCEPTED,Merganetta,2498274.0,Merganetta armata,2498275.0,LC,Merganetta armata,"Gould, 1842",Torrent Duck,
468.0,buwtea,Blue-winged Teal,Spatula discors,"Spatula discors (Linnaeus, 1766)",12,SPECIES,ACCEPTED,Spatula,4850990.0,Spatula discors,9422220.0,LC,Spatula discors,"(Linnaeus, 1766)",Blue-winged Teal,
525.0,mallar3,Mallard,Anas platyrhynchos,"Anas platyrhynchos Linnaeus, 1758",6,SPECIES,ACCEPTED,Anas,2498056.0,Anas platyrhynchos,9761484.0,LC,Anas platyrhynchos,"Linnaeus, 1758",Mallard,
582.0,yebpin1,Yellow-billed Pintail,Anas georgica,"Anas georgica J.F.Gmelin, 1789",15,SPECIES,ACCEPTED,Anas,2498056.0,Anas georgica,2498127.0,LC,Anas georgica,"J.F.Gmelin, 1789",Yellow-billed Pintail,
863.0,baugua1,Baudo Guan,Penelope ortoni,"Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,Penelope ortoni,"Salvin, 1874",Baudo Guan,
864.0,andgua1,Andean Guan,Penelope montagnii,"Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,Penelope montagnii,"(Bonaparte, 1856)",Andean Guan,
887.0,cregua1,Crested Guan,Penelope purpurascens,"Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,Penelope purpurascens,"Wagler, 1830",Crested Guan,
912.0,watgua1,Wattled Guan,Aburria aburri,"Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Aburria,2482290.0,Aburria aburri,2482313.0,NT,Aburria aburri,"(R.Lesson, 1828)",Wattled Guan,
914.0,siwgua1,Sickle-winged Guan,Chamaepetes goudotii,"Chamaepetes goudotii (R.Lesson, 1828)",742,SPECIES,ACCEPTED,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,Chamaepetes goudotii,"(R.Lesson, 1828)",Sickle-winged Guan,"Chamaepetes goudotii fagani, 0.002702702702702703"
1124.0,rfwqua1,Rufous-fronted Wood-Quail,Odontophorus erythrops,"Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,Odontophorus erythrops,"Gould, 1859",Rufous-fronted Wood Quail,
1128.0,dbwqua1,Dark-backed Wood-Quail,Odontophorus melanonotus,"Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,Odontophorus melanonotus,"Gould, 1861",Dark-backed Wood Quail,
1817.0,rocpig,Rock Pigeon,Columba livia,"Columba livia J.F.Gmelin, 1789",1598,SPECIES,ACCEPTED,Columba,2495404.0,Columba livia,2495414.0,LC,Columba livia,"J.F.Gmelin, 1789",Rock Dove,
1903.0,pavpig2,Pale-vented Pigeon,Patagioenas cayennensis,"Patagioenas cayennensis (Bonnaterre, 1792)",1441,SPECIES,ACCEPTED,Patagioenas,2495265.0,Patagioenas cayennensis,2495295.0,LC,Patagioenas cayennensis,"(Bonnaterre, 1792)",Pale-vented Pigeon,
