,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras
539,5228831,5228831,"Dryocopus lineatus (Linnaeus, 1766)",738,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,NE,Dryocopus lineatus,"(Linnaeus, 1766)"
546,5228833,5228833,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,,Dryocopus lineatus fuscipennis,"P.L.Sclater, 1860"
248,2478068,2478068,"Melanerpes pucherani (Malherbe, 1849)",83,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Melanerpes,2478067.0,Melanerpes pucherani,2478068.0,LC,Melanerpes pucherani,"(Malherbe, 1849)"
199,10680427,2478357,"Veniliornis callonotus (Waterhouse, 1841)",697,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,NE,Dryobates callonotus,"(Waterhouse, 1841)"
98,2478357,2478357,"Veniliornis callonotus (Waterhouse, 1841)",4,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis callonotus,2478357.0,LC,Veniliornis callonotus,"(Waterhouse, 1841)"
819,10860672,2478367,"Veniliornis kirkii (Malherbe, 1845)",22,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis kirkii,2478367.0,NE,Dryobates kirkii,"(Malherbe, 1845)"
661,10835052,2478378,"Veniliornis dignus (P.L.Sclater & Salvin, 1877)",6,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Veniliornis,2478338.0,Veniliornis dignus,2478378.0,NE,Dryobates dignus,"(P.L.Sclater & Salvin, 1877)"
416,5228950,5228950,"Celeus loricatus (Reichenbach, 1854)",13,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Celeus,2478432.0,Celeus loricatus,5228950.0,LC,Celeus loricatus,"(Reichenbach, 1854)"
124,2478564,2478564,"Campephilus melanoleucos (J.F.Gmelin, 1788)",1,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus melanoleucos,2478564.0,LC,Campephilus melanoleucos,"(J.F.Gmelin, 1788)"
292,2478569,2478569,"Campephilus pollens (Bonaparte, 1845)",216,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,LC,Campephilus pollens,"(Bonaparte, 1845)"
88,7192569,7192569,Campephilus pollens pollens,3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,,Campephilus pollens pollens,
192,2478579,2478579,"Campephilus gayaquilensis (R.Lesson, 1845)",1861,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus gayaquilensis,2478579.0,LC,Campephilus gayaquilensis,"(R.Lesson, 1845)"
224,2478584,2478584,"Campephilus haematogaster (Tschudi, 1844)",78,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,LC,Campephilus haematogaster,"(Tschudi, 1844)"
645,6177626,6177626,"Campephilus haematogaster splendens Hargitt, 1889",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,,Campephilus haematogaster splendens,"Hargitt, 1889"
517,10809442,9000455,"Leuconotopicus fumigatus (d'Orbigny, 1840)",2282,SPECIES,SYNONYM,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,NE,Dryobates fumigatus,"(d'Orbigny, 1840)"
580,9000455,9000455,"Leuconotopicus fumigatus (d'Orbigny, 1840)",8,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,LC,Leuconotopicus fumigatus,"(d'Orbigny, 1840)"
783,8953206,8953206,Leuconotopicus fumigatus fumigatus,5,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,Leuconotopicus fumigatus fumigatus,
15,9095476,9095476,"Leuconotopicus fumigatus obscuratus (Chapman, 1927)",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,Leuconotopicus fumigatus obscuratus,"(Chapman, 1927)"
337,7340159,7340159,"Colaptes rivolii (Boissonneau, 1840)",77,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rivolii,7340159.0,LC,Colaptes rivolii,"(Boissonneau, 1840)"
189,7340161,7340161,"Colaptes rubiginosus (Swainson, 1820)",3215,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,LC,Colaptes rubiginosus,"(Swainson, 1820)"
800,6540192,6540192,"Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,,Colaptes rubiginosus rubripileus,"(Salvadori & Festa, 1900)"
213,2478769,2478769,"Ramphastos brevis Meyer de Schauensee, 1945",6618,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos brevis,2478769.0,LC,Ramphastos brevis,"Meyer de Schauensee, 1945"
555,2478779,2478779,"Ramphastos ambiguus Swainson, 1823",6526,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,NT,Ramphastos ambiguus,"Swainson, 1823"
846,6540199,6540199,"Ramphastos ambiguus swainsonii Gould, 1833",6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,,Ramphastos ambiguus swainsonii,"Gould, 1833"
51,2478838,2478838,"Pteroglossus torquatus (J.F.Gmelin, 1788)",5337,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,LC,Pteroglossus torquatus,"(J.F.Gmelin, 1788)"
404,5844039,5844039,Pteroglossus torquatus erythropygius,57,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,,Pteroglossus torquatus erythropygius,
289,2478842,2478842,"Pteroglossus erythropygius Gould, 1843",64,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus erythropygius,2478842.0,LC,Pteroglossus erythropygius,"Gould, 1843"
705,6176849,6176849,"Andigena nigrirostris spilorhynchus Gould, 1858",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena nigrirostris,2478854.0,,Andigena nigrirostris spilorhynchus,"Gould, 1858"
595,2478861,2478861,"Andigena laminirostris Gould, 1851",195,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena laminirostris,2478861.0,NT,Andigena laminirostris,"Gould, 1851"
808,5229025,5229025,"Aulacorhynchus haematopygus (Gould, 1835)",4044,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,LC,Aulacorhynchus haematopygus,"(Gould, 1835)"
552,5229026,5229026,"Aulacorhynchus haematopygus sexnotatus Gould, 1868",12,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,,Aulacorhynchus haematopygus sexnotatus,"Gould, 1868"
494,2478979,2478979,"Eubucco bourcierii (Lafresnaye, 1845)",6334,SPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,LC,Eubucco bourcierii,"(Lafresnaye, 1845)"
399,6177007,6177007,"Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)",4,SUBSPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,,Eubucco bourcierii aequatorialis,"(Salvadori & Festa, 1900)"
697,2479030,2479030,"Capito squamatus Salvin, 1876",24,SPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Capito,2479028.0,Capito squamatus,2479030.0,LC,Capito squamatus,"Salvin, 1876"
24,2478863,2478863,"Semnornis ramphastinus (Jardine, 1855)",981,SPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,NT,Semnornis ramphastinus,"(Jardine, 1855)"
155,7059909,7059909,Semnornis ramphastinus ramphastinus,6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,,Semnornis ramphastinus ramphastinus,
837,2477472,2477472,"Nothocercus julius (Bonaparte, 1854)",10,SPECIES,ACCEPTED,Tinamiformes,726.0,Tinamidae,9353.0,Nothocercus,2477468.0,Nothocercus julius,2477472.0,LC,Nothocercus julius,"(Bonaparte, 1854)"
270,2477507,2477507,"Crypturellus soui (Hermann, 1783)",64,SPECIES,ACCEPTED,Tinamiformes,726.0,Tinamidae,9353.0,Crypturellus,2477492.0,Crypturellus soui,2477507.0,LC,Crypturellus soui,"(Hermann, 1783)"
293,2482546,2482546,"Cyanolyca pulchra (Lawrence, 1876)",21,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca pulchra,2482546.0,NT,Cyanolyca pulchra,"(Lawrence, 1876)"
386,2482549,2482549,"Cyanolyca turcosa (Bonaparte, 1853)",85,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca turcosa,2482549.0,LC,Cyanolyca turcosa,"(Bonaparte, 1853)"
78,7342105,7342105,"Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Corvidae,5235.0,Cyanolyca,2482541.0,Cyanolyca viridicyanus,7342105.0,NT,Cyanolyca viridicyanus,"(Orbigny & Lafresnaye, 1838)"
860,2486238,2486238,"Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)",54,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Snowornis,2486235.0,Snowornis cryptolophus,2486238.0,LC,Snowornis cryptolophus,"(P.L.Sclater & Salvin, 1877)"
822,2486253,2486253,"Querula purpurata (Statius Muller, 1776)",11,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Querula,2486252.0,Querula purpurata,2486253.0,LC,Querula purpurata,"(Statius Muller, 1776)"
175,5230338,5230338,"Pachyramphus cinnamomeus Lawrence, 1861",3994,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,LC,Pachyramphus cinnamomeus,"Lawrence, 1861"
568,7192347,7192347,Pachyramphus cinnamomeus cinnamomeus,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,,Pachyramphus cinnamomeus cinnamomeus,
486,5230348,5230348,"Pachyramphus versicolor (Hartlaub, 1843)",75,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,LC,Pachyramphus versicolor,"(Hartlaub, 1843)"
847,7061149,7061149,Pachyramphus versicolor versicolor,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,,Pachyramphus versicolor versicolor,
302,5230352,5230352,"Pachyramphus albogriseus P.L.Sclater, 1857",5,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,LC,Pachyramphus albogriseus,"P.L.Sclater, 1857"
650,5230353,5230353,"Pachyramphus albogriseus guayaquilensis Zimmer, 1936",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,,Pachyramphus albogriseus guayaquilensis,"Zimmer, 1936"
173,5230354,5230354,"Pachyramphus albogriseus salvini Richmond, 1899",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,,Pachyramphus albogriseus salvini,"Richmond, 1899"
535,5230358,5230358,"Pachyramphus homochrous P.L.Sclater, 1859",1301,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,LC,Pachyramphus homochrous,"P.L.Sclater, 1859"
357,7192350,7192350,Pachyramphus homochrous homochrous,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,,Pachyramphus homochrous homochrous,
715,5230363,5230363,"Pachyramphus polychopterus (Vieillot, 1818)",583,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,LC,Pachyramphus polychopterus,"(Vieillot, 1818)"
559,5230368,5230368,"Pachyramphus polychopterus dorsalis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,,Pachyramphus polychopterus dorsalis,"P.L.Sclater, 1862"
766,8120211,8120211,"Pachyramphus salvini Richmond, 1899",684,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus salvini,8120211.0,NE,Pachyramphus salvini,"Richmond, 1899"
296,2486328,2486328,"Ampelioides tschudii (G.R.Gray, 1846)",790,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Ampelioides,2486327.0,Ampelioides tschudii,2486328.0,LC,Ampelioides tschudii,"(G.R.Gray, 1846)"
217,5230374,5230374,"Rupicola peruvianus (Latham, 1790)",2019,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Rupicola,2486333.0,Rupicola peruvianus,5230374.0,LC,Rupicola peruvianus,"(Latham, 1790)"
391,5230377,5230377,"Rupicola peruvianus sanguinolentus Gould, 1859",11,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Rupicola,2486333.0,Rupicola peruvianus,5230374.0,,Rupicola peruvianus sanguinolentus,"Gould, 1859"
190,2486363,2486363,"Pipreola jucunda P.L.Sclater, 1860",43,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola jucunda,2486363.0,LC,Pipreola jucunda,"P.L.Sclater, 1860"
300,2486368,2486368,"Pipreola arcuata (Lafresnaye, 1843)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola arcuata,2486368.0,LC,Pipreola arcuata,"(Lafresnaye, 1843)"
390,7192340,7192340,Pipreola arcuata arcuata,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola arcuata,2486368.0,,Pipreola arcuata arcuata,
708,2486371,2486371,"Pipreola riefferii (Boissonneau, 1840)",48,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola riefferii,2486371.0,LC,Pipreola riefferii,"(Boissonneau, 1840)"
133,6172605,6172605,"Pipreola riefferii occidentalis (Chapman, 1914)",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola riefferii,2486371.0,,Pipreola riefferii occidentalis,"(Chapman, 1914)"
545,2486420,2486420,"Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)",16,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Ampelion,2486416.0,Ampelion rubrocristatus,2486420.0,LC,Ampelion rubrocristatus,"(Orbigny & Lafresnaye, 1837)"
681,7792707,6172522,"Schiffornis turdina veraepacis (P.L.Sclater & Salvin, 1860)",33,SPECIES,SYNONYM,Passeriformes,729.0,Cotingidae,5236.0,Schiffornis,2486445.0,Schiffornis turdina,2486447.0,LC,Schiffornis veraepacis,"(P.L.Sclater & Salvin, 1860)"
330,2486467,2486467,"Tityra semifasciata (Spix, 1825)",1307,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra semifasciata,2486467.0,LC,Tityra semifasciata,"(Spix, 1825)"
26,6172588,6172588,"Tityra semifasciata nigriceps Allen, 1888",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra semifasciata,2486467.0,,Tityra semifasciata nigriceps,"Allen, 1888"
369,2486476,2486476,"Tityra inquisitor (Lichtenstein, 1823)",285,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra inquisitor,2486476.0,LC,Tityra inquisitor,"(Lichtenstein, 1823)"
625,2486497,2486497,"Carpodectes hopkei Berlepsch, 1897",3,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Carpodectes,2486494.0,Carpodectes hopkei,2486497.0,LC,Carpodectes hopkei,"Berlepsch, 1897"
288,5959195,5959195,"Cephalopterus penduliger P.L.Sclater, 1859",47,SPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Cephalopterus,5959194.0,Cephalopterus penduliger,5959195.0,VU,Cephalopterus penduliger,"P.L.Sclater, 1859"
695,2487989,2487989,"Euphonia saturata (Cabanis, 1861)",824,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia saturata,2487989.0,LC,Euphonia saturata,"(Cabanis, 1861)"
309,2487998,2487998,"Euphonia laniirostris d'Orbigny & Lafresnaye, 1837",6088,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia laniirostris,2487998.0,LC,Euphonia laniirostris,"d'Orbigny & Lafresnaye, 1837"
259,2488011,2488011,"Euphonia xanthogaster Sundevall, 1834",7890,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia xanthogaster,2488011.0,LC,Euphonia xanthogaster,"Sundevall, 1834"
110,6172087,6172087,"Euphonia xanthogaster quitensis (Nelson, 1912)",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia xanthogaster,2488011.0,,Euphonia xanthogaster quitensis,"(Nelson, 1912)"
179,11296330,2488023,"Euphonia cyanocephala (Vieillot, 1819)",999,SPECIES,SYNONYM,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia cyanocephala,2488023.0,NE,Chlorophonia cyanocephala,"(Vieillot, 1819)"
525,11254200,6172103,"Euphonia cyanocephala pelzelni P.L.Sclater, 1886",1,SUBSPECIES,SYNONYM,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia cyanocephala,2488023.0,,Chlorophonia cyanocephala pelzelni,"(P.L.Sclater, 1886)"
231,2488312,2488312,"Chlorophonia pyrrhophrys (P.L.Sclater, 1851)",4,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Chlorophonia,2488311.0,Chlorophonia pyrrhophrys,2488312.0,LC,Chlorophonia pyrrhophrys,"(P.L.Sclater, 1851)"
561,2488313,2488313,"Chlorophonia flavirostris P.L.Sclater, 1861",861,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Chlorophonia,2488311.0,Chlorophonia flavirostris,2488313.0,LC,Chlorophonia flavirostris,"P.L.Sclater, 1861"
10,2488315,2488315,"Chlorophonia cyanea (Thunberg, 1822)",1,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Chlorophonia,2488311.0,Chlorophonia cyanea,2488315.0,LC,Chlorophonia cyanea,"(Thunberg, 1822)"
836,5231647,5231647,"Spinus psaltria (Say, 1822)",104,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus psaltria,5231647.0,LC,Spinus psaltria,"(Say, 1822)"
481,9042377,9042377,"Spinus psaltria colombianus (Lafresnaye, 1843)",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus psaltria,5231647.0,,Spinus psaltria colombianus,"(Lafresnaye, 1843)"
660,7341745,7341745,"Spinus magellanicus (Vieillot, 1805)",87,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus magellanicus,7341745.0,LC,Spinus magellanicus,"(Vieillot, 1805)"
211,7341765,7341765,"Spinus xanthogastrus (Du Bus de Gisignies, 1855)",377,SPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus xanthogastrus,7341765.0,LC,Spinus xanthogastrus,"(Du Bus de Gisignies, 1855)"
670,7341766,7341766,Spinus xanthogastrus xanthogastrus,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus xanthogastrus,7341765.0,,Spinus xanthogastrus xanthogastrus,
322,2484927,2484927,"Synallaxis unirufa Lafresnaye, 1843",96,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis unirufa,2484927.0,LC,Synallaxis unirufa,"Lafresnaye, 1843"
313,2485023,2485023,"Synallaxis brachyura Lafresnaye, 1843",4129,SPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,LC,Synallaxis brachyura,"Lafresnaye, 1843"
735,6089681,6089681,Synallaxis brachyura chapmani,9,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,,Synallaxis brachyura chapmani,
79,7683967,7683967,"Synallaxis brachyura nigrifumosa Lawrence, 1865",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,,Synallaxis brachyura nigrifumosa,"Lawrence, 1865"
