,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras
150,2482183,2482183,"Chamaepetes goudotii (R.Lesson, 1828)",740,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,LC,Chamaepetes goudotii,"(R.Lesson, 1828)"
636,6177862,6177862,"Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,,Chamaepetes goudotii fagani,"C.Chubb, 1917"
145,2482198,2482198,"Penelope montagnii (Bonaparte, 1856)",25,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope montagnii,2482198.0,LC,Penelope montagnii,"(Bonaparte, 1856)"
491,2482216,2482216,"Penelope ortoni Salvin, 1874",8,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope ortoni,2482216.0,EN,Penelope ortoni,"Salvin, 1874"
48,2482225,2482225,"Penelope purpurascens Wagler, 1830",3098,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Penelope,2482191.0,Penelope purpurascens,2482225.0,NT,Penelope purpurascens,"Wagler, 1830"
371,2482313,2482313,"Aburria aburri (R.Lesson, 1828)",1400,SPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Aburria,2482290.0,Aburria aburri,2482313.0,NT,Aburria aburri,"(R.Lesson, 1828)"
858,5228045,5228045,"Odontophorus erythrops Gould, 1859",35,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus erythrops,5228045.0,LC,Odontophorus erythrops,"Gould, 1859"
240,5228049,5228049,"Odontophorus melanonotus Gould, 1861",1039,SPECIES,ACCEPTED,Galliformes,723.0,Odontophoridae,9325.0,Odontophorus,2474171.0,Odontophorus melanonotus,5228049.0,VU,Odontophorus melanonotus,"Gould, 1861"
442,5228236,5228236,"Galbula ruficauda Cuvier, 1816",15,SPECIES,ACCEPTED,Piciformes,724.0,Galbulidae,5244.0,Galbula,7772409.0,Galbula ruficauda,5228236.0,LC,Galbula ruficauda,"Cuvier, 1816"
723,2475147,2475147,"Malacoptila panamensis Lafresnaye, 1847",76,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,LC,Malacoptila panamensis,"Lafresnaye, 1847"
601,6180305,6180305,"Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,,Malacoptila panamensis poliopis,"P.L.Sclater, 1862"
691,2475200,2475200,"Nystalus radiatus (P.L.Sclater, 1854)",514,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Nystalus,2475191.0,Nystalus radiatus,2475200.0,LC,Nystalus radiatus,"(P.L.Sclater, 1854)"
614,2475205,2475205,"Hapaloptila castanea (J.Verreaux, 1866)",24,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Hapaloptila,2475204.0,Hapaloptila castanea,2475205.0,LC,Hapaloptila castanea,"(J.Verreaux, 1866)"
676,2475207,2475207,"Micromonacha lanceolata (Deville, 1849)",22,SPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Micromonacha,2475206.0,Micromonacha lanceolata,2475207.0,LC,Micromonacha lanceolata,"(Deville, 1849)"
732,5228725,5228725,"Picumnus olivaceus Lafresnaye, 1845",892,SPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,LC,Picumnus olivaceus,"Lafresnaye, 1845"
440,5228729,5228729,"Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,,Picumnus olivaceus harterti,"Hellmayr, 1909"
