taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,absoluteRatio,rarity,relativeRatio,relativePercent
6177862,"Chamaepetes goudotii fagani C.Chubb, 1917",6177862,"Chamaepetes goudotii fagani C.Chubb, 1917",2,SUBSPECIES,ACCEPTED,Galliformes,723.0,Cracidae,5237.0,Chamaepetes,2482181.0,Chamaepetes goudotii,2482183.0,,3.0828801499512905e-06,Rare,0.0026954177897574125,0.270%
6180305,"Malacoptila panamensis poliopis P.L.Sclater, 1862",6180305,"Malacoptila panamensis poliopis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Bucconidae,5703.0,Malacoptila,2475141.0,Malacoptila panamensis,2475147.0,,3.0828801499512905e-06,Rare,0.02564102564102564,2.56%
5228729,"Picumnus olivaceus harterti Hellmayr, 1909",5228729,"Picumnus olivaceus harterti Hellmayr, 1909",2,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Picumnus,2477643.0,Picumnus olivaceus,5228725.0,,3.0828801499512905e-06,Rare,0.0022371364653243847,0.224%
5228833,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860",5228833,"Dryocopus lineatus fuscipennis P.L.Sclater, 1860",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Dryocopus,2477865.0,Dryocopus lineatus,5228831.0,,4.624320224926936e-06,Rare,0.004048582995951417,0.405%
7192569,Campephilus pollens pollens,7192569,Campephilus pollens pollens,3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus pollens,2478569.0,,4.624320224926936e-06,Rare,0.001388888888888889,0.139%
6177626,"Campephilus haematogaster splendens Hargitt, 1889",6177626,"Campephilus haematogaster splendens Hargitt, 1889",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Campephilus,2478560.0,Campephilus haematogaster,2478584.0,,1.5414400749756452e-06,Very Rare,0.000462962962962963,0.046%
8953206,Leuconotopicus fumigatus fumigatus,8953206,Leuconotopicus fumigatus fumigatus,5,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,7.707200374878227e-06,Rare,0.0021777003484320556,0.218%
9095476,"Leuconotopicus fumigatus obscuratus (Chapman, 1927)",9095476,"Leuconotopicus fumigatus obscuratus (Chapman, 1927)",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Leuconotopicus,4845041.0,Leuconotopicus fumigatus,9000455.0,,1.5414400749756452e-06,Very Rare,0.00043554006968641115,0.044%
6540192,"Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)",6540192,"Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,,4.624320224926936e-06,Rare,0.0009104704097116844,0.091%
6540199,"Ramphastos ambiguus swainsonii Gould, 1833",6540199,"Ramphastos ambiguus swainsonii Gould, 1833",6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,,9.248640449853871e-06,Rare,0.00045627376425855514,0.046%
5844039,Pteroglossus torquatus erythropygius,5844039,Pteroglossus torquatus erythropygius,57,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,,8.786208427361178e-05,Uncommon,0.01044338585562477,1.04%
6176849,"Andigena nigrirostris spilorhynchus Gould, 1858",6176849,"Andigena nigrirostris spilorhynchus Gould, 1858",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena nigrirostris,2478854.0,,1.5414400749756452e-06,Very Rare,0.00510204081632653,0.510%
5229026,"Aulacorhynchus haematopygus sexnotatus Gould, 1868",5229026,"Aulacorhynchus haematopygus sexnotatus Gould, 1868",12,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,,1.8497280899707743e-05,Rare,0.0029585798816568047,0.296%
6177007,"Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)",6177007,"Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)",4,SUBSPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,,6.165760299902581e-06,Rare,0.0006311139160618492,0.063%
7059909,Semnornis ramphastinus ramphastinus,7059909,Semnornis ramphastinus ramphastinus,6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,,9.248640449853871e-06,Rare,0.0060790273556231,0.608%
7192347,Pachyramphus cinnamomeus cinnamomeus,7192347,Pachyramphus cinnamomeus cinnamomeus,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,,3.0828801499512905e-06,Rare,0.00030052592036063113,0.030%
7061149,Pachyramphus versicolor versicolor,7061149,Pachyramphus versicolor versicolor,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,,1.5414400749756452e-06,Very Rare,0.00015026296018031557,0.015%
5230353,"Pachyramphus albogriseus guayaquilensis Zimmer, 1936",5230353,"Pachyramphus albogriseus guayaquilensis Zimmer, 1936",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,,7.707200374878227e-06,Rare,0.0007513148009015778,0.075%
5230354,"Pachyramphus albogriseus salvini Richmond, 1899",5230354,"Pachyramphus albogriseus salvini Richmond, 1899",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,,1.5414400749756452e-06,Very Rare,0.00015026296018031557,0.015%
7192350,Pachyramphus homochrous homochrous,7192350,Pachyramphus homochrous homochrous,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,,3.0828801499512905e-06,Rare,0.00030052592036063113,0.030%
5230368,"Pachyramphus polychopterus dorsalis P.L.Sclater, 1862",5230368,"Pachyramphus polychopterus dorsalis P.L.Sclater, 1862",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,,3.0828801499512905e-06,Rare,0.00030052592036063113,0.030%
5230377,"Rupicola peruvianus sanguinolentus Gould, 1859",5230377,"Rupicola peruvianus sanguinolentus Gould, 1859",11,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Rupicola,2486333.0,Rupicola peruvianus,5230374.0,,1.69558408247321e-05,Rare,0.00541871921182266,0.542%
7192340,Pipreola arcuata arcuata,7192340,Pipreola arcuata arcuata,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola arcuata,2486368.0,,1.5414400749756452e-06,Very Rare,0.010309278350515464,1.03%
6172605,"Pipreola riefferii occidentalis (Chapman, 1914)",6172605,"Pipreola riefferii occidentalis (Chapman, 1914)",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Pipreola,2486358.0,Pipreola riefferii,2486371.0,,4.624320224926936e-06,Rare,0.030927835051546393,3.09%
6172588,"Tityra semifasciata nigriceps Allen, 1888",6172588,"Tityra semifasciata nigriceps Allen, 1888",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Cotingidae,5236.0,Tityra,2486465.0,Tityra semifasciata,2486467.0,,1.5414400749756452e-06,Very Rare,0.0006277463904582549,0.063%
6172087,"Euphonia xanthogaster quitensis (Nelson, 1912)",6172087,"Euphonia xanthogaster quitensis (Nelson, 1912)",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia xanthogaster,2488011.0,,7.707200374878227e-06,Rare,0.0003163155563990637,0.032%
11254200,"Chlorophonia cyanocephala pelzelni (P.L.Sclater, 1886)",6172103,"Euphonia cyanocephala pelzelni P.L.Sclater, 1886",1,SUBSPECIES,SYNONYM,Passeriformes,729.0,Fringillidae,5242.0,Euphonia,2487948.0,Euphonia cyanocephala,2488023.0,,1.5414400749756452e-06,Very Rare,6.326311127981274e-05,0.006%
9042377,"Spinus psaltria colombianus (Lafresnaye, 1843)",9042377,"Spinus psaltria colombianus (Lafresnaye, 1843)",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus psaltria,5231647.0,,1.5414400749756452e-06,Very Rare,0.0017543859649122807,0.175%
7341766,Spinus xanthogastrus xanthogastrus,7341766,Spinus xanthogastrus xanthogastrus,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Fringillidae,5242.0,Spinus,8051475.0,Spinus xanthogastrus,7341765.0,,1.5414400749756452e-06,Very Rare,0.0017543859649122807,0.175%
6089681,Synallaxis brachyura chapmani,6089681,Synallaxis brachyura chapmani,9,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,,1.3872960674780808e-05,Rare,0.0019863164864268373,0.199%
7683967,"Synallaxis brachyura nigrifumosa Lawrence, 1865",7683967,"Synallaxis brachyura nigrifumosa Lawrence, 1865",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,,3.0828801499512905e-06,Rare,0.0004414036636504083,0.044%
6171449,"Sclerurus mexicanus obscurior Hartert, 1901",6171449,"Sclerurus mexicanus obscurior Hartert, 1901",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Sclerurus,2485208.0,Sclerurus mexicanus,2485221.0,,1.5414400749756452e-06,Very Rare,0.0049504950495049506,0.495%
7191781,Thripadectes virgaticeps virgaticeps,7191781,Thripadectes virgaticeps virgaticeps,6,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes virgaticeps,2485257.0,,9.248640449853871e-06,Rare,0.0084985835694051,0.850%
6171562,"Thripadectes holostictus striatidorsus (Berlepsch & Taczanowski, 1884)",6171562,"Thripadectes holostictus striatidorsus (Berlepsch & Taczanowski, 1884)",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes holostictus,2485265.0,,3.0828801499512905e-06,Rare,0.0028328611898017,0.283%
7191783,Thripadectes flammulatus flammulatus,7191783,Thripadectes flammulatus flammulatus,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Thripadectes,2485254.0,Thripadectes flammulatus,2485272.0,,1.5414400749756452e-06,Very Rare,0.00141643059490085,0.142%
7191807,Premnoplex brunnescens brunnescens,7191807,Premnoplex brunnescens brunnescens,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Premnoplex,2485275.0,Premnoplex brunnescens,2485279.0,,3.0828801499512905e-06,Rare,0.0029850746268656717,0.299%
7191795,Cranioleuca erythrops erythrops,7191795,Cranioleuca erythrops erythrops,11,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Cranioleuca,2485286.0,Cranioleuca erythrops,2485336.0,,1.69558408247321e-05,Rare,0.0013172075200574781,0.132%
6171492,"Glyphorynchus spirurus sublestus J.L.Peters, 1929",6171492,"Glyphorynchus spirurus sublestus J.L.Peters, 1929",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Glyphorynchus,2485340.0,Glyphorynchus spirurus,2485341.0,,3.0828801499512905e-06,Rare,0.0035211267605633804,0.352%
7191813,Syndactyla subalaris subalaris,7191813,Syndactyla subalaris subalaris,7,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Syndactyla,2485356.0,Syndactyla subalaris,2485362.0,,1.0790080524829517e-05,Rare,0.0021014710297208045,0.210%
11094483,"Automolus virgatus assimilis Berlepsch & Taczanowski, 1884",6171326,"Hyloctistes subulatus assimilis (Berlepsch & Taczanowski, 1884)",2,SUBSPECIES,SYNONYM,Passeriformes,729.0,Furnariidae,5243.0,Hyloctistes,2485498.0,Hyloctistes subulatus,2485499.0,,3.0828801499512905e-06,Rare,0.05,5.00%
