taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,absoluteRatio,rarity,relativeRatio,relativePercent
5230175,"Xiphorhynchus erythropygius aequatorialis (Berlepsch & Taczanowski, 1884)",5230175,"Xiphorhynchus erythropygius aequatorialis (Berlepsch & Taczanowski, 1884)",10,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Xiphorhynchus,2485513.0,Xiphorhynchus erythropygius,5230172.0,,1.5414400749756454e-05,Rare,0.002299379167624741,0.230%
7458315,Premnornis guttuliger guttuliger,7458315,Premnornis guttuliger guttuliger,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Premnornis,2485609.0,Premnornis guttuliger,6100762.0,,1.5414400749756452e-06,Very Rare,0.017543859649122806,1.75%
6171598,"Anabacerthia variegaticeps temporalis (P.L.Sclater, 1859)",6171598,"Anabacerthia variegaticeps temporalis (P.L.Sclater, 1859)",13,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Anabacerthia,2485681.0,Anabacerthia variegaticeps,2485691.0,,2.0038720974683387e-05,Rare,0.0034291743603270903,0.343%
10958105,"Dendroma rufa riveti (Ménégaux & Hellmayr, 1906)",6171472,"Philydor rufum riveti Menegaux & Hellmayr, 1906",12,SUBSPECIES,SYNONYM,Passeriformes,729.0,Furnariidae,5243.0,Philydor,2485696.0,Philydor rufum,2485712.0,,1.8497280899707743e-05,Rare,0.002602472348731295,0.260%
6171472,"Philydor rufum riveti Menegaux & Hellmayr, 1906",6171472,"Philydor rufum riveti Menegaux & Hellmayr, 1906",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Philydor,2485696.0,Philydor rufum,2485712.0,,3.0828801499512905e-06,Rare,0.00043374539145521576,0.043%
7742615,"Clibanornis rubiginosus nigricauda (Hartert & Ejo, 1898)",5230274,"Automolus rubiginosus nigricauda Hartert, 1898",4,SUBSPECIES,SYNONYM,Passeriformes,729.0,Furnariidae,5243.0,Automolus,2485730.0,Automolus rubiginosus,5230262.0,,6.165760299902581e-06,Rare,0.01282051282051282,1.28%
7991598,Clibanornis rubiginosus rubiginosus,5230262,"Automolus rubiginosus (P.L.Sclater, 1857)",1,SUBSPECIES,SYNONYM,Passeriformes,729.0,Furnariidae,5243.0,Automolus,2485730.0,Automolus rubiginosus,5230262.0,,1.5414400749756452e-06,Very Rare,0.003205128205128205,0.321%
6171072,"Dendrocincla fuliginosa ridgwayi Oberholser, 1904",6171072,"Dendrocincla fuliginosa ridgwayi Oberholser, 1904",11,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Dendrocincla,2485949.0,Dendrocincla fuliginosa,2485950.0,,1.69558408247321e-05,Rare,0.004044117647058824,0.404%
7191844,Dendrocincla tyrannina tyrannina,7191844,Dendrocincla tyrannina tyrannina,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Dendrocincla,2485949.0,Dendrocincla tyrannina,2485976.0,,3.0828801499512905e-06,Rare,0.0007352941176470588,0.074%
6171258,"Lepidocolaptes lacrymiger aequatorialis (Menegaux, 1912)",6171258,"Lepidocolaptes lacrymiger aequatorialis (Menegaux, 1912)",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Lepidocolaptes,2486010.0,Lepidocolaptes lacrymiger,2486011.0,,7.707200374878227e-06,Rare,0.0018288222384784199,0.183%
6171282,"Lepidocolaptes souleyetii esmeraldae Chapman, 1923",6171282,"Lepidocolaptes souleyetii esmeraldae Chapman, 1923",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Furnariidae,5243.0,Lepidocolaptes,2486010.0,Lepidocolaptes souleyetii,2486044.0,,4.624320224926936e-06,Rare,0.0010972933430870519,0.110%
7340430,Pygochelidon cyanoleuca cyanoleuca,7340430,Pygochelidon cyanoleuca cyanoleuca,2,SUBSPECIES,DOUBTFUL,Passeriformes,729.0,Hirundinidae,5248.0,Notiochelidon,2489174.0,Notiochelidon cyanoleuca,2489208.0,,3.0828801499512905e-06,Rare,0.00025284450063211124,0.025%
8887792,Notiochelidon cyanoleuca cyanoleuca,8887792,Notiochelidon cyanoleuca cyanoleuca,2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Hirundinidae,5248.0,Notiochelidon,2489174.0,Notiochelidon cyanoleuca,2489208.0,LC,3.0828801499512905e-06,Rare,0.00025284450063211124,0.025%
6086538,"Stelgidopteryx ruficollis uropygialis (Lawrence, 1863)",6086538,"Stelgidopteryx ruficollis uropygialis (Lawrence, 1863)",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Hirundinidae,5248.0,Stelgidopteryx,2489200.0,Stelgidopteryx ruficollis,2489203.0,,3.0828801499512905e-06,Rare,0.00046609182008855747,0.047%
6172898,Geothlypis semiflava semiflava,6172898,Geothlypis semiflava semiflava,4,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Geothlypis,2489637.0,Geothlypis semiflava,2489641.0,,6.165760299902581e-06,Rare,0.004807692307692308,0.481%
6173144,"Myioborus miniatus ballux Wetmore & Phelps, 1944",6173144,"Myioborus miniatus ballux Wetmore & Phelps, 1944",13,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Myioborus,2489828.0,Myioborus miniatus,2489837.0,,2.0038720974683387e-05,Rare,0.0019022534386889084,0.190%
6093241,"Setophaga pitiayumi pacifica (von Berlepsch & Taczanowski, 1884)",6093241,"Setophaga pitiayumi pacifica (von Berlepsch & Taczanowski, 1884)",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga pitiayumi,7341895.0,,4.624320224926936e-06,Rare,0.0002674988854213107,0.027%
6171777,"Masius chrysopterus coronulatus P.L.Sclater, 1860",6171777,"Masius chrysopterus coronulatus P.L.Sclater, 1860",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Pipridae,5270.0,Masius,2487739.0,Masius chrysopterus,2487740.0,,3.0828801499512905e-06,Rare,0.0035087719298245615,0.351%
6171703,"Machaeropterus regulus striolatus (Bonaparte, 1838)",6171703,"Machaeropterus regulus striolatus (Bonaparte, 1838)",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Pipridae,5270.0,Machaeropterus,2487746.0,Machaeropterus regulus,2487747.0,,1.5414400749756452e-06,Very Rare,0.0005844535359438924,0.058%
7852616,Euchrepomis callinota callinota,2490016,"Terenura callinota (P.L.Sclater, 1855)",3,SUBSPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Terenura,2490011.0,Terenura callinota,2490016.0,,4.624320224926936e-06,Rare,0.011494252873563218,1.15%
7341504,Terenura callinota callinota,7341504,Terenura callinota callinota,1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Terenura,2490011.0,Terenura callinota,2490016.0,,1.5414400749756452e-06,Very Rare,0.0038314176245210726,0.383%
6092915,"Dysithamnus mentalis aequatorialis Todd, 1916",6092915,"Dysithamnus mentalis aequatorialis Todd, 1916",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Dysithamnus,2490027.0,Dysithamnus mentalis,2490033.0,,1.5414400749756452e-06,Very Rare,0.019230769230769232,1.92%
9577438,"Poliocrania exsul maculifer (Hellmayr, 1906)",6090729,"Myrmeciza exsul maculifer (Hellmayr, 1906)",2,SUBSPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmeciza,2490145.0,Myrmeciza exsul,2490163.0,,3.0828801499512905e-06,Rare,0.0014858841010401188,0.149%
9524245,"Hafferia zeledoni berlepschi (Ridgway, 1909)",7459131,"Myrmeciza zeledoni Ridgway, 1909",2,SUBSPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmeciza,2490145.0,Myrmeciza zeledoni,7459131.0,,3.0828801499512905e-06,Rare,0.0014858841010401188,0.149%
7341689,Myrmotherula schisticolor schisticolor,7341689,Myrmotherula schisticolor schisticolor,5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmotherula,2490167.0,Myrmotherula schisticolor,2490202.0,,7.707200374878227e-06,Rare,0.002364066193853428,0.236%
6093898,"Taraba major transandeanus (P.L.Sclater, 1855)",6093898,"Taraba major transandeanus (P.L.Sclater, 1855)",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Taraba,2490223.0,Taraba major,2490224.0,,1.5414400749756452e-06,Very Rare,0.0023584905660377358,0.236%
7341890,Thamnophilus unicolor unicolor,7341890,Thamnophilus unicolor unicolor,6,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Thamnophilus,5959199.0,Thamnophilus unicolor,5959212.0,,9.248640449853871e-06,Rare,0.015873015873015872,1.59%
6093940,"Turdus serranus fuscobrunneus (Chapman, 1912)",6093940,"Turdus serranus fuscobrunneus (Chapman, 1912)",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Turdidae,5290.0,Turdus,2490714.0,Turdus serranus,2490784.0,,4.624320224926936e-06,Rare,0.0003698224852071006,0.037%
9651823,Catharus maculatus maculatus,6086112,"Catharus dryas maculatus (P.L.Sclater, 1858)",4,SUBSPECIES,SYNONYM,Passeriformes,729.0,Turdidae,5290.0,Catharus,2490799.0,Catharus dryas,2490808.0,,6.165760299902581e-06,Rare,0.0010554089709762533,0.106%
6171849,"Catharus ustulatus swainsoni (Tschudi, 1845)",6171849,"Catharus ustulatus swainsoni (Tschudi, 1845)",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Turdidae,5290.0,Catharus,2490799.0,Catharus ustulatus,2490821.0,,3.0828801499512905e-06,Rare,0.0005277044854881266,0.053%
6086489,"Myadestes ralloides plumbeiceps Hellmayr, 1921",6086489,"Myadestes ralloides plumbeiceps Hellmayr, 1921",6,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Turdidae,5290.0,Myadestes,2490834.0,Myadestes ralloides,2490848.0,,9.248640449853871e-06,Rare,0.0033351862145636463,0.334%
7192090,Leptopogon superciliaris superciliaris,7192090,Leptopogon superciliaris superciliaris,10,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Leptopogon,2482709.0,Leptopogon superciliaris,5229505.0,,1.5414400749756454e-05,Rare,0.0026490066225165563,0.265%
5229507,"Leptopogon superciliaris transandinus Berlepsch & Taczanowski, 1884",5229507,"Leptopogon superciliaris transandinus Berlepsch & Taczanowski, 1884",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Leptopogon,2482709.0,Leptopogon superciliaris,5229505.0,,4.624320224926936e-06,Rare,0.0007947019867549669,0.079%
5229529,"Mionectes olivaceus hederaceus Bangs, 1910",5229529,"Mionectes olivaceus hederaceus Bangs, 1910",8,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Mionectes,2482811.0,Mionectes olivaceus,9504121.0,,1.2331520599805162e-05,Rare,0.014925373134328358,1.49%
12239740,"Mionectes galbinus hederaceus Bangs, 1910",12239740,"Mionectes galbinus hederaceus Bangs, 1910",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Mionectes,2482811.0,Mionectes galbinus,10803607.0,,4.624320224926936e-06,Rare,0.005597014925373134,0.560%
5229569,"Fluvicola nengeta atripennis P.L.Sclater, 1860",5229569,"Fluvicola nengeta atripennis P.L.Sclater, 1860",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Fluvicola,2482857.0,Fluvicola nengeta,5229568.0,,1.5414400749756452e-06,Very Rare,0.00045599635202918376,0.046%
6174610,"Myiozetetes cayanensis hellmayri Hartert & Goodson, 1917",6174610,"Myiozetetes cayanensis hellmayri Hartert & Goodson, 1917",5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Myiozetetes,2482912.0,Myiozetetes cayanensis,2482921.0,,7.707200374878227e-06,Rare,0.00055666889334224,0.056%
5229588,"Platyrinchus mystaceus albogularis P.L.Sclater, 1860",5229588,"Platyrinchus mystaceus albogularis P.L.Sclater, 1860",6,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Platyrinchus,2483053.0,Platyrinchus mystaceus,9701018.0,,9.248640449853871e-06,Rare,0.018691588785046728,1.87%
5229610,"Elaenia flavogaster semipagana P.L.Sclater, 1862",5229610,"Elaenia flavogaster semipagana P.L.Sclater, 1862",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Elaenia,2483089.0,Elaenia flavogaster,5229606.0,,1.5414400749756452e-06,Very Rare,0.0004589261128958238,0.046%
8983717,Pogonotriccus ophthalmicus ophthalmicus,2483217,"Phylloscartes ophthalmicus (Taczanowski, 1874)",3,SUBSPECIES,SYNONYM,Passeriformes,729.0,Tyrannidae,5291.0,Phylloscartes,2483199.0,Phylloscartes ophthalmicus,2483217.0,,4.624320224926936e-06,Rare,0.0032397408207343412,0.324%
6174501,"Todirostrum cinereum sclateri (Cabanis & Heine, 1859)",6174501,"Todirostrum cinereum sclateri (Cabanis & Heine, 1859)",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Todirostrum,2483258.0,Todirostrum cinereum,2483274.0,,3.0828801499512905e-06,Rare,0.0013166556945358788,0.132%
7192071,Myiobius villosus villosus,7192071,Myiobius villosus villosus,5,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Myiobius,2483292.0,Myiobius villosus,2483293.0,,7.707200374878227e-06,Rare,0.01179245283018868,1.18%
7060955,Tyrannus melancholicus melancholicus,7060955,Tyrannus melancholicus melancholicus,4,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Tyrannus,2483336.0,Tyrannus melancholicus,5229662.0,,6.165760299902581e-06,Rare,0.000388651379712398,0.039%
6174878,"Lophotriccus pileatus squamaecrista (Lafresnaye, 1846)",6174878,"Lophotriccus pileatus squamaecrista (Lafresnaye, 1846)",14,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Tyrannidae,5291.0,Lophotriccus,2483395.0,Lophotriccus pileatus,2483402.0,,2.1580161049659035e-05,Rare,0.0027189745581666343,0.272%
