gbif_scientificName,wiki_commonName
Sclerurus obscurior,Dusky Leaftosser
Thripadectes ignobilis,Uniform Treehunter
Thripadectes virgaticeps,Streak-capped Treehunter
Thripadectes virgaticeps virgaticeps,Streak-capped Treehunter
Thripadectes holostictus,Striped Treehunter
Thripadectes holostictus striatidorsus,Striped Treehunter
Thripadectes flammulatus flammulatus,Flammulated Treehunter
Premnoplex brunnescens,Spotted Barbtail
Premnoplex brunnescens brunnescens,Spotted Barbtail
Cranioleuca erythrops,Red-faced Spinetail
Cranioleuca erythrops erythrops,Red-faced Spinetail
Glyphorynchus spirurus,Wedge-billed Woodcreeper
Glyphorynchus spirurus sublestus,Wedge-billed Woodcreeper
Syndactyla subalaris,Lineated Foliage-Gleaner
Syndactyla subalaris subalaris,Lineated Foliage-Gleaner
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper
Automolus virgatus,Western Woodhaunter
Automolus virgatus assimilis,Western Woodhaunter
Xiphorhynchus erythropygius,Spotted Woodcreeper
Xiphorhynchus erythropygius aequatorialis,Spotted Woodcreeper
Xiphorhynchus lachrymosus,Black-striped Woodcreeper
Premnornis guttuliger,Rusty-winged Barbtail
Premnornis guttuliger guttuliger,Rusty-winged Barbtail
Pseudocolaptes boissonneautii,Streaked Tuftedcheek
Pseudocolaptes johnsoni,Pacific Tuftedcheek
Xenops rutilans,Streaked Xenops
Xenops minutus,Atlantic Plain Xenops
Anabacerthia variegaticeps,Scaly-throated Foliage-Gleaner
Anabacerthia variegaticeps temporalis,Scaly-throated Foliage-Gleaner
Dendroma rufa,Buff-fronted Foliage-Gleaner
Dendroma rufa riveti,Buff-fronted Foliage-Gleaner
Philydor rufum riveti,Buff-fronted Foliage-Gleaner
Philydor rufum,Buff-fronted Foliage-Gleaner
Clibanornis rubiginosus,Ruddy Foliage-Gleaner
Clibanornis rubiginosus nigricauda,Ruddy Foliage-Gleaner
Clibanornis rubiginosus rubiginosus,Ruddy Foliage-Gleaner
Dendrocolaptes sanctithomae,Northern Barred Woodcreeper
Furnarius cinnamomeus,Pacific Hornero
Margarornis squamiger,Pearled Treerunner
Campylorhamphus pusillus,Brown-billed Scythebill
Dendrocincla fuliginosa,Plain-brown Woodcreeper
Dendrocincla fuliginosa ridgwayi,Plain-brown Woodcreeper
Dendrocincla tyrannina,Tyrannine Woodcreeper
Dendrocincla tyrannina tyrannina,Tyrannine Woodcreeper
