sort v2024,species_code,English name,scientific name
408.0,rudshe,Ruddy Shelduck,Tadorna ferruginea
410.0,soashe1,South African Shelduck,Tadorna cana
411.0,ausshe1,Australian Shelduck,Tadorna tadornoides
412.0,parshe1,Paradise Shelduck,Tadorna variegata
413.0,comshe,Common Shelduck,Tadorna tadorna
415.0,creshe1,Crested Shelduck,Tadorna cristata
416.0,spwgoo1,Spur-winged Goose,Plectropterus gambensis
419.0,flystd1,Flying Steamer-Duck,Tachyeres patachonicus
420.0,flistd1,Flightless Steamer-Duck,Tachyeres pteneres
422.0,falstd1,Falkland Steamer-Duck,Tachyeres brachypterus
425.0,whhstd1,White-headed Steamer-Duck,Tachyeres leucocephalus
427.0,creduc1,Crested Duck,Lophonetta specularioides
430.0,speduc2,Spectacled Duck,Speculanas specularis
431.0,musduc,Muscovy Duck,Cairina moschata
434.0,grnpyg1,Green Pygmy-Goose,Nettapus pulchellus
435.0,copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus
439.0,afrpyg1,African Pygmy-Goose,Nettapus auritus
440.0,rintea1,Ringed Teal,Callonetta leucophrys
441.0,wooduc,Wood Duck,Aix sponsa
443.0,manduc,Mandarin Duck,Aix galericulata
445.0,manduc1,Maned Duck,Chenonetta jubata
446.0,finduc1,Finsch's Duck,Chenonetta finschi
447.0,bratea1,Brazilian Teal,Amazonetta brasiliensis
450.0,bluduc1,Blue Duck,Hymenolaimus malacorhynchos
453.0,torduc1,Torrent Duck,Merganetta armata
460.0,saltea1,Salvadori's Teal,Salvadorina waigiuensis
461.0,baitea,Baikal Teal,Sibirionetta formosa
462.0,gargan,Garganey,Spatula querquedula
463.0,hottea1,Blue-billed Teal,Spatula hottentota
464.0,siltea1,Silver Teal,Spatula versicolor
467.0,puntea1,Puna Teal,Spatula puna
468.0,buwtea,Blue-winged Teal,Spatula discors
469.0,cintea,Cinnamon Teal,Spatula cyanoptera
478.0,redsho1,Red Shoveler,Spatula platalea
479.0,capsho1,Cape Shoveler,Spatula smithii
480.0,aussho1,Australasian Shoveler,Spatula rhynchotis
483.0,norsho,Northern Shoveler,Spatula clypeata
487.0,gadwal,Gadwall,Mareca strepera
491.0,falduc,Falcated Duck,Mareca falcata
494.0,eurwig,Eurasian Wigeon,Mareca penelope
497.0,amewig,American Wigeon,Mareca americana
504.0,chiwig1,Chiloe Wigeon,Mareca sibilatrix
506.0,amsduc1,Amsterdam Duck,Mareca marecula
507.0,afbduc1,African Black Duck,Anas sparsa
510.0,yebduc1,Yellow-billed Duck,Anas undulata
513.0,melduc1,Meller's Duck,Anas melleri
514.0,pabduc1,Pacific Black Duck,Anas superciliosa
517.0,layduc,Laysan Duck,Anas laysanensis
518.0,hawduc,Hawaiian Duck,Anas wyvilliana
519.0,phiduc1,Philippine Duck,Anas luzonica
520.0,isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha
523.0,spbduc,Eastern Spot-billed Duck,Anas zonorhyncha
525.0,mallar3,Mallard,Anas platyrhynchos
547.0,mexduc,Mexican Duck,Anas diazi
550.0,ambduc,American Black Duck,Anas rubripes
554.0,motduc,Mottled Duck,Anas fulvigula
563.0,captea1,Cape Teal,Anas capensis
564.0,whcpin,White-cheeked Pintail,Anas bahamensis
