taxonKey	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity	relativeRatio	relativePercent	splitScientificName	splitExtras
6174730	6174730	Capsiempis flaveola magnirostris Hartert, 1898	4	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Capsiempis	2483844.0	Capsiempis flaveola	2483845.0		6.165760299902581e-06	Rare	0.0020253164556962027	0.203%	Capsiempis flaveola	magnirostris Hartert, 1898
7728532	2483845	Capsiempis flaveola (Lichtenstein, 1823)	2	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Capsiempis	2483844.0	Capsiempis flaveola	2483845.0	NE	3.0828801499512905e-06	Rare	0.0010126582278481013	0.101%	Phylloscartes flaveola	(Lichtenstein, 1823)
2483855	2483855	Tyrannulus elatus (Latham, 1790)	142	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Tyrannulus	2483854.0	Tyrannulus elatus	2483855.0	LC	0.00021888449064654162	Uncommon	1.0	100.0%	Tyrannulus elatus	(Latham, 1790)
2483882	2483882	Poecilotriccus ruficeps (Kaup, 1852)	34	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Poecilotriccus	2483869.0	Poecilotriccus ruficeps	2483882.0	LC	5.2408962549171936e-05	Uncommon	0.9714285714285714	97.1%	Poecilotriccus ruficeps	(Kaup, 1852)
6174347	6174347	Poecilotriccus ruficeps rufigenis (P.L.Sclater & Salvin, 1877)	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Poecilotriccus	2483869.0	Poecilotriccus ruficeps	2483882.0		1.5414400749756452e-06	Very Rare	0.02857142857142857	2.86%	Poecilotriccus ruficeps	rufigenis (P.L.Sclater & Salvin, 1877)
2483914	2483914	Pyrrhomyias cinnamomeus (Orbigny & Lafresnaye, 1837)	124	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Pyrrhomyias	2483913.0	Pyrrhomyias cinnamomeus	2483914.0	LC	0.00019113856929698	Uncommon	0.992	99.2%	Pyrrhomyias cinnamomeus	(Orbigny & Lafresnaye, 1837)
6174323	6174323	Pyrrhomyias cinnamomeus pyrrhopterus (Hartlaub, 1843)	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Pyrrhomyias	2483913.0	Pyrrhomyias cinnamomeus	2483914.0		1.5414400749756452e-06	Very Rare	0.008	0.800%	Pyrrhomyias cinnamomeus	pyrrhopterus (Hartlaub, 1843)
2483935	2483935	Zimmerius viridiflavus (Tschudi, 1844)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Zimmerius	2483931.0	Zimmerius viridiflavus	2483935.0	LC	1.5414400749756452e-06	Very Rare	0.000225022502250225	0.023%	Zimmerius viridiflavus	(Tschudi, 1844)
5789111	6174368	Zimmerius chrysops albigularis (Chapman, 1924)	4442	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Zimmerius	2483931.0	Zimmerius chrysops	2483936.0	LC	0.006847076813041816	Common	0.9995499549954996	100.0%	Zimmerius albigularis	(Chapman, 1924)
2483936	2483936	Zimmerius chrysops (P.L.Sclater, 1859)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Zimmerius	2483931.0	Zimmerius chrysops	2483936.0	LC	1.5414400749756452e-06	Very Rare	0.000225022502250225	0.023%	Zimmerius chrysops	(P.L.Sclater, 1859)
2483963	2483963	Serpophaga cinerea (Tschudi, 1844)	2022	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Serpophaga	2483957.0	Serpophaga cinerea	2483963.0	LC	0.0031167918316007547	Common	0.9960591133004926	99.6%	Serpophaga cinerea	(Tschudi, 1844)
7192031	7192031	Serpophaga cinerea cinerea	8	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Serpophaga	2483957.0	Serpophaga cinerea	2483963.0		1.2331520599805162e-05	Rare	0.003940886699507389	0.394%	Serpophaga cinerea	cinerea
5229809	5229809	Colonia colonus (Vieillot, 1818)	4	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Colonia	2484014.0	Colonia colonus	5229809.0	LC	6.165760299902581e-06	Rare	1.0	100.0%	Colonia colonus	(Vieillot, 1818)
2484033	2484033	Phyllomyias griseiceps (P.L.Sclater & Salvin, 1871)	143	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Phyllomyias	2484032.0	Phyllomyias griseiceps	2484033.0	LC	0.00022042593072151728	Uncommon	0.26335174953959484	26.3%	Phyllomyias griseiceps	(P.L.Sclater & Salvin, 1871)
2484038	2484038	Phyllomyias nigrocapillus (Lafresnaye, 1845)	21	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Phyllomyias	2484032.0	Phyllomyias nigrocapillus	2484038.0	LC	3.237024157448855e-05	Rare	0.03867403314917127	3.87%	Phyllomyias nigrocapillus	(Lafresnaye, 1845)
2484046	2484046	Phyllomyias cinereiceps (P.L.Sclater, 1860)	364	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Phyllomyias	2484032.0	Phyllomyias cinereiceps	2484046.0	LC	0.0005610841872911349	Uncommon	0.6703499079189686	67.0%	Phyllomyias cinereiceps	(P.L.Sclater, 1860)
2484048	2484048	Phyllomyias uropygialis (Lawrence, 1869)	12	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Phyllomyias	2484032.0	Phyllomyias uropygialis	2484048.0	LC	1.8497280899707743e-05	Rare	0.022099447513812154	2.21%	Phyllomyias uropygialis	(Lawrence, 1869)
2484052	6174709	Phyllomyias burmeisteri zeledoni (Lawrence, 1869)	3	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Phyllomyias	2484032.0	Phyllomyias burmeisteri	2484049.0	LC	4.624320224926936e-06	Rare	0.0055248618784530384	0.552%	Phyllomyias zeledoni	(Lawrence, 1869)
7341904	5229786	Myiophobus pulcher (P.L.Sclater, 1861)	1	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus pulcher	5229786.0	LC	1.5414400749756452e-06	Very Rare	0.0010416666666666667	0.104%	Nephelomyias pulcher	(P.L.Sclater, 1861)
7341905	5229786	Myiophobus pulcher (P.L.Sclater, 1861)	1	SUBSPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus pulcher	5229786.0		1.5414400749756452e-06	Very Rare	0.0010416666666666667	0.104%	Nephelomyias pulcher	pulcher
5229791	5229791	Myiophobus flavicans (P.L.Sclater, 1861)	114	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus flavicans	5229791.0	LC	0.00017572416854722355	Uncommon	0.11875	11.9%	Myiophobus flavicans	(P.L.Sclater, 1861)
7192025	7192025	Myiophobus flavicans flavicans	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus flavicans	5229791.0		1.5414400749756452e-06	Very Rare	0.0010416666666666667	0.104%	Myiophobus flavicans	flavicans
5229797	5229797	Myiophobus phoenicomitra (Taczanowski & Berlepsch, 1885)	7	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus phoenicomitra	5229797.0	LC	1.0790080524829517e-05	Rare	0.007291666666666667	0.729%	Myiophobus phoenicomitra	(Taczanowski & Berlepsch, 1885)
6174562	6174562	Myiophobus phoenicomitra litae (Hartert, 1900)	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus phoenicomitra	5229797.0		7.707200374878227e-06	Rare	0.005208333333333333	0.521%	Myiophobus phoenicomitra	litae (Hartert, 1900)
10977645	6174557	Myiophobus fasciatus crypterythrus (P.L.Sclater, 1861)	774	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus fasciatus	5229801.0	LC	0.0011930746180311494	Common	0.80625	80.6%	Myiophobus crypterythrus	(P.L.Sclater, 1861)
5229801	5229801	Myiophobus fasciatus (Statius Muller, 1776)	53	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus fasciatus	5229801.0	LC	8.16963239737092e-05	Uncommon	0.05520833333333333	5.52%	Myiophobus fasciatus	(Statius Muller, 1776)
6174557	6174557	Myiophobus fasciatus crypterythrus (P.L.Sclater, 1861)	4	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiophobus	5229779.0	Myiophobus fasciatus	5229801.0		6.165760299902581e-06	Rare	0.004166666666666667	0.417%	Myiophobus fasciatus	crypterythrus (P.L.Sclater, 1861)
2493626	2493626	Lonchura malacca (Linnaeus, 1766)	3	SPECIES	ACCEPTED	Passeriformes	729.0	Estrildidae	5709.0	Lonchura	2493593.0	Lonchura malacca	2493626.0	LC	4.624320224926936e-06	Rare	1.0	100.0%	Lonchura malacca	(Linnaeus, 1766)
