taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity
2482183	Chamaepetes goudotii (R.Lesson, 1828)	2482183	Chamaepetes goudotii (R.Lesson, 1828)	740	SPECIES	ACCEPTED	Galliformes	723.0	Cracidae	5237.0	Chamaepetes	2482181.0	Chamaepetes goudotii	2482183.0	LC	0.0011406656554819774	Common
6177862	Chamaepetes goudotii fagani C.Chubb, 1917	6177862	Chamaepetes goudotii fagani C.Chubb, 1917	2	SUBSPECIES	ACCEPTED	Galliformes	723.0	Cracidae	5237.0	Chamaepetes	2482181.0	Chamaepetes goudotii	2482183.0		3.0828801499512905e-06	Rare
2482198	Penelope montagnii (Bonaparte, 1856)	2482198	Penelope montagnii (Bonaparte, 1856)	25	SPECIES	ACCEPTED	Galliformes	723.0	Cracidae	5237.0	Penelope	2482191.0	Penelope montagnii	2482198.0	LC	3.853600187439113e-05	Uncommon
2482216	Penelope ortoni Salvin, 1874	2482216	Penelope ortoni Salvin, 1874	8	SPECIES	ACCEPTED	Galliformes	723.0	Cracidae	5237.0	Penelope	2482191.0	Penelope ortoni	2482216.0	EN	1.2331520599805162e-05	Rare
2482225	Penelope purpurascens Wagler, 1830	2482225	Penelope purpurascens Wagler, 1830	3098	SPECIES	ACCEPTED	Galliformes	723.0	Cracidae	5237.0	Penelope	2482191.0	Penelope purpurascens	2482225.0	NT	0.004775381352274549	Common
2482313	Aburria aburri (R.Lesson, 1828)	2482313	Aburria aburri (R.Lesson, 1828)	1400	SPECIES	ACCEPTED	Galliformes	723.0	Cracidae	5237.0	Aburria	2482290.0	Aburria aburri	2482313.0	NT	0.002158016104965903	Common
5228045	Odontophorus erythrops Gould, 1859	5228045	Odontophorus erythrops Gould, 1859	35	SPECIES	ACCEPTED	Galliformes	723.0	Odontophoridae	9325.0	Odontophorus	2474171.0	Odontophorus erythrops	5228045.0	LC	5.395040262414758e-05	Uncommon
5228049	Odontophorus melanonotus Gould, 1861	5228049	Odontophorus melanonotus Gould, 1861	1039	SPECIES	ACCEPTED	Galliformes	723.0	Odontophoridae	9325.0	Odontophorus	2474171.0	Odontophorus melanonotus	5228049.0	VU	0.0016015562378996955	Common
5228236	Galbula ruficauda Cuvier, 1816	5228236	Galbula ruficauda Cuvier, 1816	15	SPECIES	ACCEPTED	Piciformes	724.0	Galbulidae	5244.0	Galbula	7772409.0	Galbula ruficauda	5228236.0	LC	2.312160112463468e-05	Rare
2475147	Malacoptila panamensis Lafresnaye, 1847	2475147	Malacoptila panamensis Lafresnaye, 1847	76	SPECIES	ACCEPTED	Piciformes	724.0	Bucconidae	5703.0	Malacoptila	2475141.0	Malacoptila panamensis	2475147.0	LC	0.00011714944569814904	Uncommon
6180305	Malacoptila panamensis poliopis P.L.Sclater, 1862	6180305	Malacoptila panamensis poliopis P.L.Sclater, 1862	2	SUBSPECIES	ACCEPTED	Piciformes	724.0	Bucconidae	5703.0	Malacoptila	2475141.0	Malacoptila panamensis	2475147.0		3.0828801499512905e-06	Rare
2475200	Nystalus radiatus (P.L.Sclater, 1854)	2475200	Nystalus radiatus (P.L.Sclater, 1854)	514	SPECIES	ACCEPTED	Piciformes	724.0	Bucconidae	5703.0	Nystalus	2475191.0	Nystalus radiatus	2475200.0	LC	0.0007923001985374816	Uncommon
2475205	Hapaloptila castanea (J.Verreaux, 1866)	2475205	Hapaloptila castanea (J.Verreaux, 1866)	24	SPECIES	ACCEPTED	Piciformes	724.0	Bucconidae	5703.0	Hapaloptila	2475204.0	Hapaloptila castanea	2475205.0	LC	3.6994561799415486e-05	Uncommon
2475207	Micromonacha lanceolata (Deville, 1849)	2475207	Micromonacha lanceolata (Deville, 1849)	22	SPECIES	ACCEPTED	Piciformes	724.0	Bucconidae	5703.0	Micromonacha	2475206.0	Micromonacha lanceolata	2475207.0	LC	3.39116816494642e-05	Uncommon
5228725	Picumnus olivaceus Lafresnaye, 1845	5228725	Picumnus olivaceus Lafresnaye, 1845	892	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Picumnus	2477643.0	Picumnus olivaceus	5228725.0	LC	0.0013749645468782755	Common
5228729	Picumnus olivaceus harterti Hellmayr, 1909	5228729	Picumnus olivaceus harterti Hellmayr, 1909	2	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Picumnus	2477643.0	Picumnus olivaceus	5228725.0		3.0828801499512905e-06	Rare
5228831	Dryocopus lineatus (Linnaeus, 1766)	5228831	Dryocopus lineatus (Linnaeus, 1766)	738	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Dryocopus	2477865.0	Dryocopus lineatus	5228831.0	NE	0.0011375827753320263	Uncommon
5228833	Dryocopus lineatus fuscipennis P.L.Sclater, 1860	5228833	Dryocopus lineatus fuscipennis P.L.Sclater, 1860	3	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Dryocopus	2477865.0	Dryocopus lineatus	5228831.0		4.624320224926936e-06	Rare
2478068	Melanerpes pucherani (Malherbe, 1849)	2478068	Melanerpes pucherani (Malherbe, 1849)	83	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Melanerpes	2478067.0	Melanerpes pucherani	2478068.0	LC	0.00012793952622297856	Uncommon
10680427	Dryobates callonotus (Waterhouse, 1841)	2478357	Veniliornis callonotus (Waterhouse, 1841)	697	SPECIES	SYNONYM	Piciformes	724.0	Picidae	9333.0	Veniliornis	2478338.0	Veniliornis callonotus	2478357.0	NE	0.0010743837322580248	Uncommon
2478357	Veniliornis callonotus (Waterhouse, 1841)	2478357	Veniliornis callonotus (Waterhouse, 1841)	4	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Veniliornis	2478338.0	Veniliornis callonotus	2478357.0	LC	6.165760299902581e-06	Rare
10860672	Dryobates kirkii (Malherbe, 1845)	2478367	Veniliornis kirkii (Malherbe, 1845)	22	SPECIES	SYNONYM	Piciformes	724.0	Picidae	9333.0	Veniliornis	2478338.0	Veniliornis kirkii	2478367.0	NE	3.39116816494642e-05	Uncommon
10835052	Dryobates dignus (P.L.Sclater & Salvin, 1877)	2478378	Veniliornis dignus (P.L.Sclater & Salvin, 1877)	6	SPECIES	SYNONYM	Piciformes	724.0	Picidae	9333.0	Veniliornis	2478338.0	Veniliornis dignus	2478378.0	NE	9.248640449853871e-06	Rare
5228950	Celeus loricatus (Reichenbach, 1854)	5228950	Celeus loricatus (Reichenbach, 1854)	13	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Celeus	2478432.0	Celeus loricatus	5228950.0	LC	2.0038720974683387e-05	Rare
