taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity
2478564	Campephilus melanoleucos (J.F.Gmelin, 1788)	2478564	Campephilus melanoleucos (J.F.Gmelin, 1788)	1	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Campephilus	2478560.0	Campephilus melanoleucos	2478564.0	LC	1.5414400749756452e-06	Very Rare
2478569	Campephilus pollens (Bonaparte, 1845)	2478569	Campephilus pollens (Bonaparte, 1845)	216	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Campephilus	2478560.0	Campephilus pollens	2478569.0	LC	0.00033295105619473935	Uncommon
7192569	Campephilus pollens pollens	7192569	Campephilus pollens pollens	3	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Campephilus	2478560.0	Campephilus pollens	2478569.0		4.624320224926936e-06	Rare
2478579	Campephilus gayaquilensis (R.Lesson, 1845)	2478579	Campephilus gayaquilensis (R.Lesson, 1845)	1861	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Campephilus	2478560.0	Campephilus gayaquilensis	2478579.0	LC	0.002868619979529676	Common
2478584	Campephilus haematogaster (Tschudi, 1844)	2478584	Campephilus haematogaster (Tschudi, 1844)	78	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Campephilus	2478560.0	Campephilus haematogaster	2478584.0	LC	0.00012023232584810033	Uncommon
6177626	Campephilus haematogaster splendens Hargitt, 1889	6177626	Campephilus haematogaster splendens Hargitt, 1889	1	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Campephilus	2478560.0	Campephilus haematogaster	2478584.0		1.5414400749756452e-06	Very Rare
10809442	Dryobates fumigatus (d'Orbigny, 1840)	9000455	Leuconotopicus fumigatus (d'Orbigny, 1840)	2282	SPECIES	SYNONYM	Piciformes	724.0	Picidae	9333.0	Leuconotopicus	4845041.0	Leuconotopicus fumigatus	9000455.0	NE	0.0035175662510944223	Common
9000455	Leuconotopicus fumigatus (d'Orbigny, 1840)	9000455	Leuconotopicus fumigatus (d'Orbigny, 1840)	8	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Leuconotopicus	4845041.0	Leuconotopicus fumigatus	9000455.0	LC	1.2331520599805162e-05	Rare
8953206	Leuconotopicus fumigatus fumigatus	8953206	Leuconotopicus fumigatus fumigatus	5	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Leuconotopicus	4845041.0	Leuconotopicus fumigatus	9000455.0		7.707200374878227e-06	Rare
9095476	Leuconotopicus fumigatus obscuratus (Chapman, 1927)	9095476	Leuconotopicus fumigatus obscuratus (Chapman, 1927)	1	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Leuconotopicus	4845041.0	Leuconotopicus fumigatus	9000455.0		1.5414400749756452e-06	Very Rare
7340159	Colaptes rivolii (Boissonneau, 1840)	7340159	Colaptes rivolii (Boissonneau, 1840)	77	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Colaptes	11016979.0	Colaptes rivolii	7340159.0	LC	0.00011869088577312468	Uncommon
7340161	Colaptes rubiginosus (Swainson, 1820)	7340161	Colaptes rubiginosus (Swainson, 1820)	3215	SPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Colaptes	11016979.0	Colaptes rubiginosus	7340161.0	LC	0.004955729841046699	Common
6540192	Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)	6540192	Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)	3	SUBSPECIES	ACCEPTED	Piciformes	724.0	Picidae	9333.0	Colaptes	11016979.0	Colaptes rubiginosus	7340161.0		4.624320224926936e-06	Rare
2478769	Ramphastos brevis Meyer de Schauensee, 1945	2478769	Ramphastos brevis Meyer de Schauensee, 1945	6618	SPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Ramphastos	2478764.0	Ramphastos brevis	2478769.0	LC	0.01020125041618882	Abundant
2478779	Ramphastos ambiguus Swainson, 1823	2478779	Ramphastos ambiguus Swainson, 1823	6526	SPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Ramphastos	2478764.0	Ramphastos ambiguus	2478779.0	NT	0.010059437929291062	Abundant
6540199	Ramphastos ambiguus swainsonii Gould, 1833	6540199	Ramphastos ambiguus swainsonii Gould, 1833	6	SUBSPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Ramphastos	2478764.0	Ramphastos ambiguus	2478779.0		9.248640449853871e-06	Rare
2478838	Pteroglossus torquatus (J.F.Gmelin, 1788)	2478838	Pteroglossus torquatus (J.F.Gmelin, 1788)	5337	SPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Pteroglossus	2478813.0	Pteroglossus torquatus	2478838.0	LC	0.00822666568014502	Abundant
5844039	Pteroglossus torquatus erythropygius	5844039	Pteroglossus torquatus erythropygius	57	SUBSPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Pteroglossus	2478813.0	Pteroglossus torquatus	2478838.0		8.786208427361178e-05	Uncommon
2478842	Pteroglossus erythropygius Gould, 1843	2478842	Pteroglossus erythropygius Gould, 1843	64	SPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Pteroglossus	2478813.0	Pteroglossus erythropygius	2478842.0	LC	9.86521647984413e-05	Uncommon
6176849	Andigena nigrirostris spilorhynchus Gould, 1858	6176849	Andigena nigrirostris spilorhynchus Gould, 1858	1	SUBSPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Andigena	2478852.0	Andigena nigrirostris	2478854.0		1.5414400749756452e-06	Very Rare
2478861	Andigena laminirostris Gould, 1851	2478861	Andigena laminirostris Gould, 1851	195	SPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Andigena	2478852.0	Andigena laminirostris	2478861.0	NT	0.0003005808146202508	Uncommon
5229025	Aulacorhynchus haematopygus (Gould, 1835)	5229025	Aulacorhynchus haematopygus (Gould, 1835)	4044	SPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Aulacorhynchus	2478937.0	Aulacorhynchus haematopygus	5229025.0	LC	0.006233583663201509	Common
5229026	Aulacorhynchus haematopygus sexnotatus Gould, 1868	5229026	Aulacorhynchus haematopygus sexnotatus Gould, 1868	12	SUBSPECIES	ACCEPTED	Piciformes	724.0	Ramphastidae	9343.0	Aulacorhynchus	2478937.0	Aulacorhynchus haematopygus	5229025.0		1.8497280899707743e-05	Rare
2478979	Eubucco bourcierii (Lafresnaye, 1845)	2478979	Eubucco bourcierii (Lafresnaye, 1845)	6334	SPECIES	ACCEPTED	Piciformes	724.0	Capitonidae	3242201.0	Eubucco	2478968.0	Eubucco bourcierii	2478979.0	LC	0.009763481434895737	Abundant
6177007	Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)	6177007	Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)	4	SUBSPECIES	ACCEPTED	Piciformes	724.0	Capitonidae	3242201.0	Eubucco	2478968.0	Eubucco bourcierii	2478979.0		6.165760299902581e-06	Rare
2479030	Capito squamatus Salvin, 1876	2479030	Capito squamatus Salvin, 1876	24	SPECIES	ACCEPTED	Piciformes	724.0	Capitonidae	3242201.0	Capito	2479028.0	Capito squamatus	2479030.0	LC	3.6994561799415486e-05	Uncommon
2478863	Semnornis ramphastinus (Jardine, 1855)	2478863	Semnornis ramphastinus (Jardine, 1855)	981	SPECIES	ACCEPTED	Piciformes	724.0	Semnornithidae	6101214.0	Semnornis	2478862.0	Semnornis ramphastinus	2478863.0	NT	0.001512152713551108	Common
7059909	Semnornis ramphastinus ramphastinus	7059909	Semnornis ramphastinus ramphastinus	6	SUBSPECIES	ACCEPTED	Piciformes	724.0	Semnornithidae	6101214.0	Semnornis	2478862.0	Semnornis ramphastinus	2478863.0		9.248640449853871e-06	Rare
2477472	Nothocercus julius (Bonaparte, 1854)	2477472	Nothocercus julius (Bonaparte, 1854)	10	SPECIES	ACCEPTED	Tinamiformes	726.0	Tinamidae	9353.0	Nothocercus	2477468.0	Nothocercus julius	2477472.0	LC	1.5414400749756454e-05	Rare
2477507	Crypturellus soui (Hermann, 1783)	2477507	Crypturellus soui (Hermann, 1783)	64	SPECIES	ACCEPTED	Tinamiformes	726.0	Tinamidae	9353.0	Crypturellus	2477492.0	Crypturellus soui	2477507.0	LC	9.86521647984413e-05	Uncommon
2482546	Cyanolyca pulchra (Lawrence, 1876)	2482546	Cyanolyca pulchra (Lawrence, 1876)	21	SPECIES	ACCEPTED	Passeriformes	729.0	Corvidae	5235.0	Cyanolyca	2482541.0	Cyanolyca pulchra	2482546.0	NT	3.237024157448855e-05	Rare
2482549	Cyanolyca turcosa (Bonaparte, 1853)	2482549	Cyanolyca turcosa (Bonaparte, 1853)	85	SPECIES	ACCEPTED	Passeriformes	729.0	Corvidae	5235.0	Cyanolyca	2482541.0	Cyanolyca turcosa	2482549.0	LC	0.00013102240637292983	Uncommon
7342105	Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)	7342105	Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)	2	SPECIES	ACCEPTED	Passeriformes	729.0	Corvidae	5235.0	Cyanolyca	2482541.0	Cyanolyca viridicyanus	7342105.0	NT	3.0828801499512905e-06	Rare
2486238	Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)	2486238	Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)	54	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Snowornis	2486235.0	Snowornis cryptolophus	2486238.0	LC	8.323776404868484e-05	Uncommon
2486253	Querula purpurata (Statius Muller, 1776)	2486253	Querula purpurata (Statius Muller, 1776)	11	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Querula	2486252.0	Querula purpurata	2486253.0	LC	1.69558408247321e-05	Rare
5230338	Pachyramphus cinnamomeus Lawrence, 1861	5230338	Pachyramphus cinnamomeus Lawrence, 1861	3994	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus cinnamomeus	5230338.0	LC	0.006156511659452727	Common
7192347	Pachyramphus cinnamomeus cinnamomeus	7192347	Pachyramphus cinnamomeus cinnamomeus	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus cinnamomeus	5230338.0		3.0828801499512905e-06	Rare
5230348	Pachyramphus versicolor (Hartlaub, 1843)	5230348	Pachyramphus versicolor (Hartlaub, 1843)	75	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus versicolor	5230348.0	LC	0.00011560800562317339	Uncommon
7061149	Pachyramphus versicolor versicolor	7061149	Pachyramphus versicolor versicolor	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus versicolor	5230348.0		1.5414400749756452e-06	Very Rare
5230352	Pachyramphus albogriseus P.L.Sclater, 1857	5230352	Pachyramphus albogriseus P.L.Sclater, 1857	5	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus albogriseus	5230352.0	LC	7.707200374878227e-06	Rare
5230353	Pachyramphus albogriseus guayaquilensis Zimmer, 1936	5230353	Pachyramphus albogriseus guayaquilensis Zimmer, 1936	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus albogriseus	5230352.0		7.707200374878227e-06	Rare
5230354	Pachyramphus albogriseus salvini Richmond, 1899	5230354	Pachyramphus albogriseus salvini Richmond, 1899	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus albogriseus	5230352.0		1.5414400749756452e-06	Very Rare
5230358	Pachyramphus homochrous P.L.Sclater, 1859	5230358	Pachyramphus homochrous P.L.Sclater, 1859	1301	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus homochrous	5230358.0	LC	0.0020054135375433143	Common
7192350	Pachyramphus homochrous homochrous	7192350	Pachyramphus homochrous homochrous	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus homochrous	5230358.0		3.0828801499512905e-06	Rare
5230363	Pachyramphus polychopterus (Vieillot, 1818)	5230363	Pachyramphus polychopterus (Vieillot, 1818)	583	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus polychopterus	5230363.0	LC	0.0008986595637108011	Uncommon
5230368	Pachyramphus polychopterus dorsalis P.L.Sclater, 1862	5230368	Pachyramphus polychopterus dorsalis P.L.Sclater, 1862	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus polychopterus	5230363.0		3.0828801499512905e-06	Rare
8120211	Pachyramphus salvini Richmond, 1899	8120211	Pachyramphus salvini Richmond, 1899	684	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pachyramphus	2486256.0	Pachyramphus salvini	8120211.0	NE	0.0010543450112833414	Uncommon
2486328	Ampelioides tschudii (G.R.Gray, 1846)	2486328	Ampelioides tschudii (G.R.Gray, 1846)	790	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Ampelioides	2486327.0	Ampelioides tschudii	2486328.0	LC	0.0012177376592307598	Common
5230374	Rupicola peruvianus (Latham, 1790)	5230374	Rupicola peruvianus (Latham, 1790)	2019	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Rupicola	2486333.0	Rupicola peruvianus	5230374.0	LC	0.003112167511375828	Common
5230377	Rupicola peruvianus sanguinolentus Gould, 1859	5230377	Rupicola peruvianus sanguinolentus Gould, 1859	11	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Rupicola	2486333.0	Rupicola peruvianus	5230374.0		1.69558408247321e-05	Rare
2486363	Pipreola jucunda P.L.Sclater, 1860	2486363	Pipreola jucunda P.L.Sclater, 1860	43	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pipreola	2486358.0	Pipreola jucunda	2486363.0	LC	6.628192322395274e-05	Uncommon
2486368	Pipreola arcuata (Lafresnaye, 1843)	2486368	Pipreola arcuata (Lafresnaye, 1843)	2	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pipreola	2486358.0	Pipreola arcuata	2486368.0	LC	3.0828801499512905e-06	Rare
7192340	Pipreola arcuata arcuata	7192340	Pipreola arcuata arcuata	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pipreola	2486358.0	Pipreola arcuata	2486368.0		1.5414400749756452e-06	Very Rare
2486371	Pipreola riefferii (Boissonneau, 1840)	2486371	Pipreola riefferii (Boissonneau, 1840)	48	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pipreola	2486358.0	Pipreola riefferii	2486371.0	LC	7.398912359883097e-05	Uncommon
6172605	Pipreola riefferii occidentalis (Chapman, 1914)	6172605	Pipreola riefferii occidentalis (Chapman, 1914)	3	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Pipreola	2486358.0	Pipreola riefferii	2486371.0		4.624320224926936e-06	Rare
2486420	Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)	2486420	Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)	16	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Ampelion	2486416.0	Ampelion rubrocristatus	2486420.0	LC	2.4663041199610324e-05	Rare
7792707	Schiffornis veraepacis (P.L.Sclater & Salvin, 1860)	6172522	Schiffornis turdina veraepacis (P.L.Sclater & Salvin, 1860)	33	SPECIES	SYNONYM	Passeriformes	729.0	Cotingidae	5236.0	Schiffornis	2486445.0	Schiffornis turdina	2486447.0	LC	5.086752247419629e-05	Uncommon
2486467	Tityra semifasciata (Spix, 1825)	2486467	Tityra semifasciata (Spix, 1825)	1307	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Tityra	2486465.0	Tityra semifasciata	2486467.0	LC	0.0020146621779931683	Common
6172588	Tityra semifasciata nigriceps Allen, 1888	6172588	Tityra semifasciata nigriceps Allen, 1888	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Tityra	2486465.0	Tityra semifasciata	2486467.0		1.5414400749756452e-06	Very Rare
2486476	Tityra inquisitor (Lichtenstein, 1823)	2486476	Tityra inquisitor (Lichtenstein, 1823)	285	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Tityra	2486465.0	Tityra inquisitor	2486476.0	LC	0.0004393104213680589	Uncommon
2486497	Carpodectes hopkei Berlepsch, 1897	2486497	Carpodectes hopkei Berlepsch, 1897	3	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Carpodectes	2486494.0	Carpodectes hopkei	2486497.0	LC	4.624320224926936e-06	Rare
5959195	Cephalopterus penduliger P.L.Sclater, 1859	5959195	Cephalopterus penduliger P.L.Sclater, 1859	47	SPECIES	ACCEPTED	Passeriformes	729.0	Cotingidae	5236.0	Cephalopterus	5959194.0	Cephalopterus penduliger	5959195.0	VU	7.244768352385532e-05	Uncommon
2487989	Euphonia saturata (Cabanis, 1861)	2487989	Euphonia saturata (Cabanis, 1861)	824	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Euphonia	2487948.0	Euphonia saturata	2487989.0	LC	0.0012701466217799318	Common
2487998	Euphonia laniirostris d'Orbigny & Lafresnaye, 1837	2487998	Euphonia laniirostris d'Orbigny & Lafresnaye, 1837	6088	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Euphonia	2487948.0	Euphonia laniirostris	2487998.0	LC	0.009384287176451728	Abundant
2488011	Euphonia xanthogaster Sundevall, 1834	2488011	Euphonia xanthogaster Sundevall, 1834	7890	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Euphonia	2487948.0	Euphonia xanthogaster	2488011.0	LC	0.012161962191557841	Abundant
6172087	Euphonia xanthogaster quitensis (Nelson, 1912)	6172087	Euphonia xanthogaster quitensis (Nelson, 1912)	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Euphonia	2487948.0	Euphonia xanthogaster	2488011.0		7.707200374878227e-06	Rare
11296330	Chlorophonia cyanocephala (Vieillot, 1819)	2488023	Euphonia cyanocephala (Vieillot, 1819)	999	SPECIES	SYNONYM	Passeriformes	729.0	Fringillidae	5242.0	Euphonia	2487948.0	Euphonia cyanocephala	2488023.0	NE	0.0015398986349006696	Common
11254200	Chlorophonia cyanocephala pelzelni (P.L.Sclater, 1886)	6172103	Euphonia cyanocephala pelzelni P.L.Sclater, 1886	1	SUBSPECIES	SYNONYM	Passeriformes	729.0	Fringillidae	5242.0	Euphonia	2487948.0	Euphonia cyanocephala	2488023.0		1.5414400749756452e-06	Very Rare
2488312	Chlorophonia pyrrhophrys (P.L.Sclater, 1851)	2488312	Chlorophonia pyrrhophrys (P.L.Sclater, 1851)	4	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Chlorophonia	2488311.0	Chlorophonia pyrrhophrys	2488312.0	LC	6.165760299902581e-06	Rare
2488313	Chlorophonia flavirostris P.L.Sclater, 1861	2488313	Chlorophonia flavirostris P.L.Sclater, 1861	861	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Chlorophonia	2488311.0	Chlorophonia flavirostris	2488313.0	LC	0.0013271799045540306	Common
2488315	Chlorophonia cyanea (Thunberg, 1822)	2488315	Chlorophonia cyanea (Thunberg, 1822)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Chlorophonia	2488311.0	Chlorophonia cyanea	2488315.0	LC	1.5414400749756452e-06	Very Rare
5231647	Spinus psaltria (Say, 1822)	5231647	Spinus psaltria (Say, 1822)	104	SPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Spinus	8051475.0	Spinus psaltria	5231647.0	LC	0.0001603097677974671	Uncommon
9042377	Spinus psaltria colombianus (Lafresnaye, 1843)	9042377	Spinus psaltria colombianus (Lafresnaye, 1843)	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Fringillidae	5242.0	Spinus	8051475.0	Spinus psaltria	5231647.0		1.5414400749756452e-06	Very Rare
