"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"2480824","groenrugreier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2394563","grootbek-baars","afr","af","Afrikaans","afrikaans","Afrikaans"
"5384064","grootdoringturksvy","afr","af","Afrikaans","afrikaans","Afrikaans"
"4352332","grootflamink","afr","af","Afrikaans","afrikaans","Afrikaans"
"2420813","grootoog-sambokhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2479958","grootpapegaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"5216285","groottand-saagvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"5228199","grootwaterhoender","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440433","growwetand-dolfyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2494422","gryskoppie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2350050","guppie","afr","af","Afrikaans","afrikaans","Afrikaans"
"5216239","haringhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481139","haringmeeu","afr","af","Afrikaans","afrikaans","Afrikaans"
"9775198","heuningkoek-pylstert","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440455","indiese oseaan stompneusdolfyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"2489005","indiese spreeu","afr","af","Afrikaans","afrikaans","Afrikaans"
"2777789","kaapse aalwyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"5178282","kaapse kreef","afr","af","Afrikaans","afrikaans","Afrikaans"
"2103261","kaapse ooruil","afr","af","Afrikaans","afrikaans","Afrikaans"
"2433475","kaapse pelsrob","afr","af","Afrikaans","afrikaans","Afrikaans"
"2493687","kaapse vuurvinkie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441205","kameelperd","afr","af","Afrikaans","afrikaans","Afrikaans"
"3033991","kanferboom","afr","af","Afrikaans","afrikaans","Afrikaans"
"5349240","kiaat","afr","af","Afrikaans","afrikaans","Afrikaans"
"2435037","klein gekolde kat","afr","af","Afrikaans","afrikaans","Afrikaans"
"2482048","kleindobbertjie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481104","kleinflamink","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480186","kleinfregatvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"9584698","kleinrooivalk","afr","af","Afrikaans","afrikaans","Afrikaans"
"5789279","kleinseeswael","afr","af","Afrikaans","afrikaans","Afrikaans"
"2481174","kleinswartrugmeeu","afr","af","Afrikaans","afrikaans","Afrikaans"
"5216292","kleintand-saagvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2420809","kleintand-sambokhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
