scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Acanthiza pusilla,22704630,Brown Thornbill,,,brotho1,Brown Thornbill,Brown Thornbill
Acanthiza reguloides,22704638,Buff-rumped Thornbill,,,burtho1,Buff-rumped Thornbill,Buff-rumped Thornbill
Acanthiza robustirostris,22704659,Slaty-backed Thornbill,,,slbtho1,Slaty-backed Thornbill,Slaty-backed Thornbill
Acanthiza uropygialis,22704650,Chestnut-rumped Thornbill,,,chrtho1,Chestnut-rumped Thornbill,Chestnut-rumped Thornbill
Acanthoptila nipalensis,22716338,Spiny Babbler,,Turdoides nipalensis,spibab1,Spiny Babbler,Spiny Babbler
Acanthorhynchus superciliosus,22704424,Western Spinebill,,,wesspi1,Western Spinebill,Western Spinebill
Acanthorhynchus tenuirostris,22704421,Eastern Spinebill,,,easspi1,Eastern Spinebill,Eastern Spinebill
Acanthornis magna,22704585,Scrubtit,,Acanthornis magnus,scrubt2,Scrubtit,Scrubtit
Accipiter albogularis,22695535,Pied Goshawk,,,piegos1,Pied Goshawk,Pied Goshawk
Accipiter badius,22695490,Shikra,, Falco badius,shikra1,Shikra,Shikra
Accipiter bicolor,22695669,Bicolored Hawk,,,bichaw1,Bicolored Hawk,Bicolored Hawk
Accipiter brachyurus,22695605,New Britain Sparrowhawk,"Bismarcks Sparrowhawk, Grey Sparrowhawk",,nebspa1,New Britain Sparrowhawk,New Britain Sparrowhawk
Accipiter brevipes,22695499,Levant Sparrowhawk,,,levspa1,Levant Sparrowhawk,Levant Sparrowhawk
Accipiter butleri,22695494,Nicobar Sparrowhawk,Nicobar Shikra,,nicspa1,Nicobar Sparrowhawk,Nicobar Sparrowhawk
Accipiter castanilius,22695486,Chestnut-flanked Sparrowhawk,,,chfspa1,Chestnut-flanked Sparrowhawk,Chestnut-flanked Sparrowhawk
Accipiter cirrocephalus,219590066,Collared Sparrowhawk,,Sparvius cirrhocephalus,colspa1,Collared Sparrowhawk,Collared Sparrowhawk
Accipiter collaris,22695568,Semi-collared Hawk,Semi-collared Sparrowhawk,,,,
Accipiter cooperii,22695656,Cooper's Hawk,,,coohaw,Cooper's Hawk,Cooper's Hawk
Accipiter erythrauchen,22695596,Rufous-necked Sparrowhawk,,,runspa1,Rufous-necked Sparrowhawk,Rufous-necked Sparrowhawk
Accipiter erythropus,22695576,Red-legged Sparrowhawk,Western Little Sparrowhawk,,retspa1,Red-thighed Sparrowhawk,Red-thighed Sparrowhawk
Accipiter fasciatus,219590235,Brown Goshawk,,Astur Fasciatus,brogos1,Brown Goshawk,Brown Goshawk
Accipiter francesiae,22695508,Frances's Sparrowhawk,Frances's Goshawk,Accipiter francesii francesii,fragos2,Frances's Sparrowhawk,Frances's Sparrowhawk
Accipiter gentilis,22695683,Northern Goshawk,"Eurasian Goshawk, Goshawk",,norgos,Northern Goshawk,Northern Goshawk
Accipiter griseiceps,22695465,Sulawesi Goshawk,,,sulgos1,Sulawesi Goshawk,Sulawesi Goshawk
Accipiter gularis,22695585,Japanese Sparrowhawk,,,japspa1,Japanese Sparrowhawk,Japanese Sparrowhawk
Accipiter gundlachi,22695659,Gundlach's Hawk,,Accipiter gundlachii,gunhaw1,Gundlach's Hawk,Gundlach's Hawk
Accipiter haplochrous,22695541,White-bellied Goshawk,,,necgos1,New Caledonia Goshawk,White-bellied Goshawk
Accipiter henicogrammus,22695544,Moluccan Goshawk,,,molgos1,Moluccan Goshawk,Moluccan Goshawk
Accipiter henstii,22695678,Henst's Goshawk,,,hengos1,Henst's Goshawk,Henst's Goshawk
Accipiter hiogaster,22727721,Variable Goshawk,,,vargos1,Variable Goshawk,Variable Goshawk
Accipiter imitator,22695553,Imitator Goshawk,,,imispa1,Imitator Sparrowhawk,Imitator Goshawk
Accipiter luteoschistaceus,22695547,Slaty-backed Goshawk,Slaty-mantled Goshawk,,slmgos1,Slaty-mantled Goshawk,Slaty-mantled Goshawk
Accipiter madagascariensis,22695613,Madagascar Sparrowhawk,,,madspa1,Madagascar Sparrowhawk,Madagascar Sparrowhawk
Accipiter melanochlamys,22695532,Black-mantled Goshawk,,,blmgos1,Black-mantled Goshawk,Black-mantled Goshawk
Accipiter melanoleucus,22695673,Black Sparrowhawk,,,blagos1,Black Goshawk,Black Sparrowhawk
Accipiter meyerianus,22695689,Meyer's Goshawk,,,meygos1,Meyer's Goshawk,Meyer's Goshawk
Accipiter minullus,22695581,Little Sparrowhawk,,,litspa1,Little Sparrowhawk,Little Sparrowhawk
Accipiter nanus,22695591,Dwarf Sparrowhawk,,,smaspa1,Small Sparrowhawk,Dwarf Sparrowhawk
Accipiter nisus,22695624,Eurasian Sparrowhawk,"European Sparrowhawk, Sparrowhawk",,eurspa1,Eurasian Sparrowhawk,Eurasian Sparrowhawk
Accipiter novaehollandiae,22727714,Grey Goshawk,,,grygos1,Gray Goshawk,Grey Goshawk
Accipiter ovampensis,22695619,Ovambo Sparrowhawk,,,ovaspa2,Ovambo Sparrowhawk,Ovambo Sparrowhawk
Accipiter poliocephalus,22695558,Grey-headed Goshawk,,,gyhgos1,Gray-headed Goshawk,Grey-headed Goshawk
Accipiter poliogaster,22695453,Grey-bellied Goshawk,Grey-bellied Hawk,,gybhaw1,Gray-bellied Hawk,Grey-bellied Hawk
Accipiter princeps,22695561,New Britain Goshawk,,,nebgos1,New Britain Goshawk,New Britain Goshawk
Accipiter rhodogaster,22695610,Vinous-breasted Sparrowhawk,,,vibspa1,Vinous-breasted Sparrowhawk,Vinous-breasted Sparrowhawk
Accipiter rufitorques,22695538,Fiji Goshawk,,,fijgos1,Fiji Goshawk,Fiji Goshawk
Accipiter rufiventris,22695630,Rufous-breasted Sparrowhawk,Red-breasted Sparrowhawk,,rucspa2,Rufous-breasted Sparrowhawk,Rufous-breasted Sparrowhawk
Accipiter soloensis,22695503,Chinese Sparrowhawk,Gray Frog-Hawk,,grfhaw1,Chinese Sparrowhawk,Chinese Sparrowhawk
Accipiter striatus,22734130,Sharp-shinned Hawk,,,shshaw,Sharp-shinned Hawk,Sharp-shinned Hawk
Accipiter superciliosus,22695565,Tiny Hawk,,,,,
Accipiter sylvestris,22727727,Lesser Sundas Goshawk,,,,,
Accipiter tachiro,22727697,African Goshawk,,,afrgos1,African Goshawk,African Goshawk
Accipiter toussenelii,22727705,Red-chested Goshawk,,,,,Red-chested Goshawk
Accipiter trinotatus,22695516,Spot-tailed Goshawk,Spot-tailed Sparrowhawk,,sptgos1,Spot-tailed Goshawk,Spot-tailed Sparrowhawk
Accipiter trivirgatus,22695462,Crested Goshawk,,,cregos1,Crested Goshawk,Crested Goshawk
Accipiter virgatus,22695588,Besra,,,besra1,Besra,Besra
Aceros nipalensis,22682510,Rufous-necked Hornbill,Rufous-cheeked Hornbill,,runhor1,Rufous-necked Hornbill,Rufous-necked Hornbill
Achaetops pycnopygius,22714641,Rockrunner,"Damara Rock-jumper, Damara Rock Jumper",,damroc1,Rockrunner,Rockrunner
Acridotheres albocinctus,22710943,Collared Myna,,,colmyn1,Collared Myna,Collared Myna
Acridotheres burmannicus,103870359,Burmese Myna,,,vibsta1,Burmese Myna,Burmese Myna
Acridotheres cinereus,22710940,Pale-bellied Myna,,,pabmyn1,Pale-bellied Myna,Pale-bellied Myna
Acridotheres cristatellus,22710946,Crested Myna,,,cremyn,Crested Myna,Crested Myna
Acridotheres fuscus,22710932,Jungle Myna,,,junmyn1,Jungle Myna,Jungle Myna
Acridotheres ginginianus,22710929,Bank Myna,,,banmyn1,Bank Myna,Bank Myna
Acridotheres grandis,103871222,Great Myna,,,whvmyn1,Great Myna,Great Myna
Acridotheres javanicus,103871334,Javan Myna,,,whvmyn,Javan Myna,Javan Myna
Acridotheres leucocephalus,103870738,Vinous-breasted Myna,,,vibsta4,Vinous-breasted Myna,Vinous-breasted Myna
Acridotheres melanopterus,22710909,Black-winged Myna,Black-winged Starling,"Sturnus melanopterus, Acridotheres tertius, Acridotheres tricolor",bkwsta1,Black-winged Myna,Black-winged Myna
Acridotheres tristis,22710921,Common Myna,,Sturnus tristis,commyn,Common Myna,Common Myna
Acritillas indica,22713173,Yellow-browed Bulbul,,Iole indica,yebbul3,Yellow-browed Bulbul,
Acrobatornis fonsecai,22724510,Pink-legged Graveteiro,,,pilgra1,Pink-legged Graveteiro,Pink-legged Graveteiro
Acrocephalus aequinoctialis,22714802,Kiritimati Reed-warbler,Bokikokiko,,chiwar1,Kiritimati Reed Warbler,Bokikokiko
Acrocephalus agricola,22714714,Paddyfield Warbler,,,padwar1,Paddyfield Warbler,Paddyfield Warbler
Acrocephalus arundinaceus,104317670,Great Reed-warbler,,,grrwar1,Great Reed Warbler,Great Reed Warbler
Acrocephalus astrolabii,103780156,Mangareva Reed-warbler,,,manrew2,Mangareva Reed Warbler,
Acrocephalus atyphus,22714816,Tuamotu Reed-warbler,"Tuamotu Reed Warbler, Tuamotu Reed-Warbler",,turwar1,Tuamotu Reed Warbler,Tuamotu Reed Warbler
Acrocephalus australis,219591228,Australasian Reed-warbler,"Australian Reed-warbler, Australian Reed Warbler, Australian Reed-Warbler",,aurwar1,Australian Reed Warbler,Australian Reed Warbler
Acrocephalus bistrigiceps,22714709,Black-browed Reed-warbler,"Black-browed Reed Warbler, Black-browed Reed-Warbler",,bbrwar1,Black-browed Reed Warbler,Black-browed Reed Warbler
Acrocephalus brevipennis,22714852,Cape Verde Swamp-warbler,"Cape Verde Cane Warbler, Cape Verde Islands Cane Warbler, Cape Verde Swamp-Warbler, Cape Verde Warbler",,cvswar1,Cape Verde Swamp Warbler,Cape Verde Warbler
Acrocephalus caffer,104003523,Tahiti Reed-warbler,,,tahrew1,Tahiti Reed Warbler,Tahiti Reed Warbler
Acrocephalus concinens,22714719,Blunt-winged Warbler,,,blwwar1,Blunt-winged Warbler,Blunt-winged Warbler
Acrocephalus dumetorum,22714736,Blyth's Reed-warbler,"Blyth's Reed Warbler, Blyth's Reed-Warbler",,blrwar1,Blyth's Reed Warbler,Blyth's Reed Warbler
Acrocephalus familiaris,22714797,Millerbird,"Nihoa Millerbird, Nihoa Reed-warbler",,miller,Millerbird,Millerbird
Acrocephalus gracilirostris,22714859,Lesser Swamp-warbler,"Lesser Swamp Warbler, Lesser Swamp-Warbler",,leswar1,Lesser Swamp Warbler,Lesser Swamp Warbler
Acrocephalus griseldis,22714757,Basra Reed-warbler,"Basra Reed Warbler, Basra Reed-Warbler",,barwar2,Basra Reed Warbler,Basra Reed Warbler
Acrocephalus hiwae,103780118,Saipan Reed-warbler,,,sairew1,Saipan Reed Warbler,Saipan Reed Warbler
Acrocephalus kerearako,22714821,Cook Islands Reed-warbler,"Cook Islands Reed-Warbler, Cook Reed-warbler, Cook Reed Warbler",,cirwar2,Cook Islands Reed Warbler,Cook Reed Warbler
Acrocephalus longirostris,22735588,Moorea Reed-warbler,"Mo'orea Reed-warbler, Mo'orea Reed Warbler",,moorew1,Moorea Reed Warbler,
Acrocephalus luscinius,103780078,Guam Reed-warbler,Nightingale Reed-warbler,,nigrew1,Nightingale Reed Warbler,
Acrocephalus melanopogon,22714693,Moustached Warbler,,,mouwar1,Moustached Warbler,Moustached Warbler
