scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Drepanornis albertisi,22706157,Black-billed Sicklebill,,Epimachus albertisi,blbsic1,Black-billed Sicklebill,Black-billed Sicklebill
Drepanornis bruijnii,22706160,Pale-billed Sicklebill,White-billed Sicklebill,"Drepanornis bruijnii bruijnii, Epimachus bruijnii",pabsic1,Pale-billed Sicklebill,Pale-billed Sicklebill
Dreptes thomensis,22717719,Giant Sunbird,"São Tomé Giant Sunbird, Sao Tome Sunbird","Dreptes thomensis thomensis, Nectarinia thomensis",satsun1,Sao Tome Sunbird,Giant Sunbird
Dromaius baudinianus,22724449,Kangaroo Island Emu,,,,,
Dromaius minor,22728643,King Island Emu,,Dromaius ater,,,
Dromaius novaehollandiae,22678117,Common Emu,Emu,,emu1,Emu,Emu
Dromas ardeola,22694081,Crab-plover,,,craplo1,Crab-Plover,Crab-plover
Dromococcyx pavoninus,22684455,Pavonine Cuckoo,,,pavcuc1,Pavonine Cuckoo,Pavonine Cuckoo
Dromococcyx phasianellus,22684452,Pheasant Cuckoo,,,phecuc1,Pheasant Cuckoo,Pheasant Cuckoo
Drymocichla incana,22713684,Red-winged Grey Warbler,,,rwgwar2,Red-winged Gray Warbler,Red-winged Grey Warbler
Drymodes beccarii,103737970,Papuan Scrub-robin,,,papscr2,Papuan Scrub-Robin,Papuan Scrub Robin
Drymodes brunneopygia,22704928,Southern Scrub-robin,"Southern Scrub Robin, Southern Scrub-Robin",,sosrob1,Southern Scrub-Robin,Southern Scrub Robin
Drymodes superciliaris,103737960,Northern Scrub-robin,,,nosrob1,Northern Scrub-Robin,Northern Scrub Robin
Drymophila caudata,103658659,East Andean Antbird,,,lotant1,East Andean Antbird,East Andean Antbird
Drymophila devillei,22701629,Striated Antbird,,,strant2,Striated Antbird,Striated Antbird
Drymophila ferruginea,22701614,Ferruginous Antbird,,,ferant1,Ferruginous Antbird,Ferruginous Antbird
Drymophila genei,22701620,Rufous-tailed Antbird,,,rutant1,Rufous-tailed Antbird,Rufous-tailed Antbird
Drymophila hellmayri,103658673,Santa Marta Antbird,,,samant2,Santa Marta Antbird,Santa Marta Antbird
Drymophila klagesi,103658669,Klages's Antbird,,,klaant2,Klages's Antbird,Klages's Antbird
Drymophila malura,22701637,Dusky-tailed Antbird,,,dutant1,Dusky-tailed Antbird,Dusky-tailed Antbird
Drymophila ochropyga,22701623,Ochre-rumped Antbird,,Drymophila ochropygia,ocrant1,Ochre-rumped Antbird,Ochre-rumped Antbird
Drymophila rubricollis,22701617,Bertoni's Antbird,,,berant1,Bertoni's Antbird,Bertoni's Antbird
Drymophila squamata,22701640,Scaled Antbird,,,scaant2,Scaled Antbird,Scaled Antbird
Drymophila striaticeps,103658699,Streak-headed Antbird,,,sthant1,Streak-headed Antbird,Streak-headed Antbird
Drymornis bridgesii,22703046,Scimitar-billed Woodcreeper,,,scbwoo4,Scimitar-billed Woodcreeper,Scimitar-billed Woodcreeper
Drymotoxeres pucheranii,22703177,Greater Scythebill,,"Campylorhamphus pucherani, Drymotoxeres pucherani",grescy1,Greater Scythebill,Greater Scythebill
Dryobates cathpharius,61553308,Scarlet-breasted Woodpecker,,,crbwoo3,Crimson-breasted Woodpecker,Crimson-breasted Woodpecker
Dryobates minor,22681076,Lesser Spotted Woodpecker,,Dendrocopos minor,leswoo1,Lesser Spotted Woodpecker,Lesser Spotted Woodpecker
Dryobates nuttallii,22681149,Nuttall's Woodpecker,,Picoides nuttallii,nutwoo,Nuttall's Woodpecker,Nuttall's Woodpecker
Dryobates pernyii,61553315,Crimson-breasted Woodpecker,,,,,
Dryobates pubescens,22681155,Downy Woodpecker,,Picoides pubescens,dowwoo,Downy Woodpecker,Downy Woodpecker
Dryobates scalaris,22681152,Ladder-backed Woodpecker,,Picoides scalaris,labwoo,Ladder-backed Woodpecker,Ladder-backed Woodpecker
Dryocopus hodgei,22681379,Andaman Woodpecker,,,andwoo1,Andaman Woodpecker,Andaman Woodpecker
Dryocopus javensis,22681376,White-bellied Woodpecker,,,whbwoo2,White-bellied Woodpecker,White-bellied Woodpecker
Dryocopus martius,22681382,Black Woodpecker,Black woodpecker,,blawoo1,Black Woodpecker,Black Woodpecker
Dryolimnas augusti,62258591,Reunion Rail,,,reurai1,Reunion Rail,
Dryolimnas cuvieri,22692535,White-throated Rail,,,whtrai1,White-throated Rail,White-throated Rail
Dryoscopus angolensis,22707473,Pink-footed Puffback,,,pifpuf1,Pink-footed Puffback,Pink-footed Puffback
Dryoscopus cubla,22707463,Black-backed Puffback,Southern Puffback,,blbpuf2,Black-backed Puffback,Black-backed Puffback
Dryoscopus gambensis,22707455,Northern Puffback,,,norpuf1,Northern Puffback,Northern Puffback
Dryoscopus pringlii,22707459,Pringle's Puffback,,,pripuf1,Pringle's Puffback,Pringle's Puffback
Dryoscopus sabini,22707477,Sabine's Puffback,Large-billed Puffback,,labpuf1,Sabine's Puffback,Sabine's Puffback
Dryoscopus senegalensis,22707468,Red-eyed Puffback,Black-shouldered Puffback,,reepuf1,Red-eyed Puffback,Red-eyed Puffback
Dryotriorchis spectabilis,22695330,Congo Serpent-eagle,"Congo Serpent Eagle, Congo Serpent-Eagle",,coseag1,Congo Serpent-Eagle,Congo Serpent Eagle
Dubusia carrikeri,103843258,Carriker's Mountain-tanager,,,,,
Dubusia castaneoventris,22722686,Chestnut-bellied Mountain-tanager,"Chestnut-bellied Mountain Tanager, Chestnut-bellied Mountain-Tanager",Delothraupis castaneoventris,cbmtan1,Chestnut-bellied Mountain Tanager,Chestnut-bellied Mountain Tanager
Dubusia stictocephala,103843315,Streak-crowned Mountain-tanager,,,,,
Dubusia taeniata,103843076,Buff-breasted Mountain-tanager,,,bbmtan1,Buff-breasted Mountain Tanager,Buff-breasted Mountain Tanager
Ducula aenea,200094385,Green Imperial-pigeon,"Green Imperial Pigeon, Green Imperial-Pigeon",Columba aenea,gripig1,Green Imperial-Pigeon,Green Imperial Pigeon
Ducula aurorae,22691668,Polynesian Imperial-pigeon,"Polynesian Imperial Pigeon, Polynesian Imperial-Pigeon, Society Islands Pigeon",,poipig1,Polynesian Imperial-Pigeon,Polynesian Imperial Pigeon
Ducula badia,22727856,Mountain Imperial-pigeon,,,moipig1,Mountain Imperial-Pigeon,Mountain Imperial Pigeon
Ducula bakeri,22691749,Vanuatu Imperial-pigeon,"Baker's Imperial-Pigeon, Vanuatu Imperial Pigeon",,baipig1,Baker's Imperial-Pigeon,Vanuatu Imperial Pigeon
Ducula basilica,22725292,Cinnamon-bellied Imperial-pigeon,"Cinnamon-bellied Imperial-Pigeon, Cinnamon Imperial Pigeon",,cbipig2,Cinnamon-bellied Imperial-Pigeon,Cinnamon-bellied Imperial Pigeon
Ducula bicolor,22691799,Pied Imperial-pigeon,"Pied Imperial Pigeon, Pied Imperial-Pigeon",,piipig1,Pied Imperial-Pigeon,Pied Imperial Pigeon
Ducula brenchleyi,22691744,Chestnut-bellied Imperial-pigeon,"Chestnut-bellied Imperial Pigeon, Chestnut-bellied Imperial-Pigeon",Carpophaga brenchleyi,cbipig1,Chestnut-bellied Imperial-Pigeon,Chestnut-bellied Imperial Pigeon
Ducula carola,22691634,Spotted Imperial-pigeon,"Spotted Imperial Pigeon, Spotted Imperial-Pigeon",,spipig3,Spotted Imperial-Pigeon,Spotted Imperial Pigeon
Ducula chalconota,22691734,Shining Imperial-pigeon,"Shining Imperial Pigeon, Shining Imperial-Pigeon",,rufimp1,Rufescent Imperial-Pigeon,Rufescent Imperial Pigeon
Ducula cineracea,22691794,Timor Imperial-pigeon,"Timor Imperial Pigeon, Timor Imperial-Pigeon",,tiipig1,Timor Imperial-Pigeon,Timor Imperial Pigeon
Ducula concinna,22691653,Blue-tailed Imperial-pigeon,"Elegant Imperial Pigeon, Elegant Imperial-Pigeon",,elipig1,Elegant Imperial-Pigeon,Elegant Imperial Pigeon
Ducula cuprea,22727864,Nilgiri Imperial-pigeon,,,mouimp1,Malabar Imperial-Pigeon,Malabar Imperial Pigeon
Ducula finschii,22691729,Finsch's Imperial-pigeon,"Finsch's Imperial-Pigeon, Growling Imperial Pigeon",,fiipig1,Finsch's Imperial-Pigeon,Finsch's Imperial Pigeon
Ducula forsteni,22691617,White-bellied Imperial-pigeon,"White-bellied Imperial Pigeon, White-bellied Imperial-Pigeon",,wbipig1,White-bellied Imperial-Pigeon,White-bellied Imperial Pigeon
Ducula galeata,22691674,Nukuhiva Imperial-pigeon,"Marquesan Imperial Pigeon, Marquesan Imperial-Pigeon",,marimp1,Marquesas Imperial-Pigeon,Marquesan Imperial Pigeon
Ducula geelvinkiana,22728104,Geelvink Imperial-pigeon,,,spiimp2,Geelvink Imperial-Pigeon,Geelvink Imperial Pigeon
Ducula goliath,22691754,New Caledonian Imperial-pigeon,"Giant Imperial-pigeon, Goliath Imperial Pigeon, New Caledonian Imperial-Pigeon",,ncipig1,New Caledonian Imperial-Pigeon,Goliath Imperial Pigeon
Ducula lacernulata,22691789,Dark-backed Imperial-pigeon,"Dark-backed Imperial Pigeon, Dark-backed Imperial-Pigeon",,dbipig1,Dark-backed Imperial-Pigeon,Dark-backed Imperial Pigeon
Ducula latrans,22691739,Barking Imperial-pigeon,"Barking Imperial Pigeon, Peale's Imperial-Pigeon",,peipig1,Peale's Imperial-Pigeon,Barking Imperial Pigeon
Ducula luctuosa,22691807,White Imperial-pigeon,White Imperial-Pigeon,,whiimp1,Silver-tipped Imperial-Pigeon,Silver-tipped Imperial Pigeon
Ducula melanochroa,22691765,Bismarck Imperial-pigeon,"Bismarck Imperial-Pigeon, Black Imperial Pigeon",,biipig1,Bismarck Imperial-Pigeon,Black Imperial Pigeon
Ducula mindorensis,22691622,Mindoro Imperial-pigeon,"Mindoro Imperial Pigeon, Mindoro Imperial-Pigeon, Mindoro Zone-tailed Pigeon",,miipig2,Mindoro Imperial-Pigeon,Mindoro Imperial Pigeon
Ducula mullerii,22691770,Collared Imperial-pigeon,"Collared Imperial Pigeon, Collared Imperial-Pigeon",,coipig1,Collared Imperial-Pigeon,Collared Imperial Pigeon
Ducula myristicivora,22728096,Spice Imperial-pigeon,,,spipig1,Spice Imperial-Pigeon,Spice Imperial Pigeon
Ducula neglecta,45447768,Seram Imperial-pigeon,,,wheimp1,Seram Imperial-Pigeon,Seram Imperial Pigeon
Ducula nicobarica,200093329,Nicobar Imperial-pigeon,,Carpophaga aenea var. nicobarica,grnimp2,Nicobar Imperial-Pigeon,Nicobar Imperial Pigeon
Ducula obiensis,22725304,Rusty Imperial-pigeon,,,,,
Ducula oceanica,22691663,Micronesian Imperial-pigeon,"Micronesian Imperial Pigeon, Micronesian Imperial-Pigeon, Micronesian Pigeon",,miipig1,Micronesian Imperial-Pigeon,Micronesian Imperial Pigeon
Ducula oenothorax,22725573,Enggano Imperial-pigeon,,,grnimp5,Enggano Imperial-Pigeon,Enggano Imperial Pigeon
Ducula pacifica,22691658,Pacific Imperial-pigeon,"Pacific Imperial Pigeon, Pacific Imperial-Pigeon",,paipig1,Pacific Imperial-Pigeon,Pacific Imperial Pigeon
Ducula perspicillata,45447765,Spectacled Imperial-pigeon,White-eyed Imperial-pigeon,,wheimp2,Spectacled Imperial-Pigeon,Spectacled Imperial Pigeon
Ducula pickeringii,22691710,Grey Imperial-pigeon,"Grey Imperial Pigeon, Grey Imperial-Pigeon",,gryimp1,Gray Imperial-Pigeon,Grey Imperial Pigeon
Ducula pinon,45448181,Pinon's Imperial-pigeon,Pinon Imperial-pigeon,,piipig2,Pinon's Imperial-Pigeon,Pinon's Imperial Pigeon
Ducula pistrinaria,22691694,Island Imperial-pigeon,"Floury Imperial Pigeon, Island Imperial-Pigeon",,isipig1,Island Imperial-Pigeon,Island Imperial Pigeon
Ducula poliocephala,22691611,Pink-bellied Imperial-pigeon,"Pink-bellied Imperial Pigeon, Pink-bellied Imperial-Pigeon",,pbipig1,Pink-bellied Imperial-Pigeon,Pink-bellied Imperial Pigeon
Ducula radiata,22691629,Grey-headed Imperial-pigeon,"Grey-headed Imperial Pigeon, Grey-headed Imperial-Pigeon",,gyhimp1,Gray-headed Imperial-Pigeon,Grey-headed Imperial Pigeon
Ducula rosacea,22691705,Pink-headed Imperial-pigeon,"Pink-headed Imperial Pigeon, Pink-headed Imperial-Pigeon",,phipig1,Pink-headed Imperial-Pigeon,Pink-headed Imperial Pigeon
Ducula rubricera,22691680,Red-knobbed Imperial-pigeon,"Red-knobbed Imperial Pigeon, Red-knobbed Imperial-Pigeon",,rkipig1,Red-knobbed Imperial-Pigeon,Red-knobbed Imperial Pigeon
Ducula rufigaster,22691724,Purple-tailed Imperial-pigeon,"Purple-tailed Imperial Pigeon, Purple-tailed Imperial-Pigeon",,ptipig1,Purple-tailed Imperial-Pigeon,Purple-tailed Imperial Pigeon
Ducula salvadorii,45448199,Louisiade Imperial-pigeon,,,,,
Ducula spilorrhoa,22733554,Torresian Imperial-pigeon,Torresian Imperial Pigeon,,torimp1,Torresian Imperial-Pigeon,Torresian Imperial Pigeon
Ducula subflavescens,22691828,Yellowish Imperial-pigeon,"Bismarck Imperial Pigeon, Yellow-tinted Imperial-Pigeon",,torimp2,Yellowish Imperial-Pigeon,Yellowish Imperial Pigeon
Ducula whartoni,22691699,Christmas Island Imperial-pigeon,"Christmas Imperial-pigeon, Christmas Imperial Pigeon, Christmas Island Imperial Pigeon, Christmas Island Imperial-Pigeon",,ciipig1,Christmas Island Imperial-Pigeon,Christmas Imperial Pigeon
Ducula zoeae,22691775,Zoe's Imperial-pigeon,"Banded Imperial-Pigeon, Zoe Imperial Pigeon",,zoeimp1,Zoe's Imperial-Pigeon,Zoe's Imperial Pigeon
Dulus dominicus,22708129,Palmchat,,,palmch1,Palmchat,Palmchat
Dumetella carolinensis,22711013,Grey Catbird,Gray Catbird,,grycat,Gray Catbird,Grey Catbird
Dumetia atriceps,22716289,Dark-fronted Babbler,,"Rhopocichla atriceps, Brachypteryx atriceps",dafbab1,Dark-fronted Babbler,Dark-fronted Babbler
Dumetia hyperythra,22716286,Tawny-bellied Babbler,,,tabbab1,Tawny-bellied Babbler,Tawny-bellied Babbler
Dyaphorophyia ansorgei,103704667,Yellow-bellied Wattle-eye,,,,,
Dyaphorophyia blissetti,22707957,Red-cheeked Wattle-eye,,"Platysteira blissetti, Dyaphorophyia blissetti",rcweye1,Red-cheeked Wattle-eye,Red-cheeked Wattle-eye
Dyaphorophyia castanea,103704564,Chestnut Wattle-eye,,,,,
Dyaphorophyia chalybea,22707966,Black-necked Wattle-eye,,"Dyaphorophyia chalybea chalybea, Platysteira chalybea",bnweye1,Black-necked Wattle-eye,Black-necked Wattle-eye
Dyaphorophyia concreta,103704634,Rufous-bellied Wattle-eye,,,,,
Dyaphorophyia hormophora,22736075,West African Wattle-eye,,Platysteira hormophora,weawae1,West African Wattle-eye,West African Wattle-eye
Dyaphorophyia jamesoni,22707975,Jameson's Wattle-eye,,"Dyaphorophyia jamesoni jamesoni, Platysteira jamesoni",jaweye1,Jameson's Wattle-eye,Jameson's Wattle-eye
Dyaphorophyia tonsa,22707950,White-spotted Wattle-eye,,"Dyaphorophyia tonsa tonsa, Platysteira tonsa",wsweye1,White-spotted Wattle-eye,White-spotted Wattle-eye
Dysithamnus leucostictus,22701390,White-streaked Antvireo,White-spotted Antvireo,Thamnomanes leucostictus,whsant4,White-streaked Antvireo,White-streaked Antvireo
Dysithamnus mentalis,22701378,Plain Antvireo,,,plaant1,Plain Antvireo,Plain Antvireo
Dysithamnus occidentalis,22701407,Bicolored Antvireo,"Bicoloured Antvireo, Western Antvireo",Thamnomanes occidentalis,bicant4,Bicolored Antvireo,Bicolored Antvireo
Dysithamnus plumbeus,22701397,Plumbeous Antvireo,Plumbeous Antshrike,Thamnomanes plumbeus,pluant3,Plumbeous Antvireo,Plumbeous Antvireo
Dysithamnus puncticeps,22701384,Spot-crowned Antvireo,,,spcant1,Spot-crowned Antvireo,Spot-crowned Antvireo
Dysithamnus stictothorax,22701375,Spot-breasted Antvireo,,,spbant5,Spot-breasted Antvireo,Spot-breasted Antvireo
Dysithamnus striaticeps,22701381,Streak-crowned Antvireo,,,stcant1,Streak-crowned Antvireo,Streak-crowned Antvireo
Dysithamnus xanthopterus,22701387,Rufous-backed Antvireo,,,rubant2,Rufous-backed Antvireo,Rufous-backed Antvireo
Dysmorodrepanis munroi,22720738,Lanai Hookbill,Lana'i Hookbill,,lanhoo,Lanai Hookbill,
Eclectus cornelia,155072216,Sumba Eclectus,,Eclectus roratus,,,Sumba Eclectus
Eclectus infectus,62307504,Oceanic Parrot,,,ocepar1,Oceanic Parrot,
Eclectus polychloros,155073767,Papuan Eclectus,,Eclectus roratus,,,Papuan Eclectus
Eclectus riedeli,155073764,Tanimbar Eclectus,,Eclectus roratus,,,Tanimbar Eclectus
Eclectus roratus,155072212,Moluccan Eclectus,,Eclectus roratus,eclpar,Eclectus Parrot,Moluccan Eclectus
Ectopistes migratorius,22690733,Passenger Pigeon,,,paspig,Passenger Pigeon,
Edolisoma anale,22706535,New Caledonian Cicadabird,New Caledonian Cuckooshrike,Coracina analis,,,New Caledonian Cuckooshrike
Edolisoma ceramense,22706604,Pale Cicadabird,,Coracina ceramensis,pagcus1,Pale Cicadabird,Pale Cicadabird
Edolisoma coerulescens,22706575,Blackish Cicadabird,"Blackish Cuckooshrike, Luzon Graybird",Coracina coerulescens,,,Blackish Cuckooshrike
Edolisoma dispar,22706593,Kai Cicadabird,,Coracina dispar,kaicus1,Kai Cicadabird,Kai Cicadabird
Edolisoma dohertyi,22706584,Sumba Cicadabird,Pale-shouldered Cicadabird,Coracina dohertyi,sumcus1,Pale-shouldered Cicadabird,Pale-shouldered Cicadabird
Edolisoma grayi,103702585,Moluccan Cicadabird,,,,,
Edolisoma holopolium,103702529,Solomon Cicadabird,,,soicus1,Solomons Cuckooshrike,Solomons Cuckooshrike
Edolisoma incertum,22706607,Black-shouldered Cicadabird,,Coracina incerta,papcus1,Papuan Cicadabird,Black-shouldered Cicadabird
Edolisoma insperatum,103702644,Pohnpei Cicadabird,,,,,Pohnpei Cicadabird
Edolisoma melas,22706614,New Guinea Cicadabird,"Black Cicadabird, New Guinea Cuckooshrike",Coracina melas,negcus1,Black Cicadabird,Black Cicadabird
Edolisoma meyerii,103702598,Geelvink Cicadabird,,,,,
Edolisoma mindanense,22706596,Black-bibbed Cicadabird,Black-bibbed Cuckoo-shrike,Coracina mindanensis,bkbcus1,Black-bibbed Cuckooshrike,Black-bibbed Cicadabird
Edolisoma monacha,103702625,Palau Cicadabird,,,,,Palau Cicadabird
Edolisoma montanum,22706618,Black-bellied Cicadabird,Black-bellied Cuckooshrike,Coracina montana,bkbcus2,Black-bellied Cicadabird,Black-bellied Cuckooshrike
Edolisoma morio,22706601,Sulawesi Cicadabird,,Coracina morio,sulcus2,Sulawesi Cicadabird,Sulawesi Cicadabird
Edolisoma nesiotis,103702640,Yap Cicadabird,,,,,Yap Cicadabird
Edolisoma obiense,103702589,Obi Cicadabird,,,,,
Edolisoma ostentum,22706629,White-winged Cicadabird,"White-winged Cuckooshrike, White-winged Graybird",Coracina ostenta,,,White-winged Cuckooshrike
Edolisoma pygmaeum,103702544,New Georgia Cicadabird,,,,,
Edolisoma remotum,103702559,Melanesian Cicadabird,,,,,Grey-capped Cicadabird
Edolisoma rostratum,103702615,Rossel Cicadabird,,,,,
Edolisoma salomonis,103702475,Makira Cicadabird,,,cicada7,Makira Cicadabird,Makira Cicadabird
Edolisoma schisticeps,22706610,Grey-headed Cicadabird,"Black-tipped Cicadabird, Grey-headed Cuckooshrike",Coracina schisticeps,gyhcus1,Gray-headed Cicadabird,Grey-headed Cuckooshrike
Edolisoma sula,22706588,Sula Cicadabird,"Moluccan Graybird, Sula Cuckoo-shrike",Coracina sula,sulcus1,Sula Cicadabird,Sula Cicadabird
Edolisoma tenuirostre,103702470,Slender-billed Cicadabird,,,cicada1,Common Cicadabird,Common Cicadabird
Egretta ardesiaca,22696926,Black Heron,Black Egret,,blaher1,Black Heron,Black Heron
Egretta caerulea,22696944,Little Blue Heron,,Florida caerulea,libher,Little Blue Heron,Little Blue Heron
Egretta eulophotes,22696977,Chinese Egret,,,chiegr,Chinese Egret,Chinese Egret
Egretta garzetta,62774969,Little Egret,,,litegr,Little Egret,Little Egret
Egretta gularis,22729692,Western Reef-egret,Reef Heron,Egretta dimorpha,,,Dimorphic Egret
Egretta novaehollandiae,22696938,White-faced Heron,,Ardea novaehollandiae novaehollandiae,whfher1,White-faced Heron,White-faced Heron
Egretta picata,22697037,Pied Heron,,"Egretta picata picata, Ardea picata",pieher2,Pied Heron,Pied Heron
Egretta rufescens,22696916,Reddish Egret,,Hydranassa rufescens rufescens,redegr,Reddish Egret,Reddish Egret
Egretta sacra,22696980,Pacific Reef-egret,"Eastern Reef Egret, Pacific Reef-Egret, Pacific Reef Heron, Reef Heron",,pacreh1,Pacific Reef-Heron,Pacific Reef Heron
Egretta thula,22696974,Snowy Egret,,,snoegr,Snowy Egret,Snowy Egret
Egretta tricolor,22696931,Tricolored Heron,,Hydranassa tricolor tricolor,triher,Tricolored Heron,Tricolored Heron
Egretta vinaceigula,22696922,Slaty Egret,,,slaegr1,Slaty Egret,Slaty Egret
Elachura formosa,22716127,Spotted Elachura,"Spotted Wren-babbler, Spotted Wren-Babbler",Spelaeornis formosus,spwbab1,Spotted Elachura,Spotted Elachura
Elaenia albiceps,22699271,White-crested Elaenia,,,whcela1,White-crested Elaenia,White-crested Elaenia
Elaenia brachyptera,103681276,Coopmans's Elaenia,,,cooela1,Coopmans's Elaenia,Coopmans's Elaenia
Elaenia cherriei,103681502,Hispaniolan Elaenia,,,,,
Elaenia chiriquensis,103681244,Lesser Elaenia,,,lesela1,Lesser Elaenia,Lesser Elaenia
Elaenia cristata,22699289,Plain-crested Elaenia,,,plcela1,Plain-crested Elaenia,Plain-crested Elaenia
Elaenia dayi,22699304,Great Elaenia,,,greela1,Great Elaenia,Great Elaenia
Elaenia fallax,103681452,Large Jamaican Elaenia,,,graela1,Greater Antillean Elaenia,Greater Antillean Elaenia
Elaenia flavogaster,22699262,Yellow-bellied Elaenia,,,yebela1,Yellow-bellied Elaenia,Yellow-bellied Elaenia
Elaenia frantzii,22699298,Mountain Elaenia,,,mouela1,Mountain Elaenia,Mountain Elaenia
Elaenia gigas,22699283,Mottle-backed Elaenia,,,mobela1,Mottle-backed Elaenia,Mottle-backed Elaenia
Elaenia martinica,22699259,Caribbean Elaenia,,,carela1,Caribbean Elaenia,Caribbean Elaenia
Elaenia mesoleuca,22699280,Olivaceous Elaenia,,,oliela1,Olivaceous Elaenia,Olivaceous Elaenia
Elaenia obscura,103681177,Highland Elaenia,,,higela2,Highland Elaenia,Highland Elaenia
Elaenia olivina,103681376,Tepui Elaenia,,,sieela2,Tepui Elaenia,Tepui Elaenia
Elaenia pallatangae,103681315,Sierran Elaenia,,,sieela3,Sierran Elaenia,Sierran Elaenia
Elaenia parvirostris,22699274,Small-billed Elaenia,,,smbela1,Small-billed Elaenia,Small-billed Elaenia
Elaenia pelzelni,22699286,Brownish Elaenia,,,broela1,Brownish Elaenia,Brownish Elaenia
Elaenia ridleyana,22699268,Noronha Elaenia,,,norela1,Noronha Elaenia,Noronha Elaenia
Elaenia ruficeps,22699292,Rufous-crowned Elaenia,,,rucela1,Rufous-crowned Elaenia,Rufous-crowned Elaenia
Elaenia sordida,103681211,Brazilian Elaenia,,,higela3,Small-headed Elaenia,Small-headed Elaenia
Elaenia spectabilis,22699265,Large Elaenia,,,larela1,Large Elaenia,Large Elaenia
Elaenia strepera,22699277,Slaty Elaenia,,,slaela1,Slaty Elaenia,Slaty Elaenia
Elanoides forficatus,22695017,Swallow-tailed Kite,,,swtkit,Swallow-tailed Kite,Swallow-tailed Kite
Elanus axillaris,22695033,Black-shouldered Kite,,,auskit1,Black-shouldered Kite,Black-shouldered Kite
Elanus caeruleus,22695028,Black-winged Kite,Black-shouldered Kite,,bkskit1,Black-winged Kite,Black-winged Kite
Elanus leucurus,22695036,White-tailed Kite,,,whtkit,White-tailed Kite,White-tailed Kite
Elanus scriptus,22695039,Letter-winged Kite,,,lewkit1,Letter-winged Kite,Letter-winged Kite
Elaphrornis palliseri,22714545,Sri Lanka Warbler,"Ceylon Bush-Warbler, Sri Lanka Bush-warbler",Bradypterus palliseri,ceybuw1,Sri Lanka Bush Warbler,Sri Lanka Bush Warbler
Electron carinatum,22682989,Keel-billed Motmot,,,kebmot1,Keel-billed Motmot,Keel-billed Motmot
Electron platyrhynchum,22682986,Broad-billed Motmot,,,brbmot1,Broad-billed Motmot,Broad-billed Motmot
Eleoscytalopus indigoticus,22703546,White-breasted Tapaculo,,Scytalopus indigoticus,whbtap1,White-breasted Tapaculo,White-breasted Tapaculo
Eleoscytalopus psychopompus,22703535,Bahia Tapaculo,Chestnut-sided Tapaculo,"Scytalopus psychopompas, Scytalopus psychopompus",bahtap1,Bahia Tapaculo,Bahia Tapaculo
Eleothreptus anomalus,22690056,Sickle-winged Nightjar,,"Hydropsalis anomala, Amblypterus anomalus",siwnig1,Sickle-winged Nightjar,Sickle-winged Nightjar
Eleothreptus candicans,22689826,White-winged Nightjar,,Caprimulgus candicans,whwnig1,White-winged Nightjar,White-winged Nightjar
Elliotomyia chionogaster,22687509,White-bellied Hummingbird,,"Leucippus chionogaster, Amazilia chionogaster",whbhum1,White-bellied Hummingbird,White-bellied Hummingbird
Elliotomyia viridicauda,22687506,Green-and-white Hummingbird,,Amazilia viridicauda,gawhum1,Green-and-white Hummingbird,Green-and-white Hummingbird
Elminia albicauda,22707028,White-tailed Blue-flycatcher,"White-tailed Blue Flycatcher, White-tailed Blue-Flycatcher",,wtbfly1,White-tailed Blue Flycatcher,White-tailed Blue Flycatcher
Elminia albiventris,22707043,White-bellied Crested-flycatcher,"White-bellied Crested Flycatcher, White-bellied Crested-Flycatcher",Trochocercus albiventris albiventris,wbcfly1,White-bellied Crested-Flycatcher,White-bellied Crested Flycatcher
Elminia albonotata,22707052,White-tailed Crested-flycatcher,"White-tailed Crested Flycatcher, White-tailed Crested-Flycatcher",Trochocercus albonotatus albonotatus,wtcfly1,White-tailed Crested-Flycatcher,White-tailed Crested Flycatcher
Elminia longicauda,22707021,African Blue-flycatcher,"African Blue Flycatcher, African Blue-Flycatcher, Blue Flycatcher",,afbfly1,African Blue Flycatcher,African Blue Flycatcher
Elminia nigromitrata,22707034,Dusky Crested-flycatcher,"Dusky Crested Flycatcher, Dusky Crested-Flycatcher",Trochocercus nigromitratus nigromitratus,ducfly1,Dusky Crested-Flycatcher,Dusky Crested Flycatcher
Elseyornis melanops,22693943,Black-fronted Dotterel,,Charadrius melanops melanops,blfdot1,Black-fronted Dotterel,Black-fronted Dotterel
Emarginata schlegelii,22710359,Karoo Chat,,Cercomela schlegelii,karcha1,Karoo Chat,Karoo Chat
Emarginata sinuata,22710354,Sickle-winged Chat,Sicklewing Chat,Cercomela sinuata,siccha1,Sickle-winged Chat,Sickle-winged Chat
Emarginata tractrac,22710363,Tractrac Chat,,Cercomela tractrac,tracha1,Tractrac Chat,Tractrac Chat
Emberiza affinis,22720982,Brown-rumped Bunting,,,brrbun1,Brown-rumped Bunting,Brown-rumped Bunting
Emberiza aureola,22720966,Yellow-breasted Bunting,,,yebbun,Yellow-breasted Bunting,Yellow-breasted Bunting
Emberiza bruniceps,22720993,Red-headed Bunting,,,rehbun1,Red-headed Bunting,Red-headed Bunting
Emberiza buchanani,22720909,Grey-necked Bunting,,,gyhbun1,Gray-necked Bunting,Grey-necked Bunting
Emberiza cabanisi,22720986,Cabanis's Bunting,,,cabbun1,Cabanis's Bunting,Cabanis's Bunting
