CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,rudshe,Ruddy Shelduck,Tadorna ferruginea
species,soashe1,South African Shelduck,Tadorna cana
species,ausshe1,Australian Shelduck,Tadorna tadornoides
species,parshe1,Paradise Shelduck,Tadorna variegata
species,comshe,Common Shelduck,Tadorna tadorna
species,creshe1,Crested Shelduck,Tadorna cristata
species,spwgoo1,Spur-winged Goose,Plectropterus gambensis
species,flystd1,Flying Steamer-Duck,Tachyeres patachonicus
species,flistd1,Flightless Steamer-Duck,Tachyeres pteneres
species,falstd1,Falkland Steamer-Duck,Tachyeres brachypterus
species,whhstd1,White-headed Steamer-Duck,Tachyeres leucocephalus
species,creduc1,Crested Duck,Lophonetta specularioides
species,speduc2,Spectacled Duck,Speculanas specularis
species,musduc,Muscovy Duck,Cairina moschata
species,grnpyg1,Green Pygmy-Goose,Nettapus pulchellus
species,copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus
species,afrpyg1,African Pygmy-Goose,Nettapus auritus
species,rintea1,Ringed Teal,Callonetta leucophrys
species,wooduc,Wood Duck,Aix sponsa
species,manduc,Mandarin Duck,Aix galericulata
species,manduc1,Maned Duck,Chenonetta jubata
species,finduc1,Finsch's Duck,Chenonetta finschi
species,bratea1,Brazilian Teal,Amazonetta brasiliensis
species,bluduc1,Blue Duck,Hymenolaimus malacorhynchos
species,torduc1,Torrent Duck,Merganetta armata
species,saltea1,Salvadori's Teal,Salvadorina waigiuensis
species,baitea,Baikal Teal,Sibirionetta formosa
species,gargan,Garganey,Spatula querquedula
species,hottea1,Blue-billed Teal,Spatula hottentota
species,siltea1,Silver Teal,Spatula versicolor
species,puntea1,Puna Teal,Spatula puna
species,buwtea,Blue-winged Teal,Spatula discors
species,cintea,Cinnamon Teal,Spatula cyanoptera
species,redsho1,Red Shoveler,Spatula platalea
species,capsho1,Cape Shoveler,Spatula smithii
species,aussho1,Australasian Shoveler,Spatula rhynchotis
species,norsho,Northern Shoveler,Spatula clypeata
species,gadwal,Gadwall,Mareca strepera
species,falduc,Falcated Duck,Mareca falcata
species,eurwig,Eurasian Wigeon,Mareca penelope
species,amewig,American Wigeon,Mareca americana
species,chiwig1,Chiloe Wigeon,Mareca sibilatrix
species,amsduc1,Amsterdam Duck,Mareca marecula
species,afbduc1,African Black Duck,Anas sparsa
species,yebduc1,Yellow-billed Duck,Anas undulata
species,melduc1,Meller's Duck,Anas melleri
species,pabduc1,Pacific Black Duck,Anas superciliosa
