scientificName,altcommonNames,internalTaxonId,maincommonName,Synonym
Ceratogymna elata,Yellow-casqued Wattled Hornbill,22682627,Yellow-casqued Hornbill,
Ceratopipra chloromeros,,22701003,Round-tailed Manakin,Pipra chloromeros
Ceratopipra cornuta,,22701006,Scarlet-horned Manakin,Pipra cornuta
Ceratopipra erythrocephala,,22700997,Golden-headed Manakin,Pipra erythrocephala
Ceratopipra mentalis,,22700994,Red-capped Manakin,Pipra mentalis
Ceratopipra rubrocapilla,,22701000,Red-headed Manakin,Pipra rubrocapilla
Cercibis oxycerca,,22697432,Sharp-tailed Ibis,
Cercococcyx lemaireae,,181366408,Whistling Long-tailed Cuckoo,
Cercococcyx mechowi,,181371184,Dusky Long-tailed Cuckoo,
Cercococcyx montanus,,22683913,Barred Long-tailed Cuckoo,
Cercococcyx olivinus,,22683909,Olive Long-tailed Cuckoo,
Cercomacra brasiliana,,22701666,Rio de Janeiro Antbird,
Cercomacra carbonaria,,22701686,Rio Branco Antbird,
Cercomacra cinerascens,Gray Antbird,22701662,Grey Antbird,
Cercomacra ferdinandi,,22701677,Bananal Antbird,
Cercomacra manu,,22701689,Manu Antbird,
Cercomacra melanaria,,22701692,Mato Grosso Antbird,
Cercomacra nigricans,,22701683,Jet Antbird,
Cercomacroides fuscicauda,,103658612,Riparian Antbird,
Cercomacroides laeta,Laeta Antbird,22729229,Willis's Antbird,Cercomacra laeta
Cercomacroides nigrescens,,103658606,Blackish Antbird,
Cercomacroides parkeri,,22724618,Parker's Antbird,Cercomacra parkeri
Cercomacroides serva,,22701680,Black Antbird,Cercomacra serva
Cercomacroides tyrannina,,22701669,Dusky Antbird,Cercomacra tyrannina
Cercotrichas galactotes,"Rufous Bush Chat, Rufous Bush Robin, Rufous-tailed Scrub Robin, Rufous-tailed Scrub-Robin",22709936,Rufous-tailed Scrub-robin,"Cercotrichas galactotes, Erythropygia galactotes"
Cercotrichas hartlaubi,"Brown-backed Scrub Robin, Brown-backed Scrub-Robin",22709918,Brown-backed Scrub-robin,"Cercotrichas hartlaubi hartlaubi, Erythropygia hartlaubi"
Cercotrichas leucophrys,"Red-backed Scrub-robin, Red-backed Scrub-Robin, White-browed Scrub Robin",22709927,White-browed Scrub-robin,"Cercotrichas leucophrys leucophrys, Erythropygia leucophrys"
Cercotrichas paena,"Kalahari Scrub Robin, Kalahari Scrub-Robin",22709949,Kalahari Scrub-robin,"Cercotrichas paena paena, Erythropygia paena"
Cercotrichas podobe,"Black Bush Robin, Black Scrub Robin, Black Scrub-Robin",22709967,Black Scrub-robin,
Cereopsis novaehollandiae,,22679958,Cape Barren Goose,
Cerorhinca monocerata,,22694924,Rhinoceros Auklet,
Certhia americana,"American Tree-Creeper, Brown Creeper",22711244,American Treecreeper,
Certhia brachydactyla,Short-toed Tree-Creeper,22711249,Short-toed Treecreeper,
Certhia discolor,Brown-throated Treecreeper,22735065,Sikkim Treecreeper,
Certhia familiaris,,22735060,Eurasian Treecreeper,
Certhia himalayana,Bar-tailed Tree-Creeper,22711253,Bar-tailed Treecreeper,
Certhia hodgsoni,,22734633,Hodgson's Treecreeper,
Certhia manipurensis,,22734638,Manipur Treecreeper,
Certhia nipalensis,Rusty-flanked Tree-Creeper,22711257,Rusty-flanked Treecreeper,
Certhia tianquanensis,,22731107,Sichuan Treecreeper,
Certhiasomus stictolaemus,,22703032,Spot-throated Woodcreeper,Deconychura stictolaema
Certhiaxis cinnamomeus,,22702471,Yellow-chinned Spinetail,Certhiaxis cinnamomea
Certhiaxis mustelinus,,22702479,Red-and-white Spinetail,Certhiaxis mustelina
Certhidea fusca,,103815085,Grey Warbler-finch,
Certhidea olivacea,,103814223,Green Warbler-finch,
Certhilauda chuana,,22717164,Short-clawed Lark,Mirafra chuana chuana
Certhilauda curvirostris,Long-billed Lark,22735878,Cape Long-billed Lark,
Certhilauda semitorquata,,22730526,Eastern Long-billed Lark,
Certhilauda subcoronata,,22735884,Karoo Long-billed Lark,
Certhionyx variegatus,,22703925,Pied Honeyeater,
Ceryle rudis,,22683645,Pied Kingfisher,Alcedo rudis 
Cettia brunnifrons,"Grey-sided Bush Warbler, Grey-sided Bush-Warbler",22714440,Grey-sided Bush-warbler,
Cettia castaneocoronata,,22714347,Chestnut-headed Tesia,Tesia castaneocoronata
Cettia cetti,,22714445,Cetti's Warbler,
Cettia major,"Chestnut-crowned Bush Warbler, Chestnut-crowned Bush-Warbler",22714423,Chestnut-crowned Bush-warbler,
Ceuthmochares aereus,"Green Coucal, Green Malkoha, Yellowbill",22725623,Chattering Yellowbill,
Ceuthmochares australis,,22725637,Whistling Yellowbill,
Ceyx argentatus,Silvery Kingfisher,22726935,Southern Silvery Kingfisher,
Ceyx azureus,,22683045,Azure Kingfisher,"Ceyx azureus azureus, Alcedo azurea"
Ceyx cajeli,,22726607,Buru Dwarf-kingfisher,
Ceyx collectoris,,22726643,New Georgia Dwarf-kingfisher,
Ceyx cyanopectus,"Dwarf River Kingfisher, Indigo-banded Kingfisher",22726949,Northern Indigo-banded Kingfisher,"Alcedo cyanopecta cyanopecta, Alcedo cyanopecta cyanopecta , Alcedo cyanopectus"
Ceyx dispar,,22726619,Manus Dwarf-kingfisher,
Ceyx erithaca,,61658565,Oriental Dwarf-kingfisher,Ceyx rufidorsa
Ceyx fallax,,45355839,Sulawesi Dwarf-kingfisher,
Ceyx flumenicola,,22726943,Northern Silvery Kingfisher,
Ceyx gentianus,,22726655,San Cristobal Dwarf-kingfisher,
Ceyx lepidus,"Chameleon Dwarf Kingfisher, Variable Kingfisher",22726591,Moluccan Dwarf-kingfisher,
Ceyx margarethae,,22726601,Dimorphic Dwarf-kingfisher,
Ceyx meeki,,22726637,North Solomons Dwarf-kingfisher,
Ceyx melanurus,,61655451,North Philippine Dwarf-kingfisher,
Ceyx mindanensis,,61655468,South Philippine Dwarf-Kingfisher,
Ceyx mulcatus,,22726625,New Ireland Dwarf-kingfisher,
Ceyx nigrirostris,,22726965,Southern Indigo-banded Kingfisher,Alcedo nigrirostris
Ceyx nigromaxilla,,22726649,Guadalcanal Dwarf-kingfisher,
Ceyx pusillus,,22683121,Little Kingfisher,"Ceyx pusilla pusilla, Alcedo pusilla"
Ceyx sacerdotis,,22726631,New Britain Dwarf-kingfisher,
Ceyx sangirensis,,45355856,Sangihe Dwarf-kingfisher,
Ceyx solitarius,,22726613,New Guinea Dwarf-kingfisher,
Ceyx wallacii,,61659795,Sula Dwarf-kingfisher,
Ceyx websteri,,22683051,Bismarck Kingfisher,Alcedo websteri
Chaetocercus astreans,,22688274,Santa Marta Woodstar,Acestrura astreans
Chaetocercus berlepschi,,22688279,Esmeraldas Woodstar,Acestrura berlepschi
Chaetocercus bombus,,22688257,Little Woodstar,Acestrura bombus
Chaetocercus heliodor,,22688268,Gorgeted Woodstar,Acestrura heliodor
Chaetocercus jourdanii,,22688290,Rufous-shafted Woodstar,
Chaetocercus mulsant,,22688251,White-bellied Woodstar,Acestrura mulsant
Chaetops aurantius,"Drakensburg Rockjumper, Orange-breasted Rock-jumper",22708101,Drakensberg Rockjumper,
Chaetops frenatus,"Cape Rock-jumper, Rufous Rock-jumper",22708094,Cape Rockjumper,
Chaetoptila angustipluma,,22704348,Kioea,
Chaetorhynchus papuensis,Pygmy Drongo,22706924,Drongo Fantail,
Chaetura andrei,Ashy-tailed Swift,154632117,Andre's Swift,Chaetura vauxi
Chaetura brachyura,,22686725,Short-tailed Swift,
Chaetura chapmani,,22686717,Chapman's Swift,Chaetura viridipennis
Chaetura cinereiventris,Gray-rumped Swift,22686701,Grey-rumped Swift,
Chaetura egregia,,22686706,Pale-rumped Swift,
Chaetura fumosa,,22730119,Costa Rican Swift,
Chaetura martinica,,22686698,Lesser Antillean Swift,
Chaetura meridionalis,Ashy-tailed Swift,22733018,Southern Swift,
Chaetura pelagica,,22686709,Chimney Swift,
Chaetura spinicaudus,,22686693,Band-rumped Swift,
Chaetura vauxi,,154632189,Vaux's Swift,Chaetura vauxi
Chalcites basalis,"Horsfield's Bronze Cuckoo, Horsfield's Bronze-Cuckoo",22683982,Horsfield's Bronze-cuckoo,"Chalcites basalis basalis, Chrysococcyx basalis"
Chalcites crassirostris,"Pied Bronze Cuckoo, Pied Bronze-Cuckoo",22683968,Pied Bronze-cuckoo,Chrysococcyx crassirostris
Chalcites lucidus,"Shining Bronze Cuckoo, Shining Bronze-Cuckoo, Shining Cuckoo",22683973,Shining Bronze-cuckoo,"Chrysococcyx lucidus, Chalcites lucidus"
Chalcites megarhynchus,,22683944,Long-billed Cuckoo,Rhamphomantis megarhynchus
Chalcites meyerii,"White-eared Bronze Cuckoo, White-eared Bronze-Cuckoo",22683995,White-eared Bronze-cuckoo,Chrysococcyx meyeri
Chalcites minutillus,,61433519,Little Bronze-cuckoo,"Chrysococcyx russatus, Chrysococcyx minutillus, Chrysococcyx rufomerus"
Chalcites osculans,,22684006,Black-eared Cuckoo,"Chalcites osculans osculans, Chrysococcyx osculans"
Chalcites ruficollis,"Rufous-throated Bronze Cuckoo, Rufous-throated Bronze-Cuckoo",22683990,Rufous-throated Bronze-cuckoo,Chrysococcyx ruficollis
Chalcomitra adelberti,,22717778,Buff-throated Sunbird,Nectarinia adelberti
Chalcomitra amethystina,,22717762,Amethyst Sunbird,Nectarinia amethystina
Chalcomitra balfouri,,22717750,Socotra Sunbird,Nectarinia balfouri
Chalcomitra fuliginosa,,22717758,Carmelite Sunbird,Nectarinia fuliginosa
Chalcomitra hunteri,,22717774,Hunter's Sunbird,Nectarinia hunteri
Chalcomitra rubescens,,22717766,Green-throated Sunbird,Nectarinia rubescens
Chalcomitra senegalensis,,22717770,Scarlet-chested Sunbird,Nectarinia senegalensis
Chalcoparia singalensis,,22717626,Ruby-cheeked Sunbird,Anthreptes singalensis
Chalcophaps indica,"Common Emerald Dove, Emerald Dove",22725538,Grey-capped Emerald Dove,
Chalcophaps longirostris,,22725548,Brown-capped Emerald Dove,
Chalcophaps stephani,Stephan's Emerald Dove,22690657,Stephan's Dove,
Chalcopsitta atra,,22684488,Black Lory,
Chalcopsitta cardinalis,,22684499,Cardinal Lory,
Chalcopsitta duivenbodei,,22684491,Brown Lory,
Chalcopsitta scintillata,Streaked Lory,22684494,Yellow-streaked Lory,Chalcopsitta sintillata
Chalcostigma herrani,,22688036,Rainbow-bearded Thornbill,
Chalcostigma heteropogon,,22688033,Bronze-tailed Thornbill,
Chalcostigma olivaceum,,22688027,Olivaceous Thornbill,
Chalcostigma ruficeps,,22688024,Rufous-capped Thornbill,
Chalcostigma stanleyi,,22688030,Blue-mantled Thornbill,
Chalybura buffonii,,219586279,White-vented Plumeleteer,Trochilus buffonii
Chalybura urochrysia,,219585494,Bronze-tailed Plumeleteer,Hypuroptila urochrysia
Chamaea fasciata,,22716861,Wrentit,Parus fasciatus
Chamaepetes goudotii,,22678446,Sickle-winged Guan,
Chamaepetes unicolor,,22678443,Black Guan,
Chamaetylas choloensis,"Cholo Alethe, Cholo Mountain Alethe",22709004,Thyolo Alethe,Alethe choloensis
Chamaetylas fuelleborni,,22709000,White-chested Alethe,Alethe fuelleborni
Chamaetylas poliocephala,,22708992,Brown-chested Alethe,Alethe poliocephala
Chamaetylas poliophrys,,22708996,Red-throated Alethe,Alethe poliophrys
Chamaeza campanisona,,22703212,Short-tailed Antthrush,
Chamaeza meruloides,Such's Antthrush,22703221,Cryptic Antthrush,
Chamaeza mollissima,,22703228,Barred Antthrush,
Chamaeza nobilis,,22703215,Striated Antthrush,
Chamaeza ruficauda,,22703225,Rufous-tailed Antthrush,
Chamaeza turdina,Schwartz's Antthrush,22703218,Scalloped Antthrush,
Charadrius alexandrinus,Snowy Plover,22727487,Kentish Plover,
Charadrius alticola,,22693849,Puna Plover,
Charadrius aquilonius,"New Zealand Dotterel, Northern New Zealand Dotterel",62291168,Northern Red-breasted Plover,
Charadrius asiaticus,,22693868,Caspian Plover,
Charadrius bicinctus,Banded Dotterel,22693845,Double-banded Plover,
Charadrius bifrontatus,,22727481,Madagascar Three-banded Plover,
Charadrius collaris,,22693842,Collared Plover,
Charadrius dealbatus,,22735615,White-faced Plover,
Charadrius dubius,,22693770,Little Ringed Plover,
Charadrius falklandicus,,22693852,Two-banded Plover,
Charadrius forbesi,,22693807,Forbes's Plover,
Charadrius hiaticula,Ringed Plover,22693759,Common Ringed Plover,
Charadrius javanicus,,22693839,Javan Plover,
Charadrius leschenaultii,"Greater Sand-Plover, Large Sand Dotterel",22693862,Greater Sandplover,
Charadrius marginatus,,22693828,White-fronted Plover,
Charadrius melodus,,22693811,Piping Plover,
Charadrius modestus,Rufous-chested Dotterel,22693879,Rufous-chested Plover,
Charadrius mongolus,"Lesser Sand-Plover, Mongolian Dotterel, Mongolian Plover",22693855,Lesser Sandplover,
Charadrius montanus,,22693876,Mountain Plover,
Charadrius nivosus,,22725033,Snowy Plover,
Charadrius obscurus,"New Zealand Dotterel, Southern New Zealand Dotterel",62290750,Southern Red-breasted Plover,
Charadrius pallidus,,22693814,Chestnut-banded Plover,
Charadrius pecuarius,,22693793,Kittlitz's Plover,
Charadrius peronii,,22693836,Malay Plover,
Charadrius placidus,,22693767,Long-billed Plover,
Charadrius ruficapillus,Red-capped Dotterel,22693832,Red-capped Plover,
Charadrius sanctaehelenae,"St Helena Plover, St. Helena Plover, Wirebird",22693785,Saint Helena Plover,
Charadrius semipalmatus,,22693764,Semipalmated Plover,
Charadrius thoracicus,Black-banded Plover,22693780,Black-banded Plover,
Charadrius tricollaris,Three-banded Plover,22727471,African Three-banded Plover,
Charadrius veredus,Oriental Dotterel,22693872,Oriental Plover,
Charadrius vociferus,,22693777,Killdeer,
Charadrius wilsonia,,22693774,Wilson's Plover,
Charitospiza eucosma,Coal-crested Finch,22723036,Coalcrest,
Charmosyna amabilis,,22684693,Red-throated Lorikeet,
Charmosyna diadema,,22684689,New Caledonian Lorikeet,
Charmosyna josefinae,,22684704,Josephine's Lorikeet,
Charmosyna margarethae,,22684697,Duchess Lorikeet,
Charmosyna meeki,,22684668,Meek's Lorikeet,
Charmosyna multistriata,Streaked Lorikeet,22684675,Striated Lorikeet,
Charmosyna palmarum,,22684661,Palm Lorikeet,
Charmosyna papou,,22725340,Papuan Lorikeet,
Charmosyna placentis,,22684686,Red-flanked Lorikeet,
Charmosyna pulchella,,22684701,Fairy Lorikeet,
Charmosyna rubrigularis,,22684665,Red-chinned Lorikeet,
Charmosyna rubronotata,,22684683,Red-fronted Lorikeet,
Charmosyna stellae,,22725349,Stella's Lorikeet,
Charmosyna toxopei,,22684671,Blue-fronted Lorikeet,
Charmosyna wilhelminae,,22684680,Pygmy Lorikeet,
Chasiempis ibidis,,22736423,Oahu Elepaio,Chasiempis sandwichensis
Chasiempis sandwichensis,Hawai`i `Elepaio,22736440,Hawaii Elepaio,
Chasiempis sclateri,Kaua`i `Elepaio,22736432,Kauai Elepaio,Chasiempis sandwichensis
Chauna chavaria,,22679726,Northern Screamer,
Chauna torquata,,22679729,Southern Screamer,
Chelictinia riocourii,"Scissor-tailed Kite, Swallow-tailed Kite",22695042,Scissor-tailed Kite,
Chelidoptera tenebrosa,Swallow-winged Puffbird,22682337,Swallow-winged Puffbird,
Chelidorhynx hypoxanthus,Yellow-bellied Fantail,22706775,Yellow-bellied Fairy-fantail,Rhipidura hypoxantha
Chenonetta finschi,,62239833,Finsch's Duck,
Chenonetta jubata,"Australian Wood Duck, Maned Duck",22680111,Maned Duck,
Chenorhamphus grayi,Broad-billed Fairywren,22703715,Broad-billed Fairy-wren,Malurus grayi
Cheramoeca leucosterna,,22712165,White-backed Swallow,Cheramoeca leucosternus leucosternus
Chersomanes albofasciata,,22717188,Spike-heeled Lark,
Chersophilus duponti,,22717380,Dupont's Lark,
Chionis albus,American Sheathbill,22693556,Snowy Sheathbill,Chionis alba
Chionis minor,,22693567,Black-faced Sheathbill,
Chionodacryon speculiferum,"White-winged Diuca Finch, White-winged Diuca-Finch",22723169,White-winged Diuca-finch,Diuca speculifera
Chionomesa bartletti,,22726714,Spot-vented Emerald,"Amazilia bartletti, Thaumantias bartletti"
Chionomesa fimbriata,,22687534,Glittering-throated Emerald,"Polyerata fimbriata, Amazilia fimbriata"
Chionomesa lactea,,22726706,Sapphire-spangled Emerald,Amazilia lactea
Chiroxiphia boliviana,,22701080,Yungas Manakin,
Chiroxiphia caudata,Swallow-tailed Manakin,22701083,Blue Manakin,
Chiroxiphia lanceolata,,22701074,Lance-tailed Manakin,
Chiroxiphia linearis,,22701071,Long-tailed Manakin,
Chiroxiphia pareola,,22701077,Blue-backed Manakin,
Chlamydera cerviniventris,,22703703,Fawn-breasted Bowerbird,Ptilonorhynchus cerviniventris cerviniventris
Chlamydera guttata,,22703682,Western Bowerbird,Ptilonorhynchus guttatus guttatus
Chlamydera lauterbachi,,22703700,Yellow-breasted Bowerbird,
Chlamydera maculata,,22703688,Spotted Bowerbird,Ptilonorhynchus maculatus maculatus
Chlamydera nuchalis,,22703694,Great Bowerbird,Ptilonorhynchus nuchalis nuchalis
Chlamydochaera jefferyi,"Black-breasted Fruit-hunter, Fruit-hunter",22708965,Fruithunter,
Chlamydotis macqueenii,"Asian Houbara Bustard, Macqueen's Bustard",22733562,Asian Houbara,
Chlamydotis undulata,African Houbara Bustard,22728245,African Houbara,
Chlidonias albostriatus,,22694750,Black-fronted Tern,"Sterna albostriata, Chlidonias albostriatus, Hydrochelidon albostriata"
Chlidonias hybrida,,22694764,Whiskered Tern,Chlidonias hybridus
Chlidonias leucopterus,White-winged Black Tern,22694782,White-winged Tern,
Chlidonias niger,,22694787,Black Tern,
Chloebia gouldiae,,22719744,Gouldian Finch,"Chloebia gouldiae, Erythrura gouldiae"
Chloephaga hybrida,,22679978,Kelp Goose,
Chloephaga melanoptera,,22679972,Andean Goose,
Chloephaga picta,,22679975,Upland Goose,
Chloephaga poliocephala,,22679981,Ashy-headed Goose,
Chloephaga rubidiceps,,22679984,Ruddy-headed Goose,
Chlorestes candida,,22687513,White-bellied Emerald,"Agyrtria candida, Amazilia candida"
Chlorestes cyanus,,22687439,White-chinned Sapphire,"Hylocharis cyanus, Trochilus cyanus, Amazilia cyanus"
Chlorestes eliciae,Blue-throated Sapphire,22687432,Blue-throated Goldentail,"Hylocharis eliciae, Trochilus Eliciae, Amazilia eliciae"
Chlorestes julie,,22687411,Violet-bellied Hummingbird,"Damophila julie, Juliamyia julie, Ornismyia julie, Amazilia julie"
Chlorestes notata,,22687296,Blue-chinned Emerald,"Chlorestes  notatus, Chlorestes notata, Chlorostilbon notatus"
Chloridops kona,Grosbeak Finch,22728825,Kona Grosbeak,Psittirostra kona
Chloris ambigua,,22720347,Black-headed Greenfinch,Carduelis ambigua
Chloris chloris,"Common Greenfinch, Greenfinch",22720330,European Greenfinch,"Carduelis chloris, Chloris chloris"
Chloris monguilloti,Vietnam Greenfinch,22720350,Vietnamese Greenfinch,Carduelis monguilloti
Chloris sinica,Grey-capped Greenfinch,22720340,Oriental Greenfinch,Carduelis sinica
Chloris spinoides,,22720344,Yellow-breasted Greenfinch,Carduelis spinoides
Chloroceryle aenea,,22683658,American Pygmy-kingfisher,
Chloroceryle amazona,,22683649,Amazon Kingfisher,
Chloroceryle americana,,22683652,Green Kingfisher,
Chloroceryle inda,,22683655,Green-and-rufous Kingfisher,
Chlorochrysa calliparaea,,103845906,Orange-eared Tanager,
Chlorochrysa fulgentissima,,103845936,Blue-throated Tanager,
Chlorochrysa nitidissima,Multicoloured Tanager,22722799,Multicolored Tanager,
Chlorochrysa phoenicotis,,22722793,Glistening-green Tanager,
Chlorocichla falkensteini,Yellow-necked Greenbul,22712860,Falkenstein's Greenbul,
Chlorocichla flaviventris,,22712865,Yellow-bellied Greenbul,
Chlorocichla laetissima,,22712869,Joyful Greenbul,
Chlorocichla prigoginei,,22712873,Prigogine's Greenbul,
Chlorocichla simplex,,22712851,Simple Greenbul,
Chlorodrepanis flava,O'ahu 'Amakihi,22728299,Oahu Amakihi,Hemignathus flavus
Chlorodrepanis stejnegeri,Kaua'i 'Amakihi,22720756,Kauai Amakihi,"Viridonia stejnegeri, Hemignathus kauaiensis"
Chlorodrepanis virens,"Common Amakihi, Common 'Amakihi",22720766,Hawaii Amakihi,"Viridonia virens virens, Hemignathus virens"
Chlorophanes spiza,,22723000,Green Honeycreeper,
Chlorophoneus bocagei,"Grey-green Bushshrike, Grey-green Bush-shrike, Grey-green Bush Shrike",22707638,Bocage's Bush-shrike,"Malaconotus bocagei bocagei, Telophorus bocagei"
Chlorophoneus kupeensis,"Kupé Bushshrike, Mount Kupé Bush-shrike, Mount Kupé Bush Shrike, Serle's Bushshrike",22707678,Mount Kupe Bush-shrike,"Telophorus kupeensis, Malaconotus kupeensis"
Chlorophoneus multicolor,Many-colored Bushshrike,22730664,Many-coloured Bush-shrike,Telophorus multicolor
Chlorophoneus nigrifrons,Black-fronted Bushshrike,22707672,Black-fronted Bush-shrike,Telophorus nigrifrons
Chlorophoneus olivaceus,"Olive Bushshrike, Olive Bush Shrike",22707656,Olive Bush-shrike,"Malaconotus olivaceus olivaceus, Telophorus olivaceus"
Chlorophoneus sulfureopectus,"Orange-breasted Bush Shrike, Sulphur-breasted Bushshrike, Sulphur-breasted Bush-shrike",22707647,Orange-breasted Bush-shrike,"Malaconotus sulfureopectus sulfureopectus, Telophorus sulfureopectus"
Chlorophonia callophrys,,22722790,Golden-browed Chlorophonia,
Chlorophonia cyanea,,22722781,Blue-naped Chlorophonia,
Chlorophonia flavirostris,,22722778,Yellow-collared Chlorophonia,
Chlorophonia occipitalis,,22722787,Blue-crowned Chlorophonia,
Chlorophonia pyrrhophrys,,22722784,Chestnut-breasted Chlorophonia,
Chloropicoides rafflesii,,22681493,Olive-backed Woodpecker,Dinopium rafflesii
Chloropipo flavicapilla,,22701147,Yellow-headed Manakin,"Chloropipo flavicapilla, Xenopipo flavicapilla, Pipra flavicapilla"
Chloropipo unicolor,,22701128,Jet Manakin,"Chloropipo unicolor, Xenopipo unicolor"
Chloropsis aurifrons,,22734342,Golden-fronted Leafbird,
Chloropsis cochinchinensis,,103775551,Javan Leafbird,
Chloropsis cyanopogon,,22704953,Lesser Green Leafbird,
Chloropsis flavipennis,,22704944,Philippine Leafbird,
Chloropsis hardwickii,,103775266,Orange-bellied Leafbird,
Chloropsis jerdoni,,22732257,Jerdon's Leafbird,
Chloropsis kinabaluensis,,22732262,Bornean Leafbird,
Chloropsis lazulina,,103775437,Greyish-crowned Leafbird,
Chloropsis media,,22732267,Sumatran Leafbird,
Chloropsis moluccensis,,103775599,Blue-winged Leafbird,
Chloropsis palawanensis,,22704947,Yellow-throated Leafbird,
Chloropsis sonnerati,,22704950,Greater Green Leafbird,
Chloropsis venusta,,22704969,Blue-masked Leafbird,
Chlorornis riefferii,,22722150,Grass-green Tanager,
Chlorospingus canigularis,"Ashy-throated Bush Tanager, Ashy-throated Bush-Tanager",22722203,Ashy-throated Bush-tanager,
Chlorospingus flavigularis,,103768776,Yellow-throated Bush-tanager,
Chlorospingus flavopectus,"Common Bush Tanager, Common Bush-Tanager",22722162,Common Bush-tanager,
Chlorospingus hypophaeus,,103768825,Orange-throated Bush-tanager,
Chlorospingus inornatus,"Pirre Bush Tanager, Pirre Bush-Tanager",22722172,Pirre Bush-tanager,
Chlorospingus parvirostris,"Yellow-whiskered Bush-tanager, Yellow-whiskered Bush Tanager, Yellow-whiskered Bush-Tanager",22722187,Short-billed Bush-Tanager,
Chlorospingus pileatus,"Sooty-capped Bush Tanager, Sooty-capped Bush-Tanager",22722182,Sooty-capped Bush-tanager,
Chlorospingus semifuscus,"Dusky Bush Tanager, Dusky Bush-Tanager",22722177,Dusky Bush-tanager,
Chlorospingus tacarcunae,"Tacarcuna Bush Tanager, Tacarcuna Bush-Tanager",22722167,Tacarcuna Bush-tanager,
Chlorostilbon alice,,22687359,Green-tailed Emerald,Chlorostilbon poortmani
Chlorostilbon assimilis,,22687310,Garden Emerald ,
Chlorostilbon gibsoni,,22687342,Red-billed Emerald ,
Chlorostilbon lucidus,,22687321,Glittering-bellied Emerald,Chlorostilbon aureoventris
Chlorostilbon mellisugus,,22687313,Blue-tailed Emerald,Chlorostilbon melanorhynchus
Chlorostilbon olivaresi,,22724623,Chiribiquete Emerald,
Chlorostilbon poortmani,,22687362,Short-tailed Emerald,Chlorostilbon poortmanni poortmanni
Chlorostilbon russatus,,22687345,Coppery Emerald,
Chlorostilbon stenurus,,22687348,Narrow-tailed Emerald,Chlorostilbon stenura stenura
Chondestes grammacus,,22721191,Lark Sparrow,
Chondrohierax uncinatus,,22694971,Hook-billed Kite,
Chondrohierax wilsonii,,22728485,Cuban Kite,
Chordeiles acutipennis,,22689711,Lesser Nighthawk,
Chordeiles gundlachii,,22689717,Antillean Nighthawk,
Chordeiles minor,,22689714,Common Nighthawk,
Chordeiles nacunda,,22689723,Nacunda Nighthawk,Podager nacunda
Chordeiles pusillus,,22689701,Least Nighthawk,
Chordeiles rupestris,Sand-colored Nighthawk,22729172,Sand-colored Nighthawk,
Chrysococcyx caprius,"Dideric Cuckoo, Diederik Cuckoo",22684026,Diederik Cuckoo,
Chrysococcyx cupreus,Emerald Cuckoo,22684021,African Emerald Cuckoo,
Chrysococcyx flavigularis,Yellow-throated Green Cuckoo,22684012,Yellow-throated Cuckoo,
Chrysococcyx klaas,,22684017,Klaas's Cuckoo,
Chrysococcyx maculatus,,22684000,Asian Emerald Cuckoo,
Chrysococcyx xanthorhynchus,,22684003,Violet Cuckoo,
Chrysocolaptes erythrocephalus,,22726579,Red-headed Flameback,
Chrysocolaptes festivus,,22681522,White-naped Woodpecker,
Chrysocolaptes guttacristatus,,22726548,Greater Flameback,
Chrysocolaptes haematribon,,22726566,Luzon Flameback,
Chrysocolaptes lucidus,"Greater Flameback, Greater Goldenback",22726539,Buff-spotted Flameback,
Chrysocolaptes stricklandi,Greater Crimson-backed Flameback,22726554,Greater Sri Lanka Flameback,
Chrysocolaptes strictus,,22726560,Javan Flameback,
Chrysocolaptes validus,,22681549,Orange-backed Woodpecker,Reinwardtipicus validus
Chrysocolaptes xanthocephalus,,22726572,Yellow-faced Flameback,
Chrysocorypha delatrii,,22722394,Tawny-crested Tanager,Tachyphonus delatrii
Chrysocorythus estherae,,103764840,Mountain Serin,
Chrysocorythus mindanensis,,103764849,Mindanao Serin,
Chrysoena luteovirens,Golden Fruit Dove,22691577,Golden Dove,Ptilinopus luteovirens
Chrysoena victor,Orange Fruit Dove,22691573,Orange Dove,Ptilinopus victor
Chrysoena viridis,Whistling Fruit Dove,22691581,Whistling Dove,Ptilinopus layardi
Chrysolampis mosquitus,Ruby Topaz,22687160,Ruby-topaz Hummingbird,
Chrysolophus amherstiae,,22679358,Lady Amherst's Pheasant,
Chrysolophus pictus,,22679355,Golden Pheasant,
Chrysominla strigula,Chestnut-tailed Minla,22716579,Bar-throated Minla,Minla strigula
Chrysomma altirostre,,22716326,Jerdon's Babbler,Moupinia altirostris
Chrysomma sinense,,22716323,Yellow-eyed Babbler,[Parus] sinensis
Chrysomus icterocephalus,,22724200,Yellow-hooded Blackbird,Agelaius icterocephalus
Chrysomus ruficapillus,,22724212,Chestnut-capped Blackbird,Agelaius ruficapillus
Chrysophlegma flavinucha,,22681437,Greater Yellownape,Picus flavinucha
Chrysophlegma humii,,62049529,Chequer-throated Yellownape,
Chrysophlegma mentale,,62049548,Javan Yellownape,
Chrysophlegma miniaceum,,22681428,Banded Woodpecker,Picus miniaceus
Chrysothlypis chrysomelas,,22722281,Black-and-yellow Tanager,Chrysothlypis chrysomelaena
Chrysothlypis salmoni,,22722287,Scarlet-and-white Tanager,
Chrysuronia brevirostris,,22687517,White-chested Emerald,"Amazilia chionopectus, Amazilia brevirostris"
