scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Acrocephalus longirostris,22735588,Moorea Reed-warbler,"Mo'orea Reed-warbler, Mo'orea Reed Warbler",
Acrocephalus luscinius,103780078,Guam Reed-warbler,Nightingale Reed-warbler,
Acrocephalus melanopogon,22714693,Moustached Warbler,,
Acrocephalus mendanae,104012371,Southern Marquesan Reed-warbler,,
Acrocephalus musae,22735592,Forster's Reed-warbler,"Leeward Islands Reed-warbler, Leeward Islands Reed Warbler",
Acrocephalus newtoni,22714865,Madagascar Swamp-warbler,"Madagascar Swamp Warbler, Madagascar Swamp-Warbler",
Acrocephalus nijoi,103780109,Aguijan Reed-warbler,,
Acrocephalus orientalis,22734033,Oriental Reed-warbler,"Oriental Reed Warbler, Oriental Reed-Warbler",
Acrocephalus orinus,22729551,Large-billed Reed-warbler,Large-billed Reed Warbler,
Acrocephalus paludicola,22714696,Aquatic Warbler,,
Acrocephalus palustris,22714741,Marsh Warbler,,
Acrocephalus percernis,104011899,Northern Marquesan Reed-warbler,,
Acrocephalus rehsei,22714791,Nauru Reed-warbler,"Finsch's Reed-warbler, Nauru Reed Warbler, Nauru Reed-Warbler",
Acrocephalus rimitarae,22714826,Rimatara Reed-warbler,Rimatara Reed-Warbler,Acrocephalus rimatarae
Acrocephalus rodericanus,22714874,Rodrigues Warbler,Rodriguez Brush-Warbler,Bebrornis rodericanus rodericanus
Acrocephalus rufescens,22714846,Greater Swamp-warbler,"Greater Swamp Warbler, Greater Swamp-Warbler",
Acrocephalus schoenobaenus,22714700,Sedge Warbler,,
Acrocephalus scirpaceus,22714722,Common Reed-warbler,"Eurasian Reed-warbler, Eurasian Reed Warbler, European Reed Warbler, Reed Warbler",
Acrocephalus sechellensis,22714882,Seychelles Warbler,"Seychelles Brush Warbler, Seychelles Brush-Warbler","Bebrornis sechellensis, Ellisia sechellensis"
Acrocephalus sorghophilus,22714704,Streaked Reed-warbler,"Speckled Reed Warbler, Streaked Reed-Warbler",
Acrocephalus stentoreus,219591644,Clamorous Reed-warbler,Clamorous Reed Warbler,Curruca stentorea
Acrocephalus syrinx,22714786,Caroline Reed-warbler,"Caroline Islands Reed-warbler, Caroline Islands Reed-Warbler, Carolinian Reed Warbler",
Acrocephalus taiti,22714839,Henderson Island Reed-warbler,"Henderson Island Reed-Warbler, Henderson Reed-warbler, Henderson Reed Warbler",
Acrocephalus tangorum,22728387,White-browed Reed-warbler,"Manchurian Reed-warbler, Manchurian Reed Warbler",
Acrocephalus vaughani,22714832,Pitcairn Reed-warbler,"Pitcairn Reed Warbler, Pitcairn Reed-Warbler",
Acrocephalus yamashinae,103780103,Pagan Reed-warbler,,
Acropternis orthonyx,22703554,Ocellated Tapaculo,,
Acryllium vulturinum,22679572,Vulturine Guineafowl,,
Actenoides bougainvillei,22683519,Moustached Kingfisher,,"Halcyon bougainvillei bougainvillei, Halcyon bougainvillei"
Actenoides capucinus,22726852,Black-headed Kingfisher,,
Actenoides concretus,22683532,Rufous-collared Kingfisher,,
Actenoides hombroni,22683542,Blue-capped Kingfisher,Hombron's Kingfisher,Halcyon hombroni
Actenoides lindsayi,22683535,Spotted Kingfisher,Spotted Wood Kingfisher,Halcyon lindsayi lindsayi
Actenoides monachus,22726844,Blue-headed Kingfisher,Green-backed Kingfisher,
Actenoides princeps,22726858,Scaly-breasted Kingfisher,Scaly Kingfisher,
Actenoides regalis,22727941,Plain-backed Kingfisher,,
Actinodura egertoni,22716557,Rusty-fronted Barwing,,
Actinodura radcliffei,103879283,Eastern Spectacled Barwing,,
Actinodura ramsayi,103879269,Western Spectacled Barwing,,
Actinodura sodangorum,22716552,Black-crowned Barwing,,
Actitis hypoleucos,22693264,Common Sandpiper,,Tringa hypoleucos hypoleucos
Actitis macularius,22693277,Spotted Sandpiper,,"Tringa macularia macularia, Actitis macularia macularia"
Actophilornis africanus,22693528,African Jacana,,
Actophilornis albinucha,22693532,Madagascar Jacana,,
Adelomyia melanogenys,22687696,Speckled Hummingbird,,
Aechmophorus clarkii,22696634,Clark's Grebe,,
Aechmophorus occidentalis,22696631,Western Grebe,,
