scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Corvus validus,22705963,Long-billed Crow,,
Corvus violaceus,103727509,Violet Crow,,
Corvus woodfordi,22705969,White-billed Crow,,
Corydon sumatranus,22698724,Dusky Broadbill,,
Corydospiza alaudina,22723110,Band-tailed Sierra-finch,"Band-tailed Sierra Finch, Band-tailed Sierra-Finch",Phrygilus alaudinus
Corydospiza carbonaria,22723105,Carbon Sierra-finch,"Carbonated Sierra-finch, Carbonated Sierra Finch, Carbonated Sierra-Finch",Phrygilus carbonarius
Coryphaspiza melanotis,22723039,Black-masked Finch,,
Coryphistera alaudina,22702664,Lark-like Brushrunner,,
Coryphospingus cucullatus,22723051,Red-crested Finch,Red Pileated Finch,
Coryphospingus pileatus,22723047,Pileated Finch,Grey Pileated Finch,
Corythaeola cristata,22688425,Great Blue Turaco,,
Corythaixoides concolor,22688396,Grey Go-away-bird,Grey Lourie,
Corythaixoides leopoldi,22725417,Black-faced Go-away-bird,,
Corythaixoides personatus,22725405,Brown-faced Go-away-bird,"Bare-faced Go-away-bird, Bare-faced Go-away Bird, Touraco masqué",
Corythopis delalandi,22699069,Southern Antpipit,,
Corythopis torquatus,22699061,Ringed Antpipit,,Corythopis torquata
Corythornis cristatus,61650582,Malachite Kingfisher,,Alcedo cristatus
Corythornis leucogaster,22683112,White-bellied Kingfisher,,Alcedo leucogaster
Corythornis madagascariensis,22683156,Madagascar Pygmy-kingfisher,"Madagascar Pygmy Kingfisher, Madagascar Pygmy-Kingfisher","Ispidina madagascariensis madagascariensis, Ceyx madagascariensis"
Corythornis nais,22683106,Principe Kingfisher,Príncipe Kingfisher,Alcedo nais
Corythornis thomensis,22683099,Sao Tome Kingfisher,"Sao Tomé Kingfisher, São Tomé Kingfisher",Alcedo thomensis
Corythornis vintsioides,22683093,Madagascar Kingfisher,Malagasy Kingfisher,Alcedo vintsioides
Coscoroba coscoroba,22679866,Coscoroba Swan,,
Cossypha albicapillus,22709853,White-crowned Robin-chat,White-crowned Robin-Chat,
Cossypha cyanocampter,22709803,Blue-shouldered Robin-chat,"Blue-shouldered Robin, Blue-shouldered Robin-Chat",
Cossypha dichroa,22709834,Chorister Robin-chat,"Chorister Robin, Chorister Robin-Chat",
Cossypha heinrichi,22709840,White-headed Robin-chat,"Angolan Robin-chat, Angola White-headed Robin, White-headed Robin-Chat",
Cossypha heuglini,22709822,White-browed Robin-chat,"Heuglin's Robin, White-browed Robin-Chat",
Cossypha natalensis,22709828,Red-capped Robin-chat,"Red-capped Robin, Red-capped Robin-Chat",
Cossypha niveicapilla,22709847,Snowy-crowned Robin-chat,"Snowy-crowned Robin-Chat, Snowy-headed Robin-Chat",
Cossypha semirufa,22709815,Rüppell's Robin-Chat,"Rueppell's Robin-chat, Rueppell's Robin-Chat, Rüppell's Robin-chat",
Cossyphicula isabellae,22709763,Mountain Robin-chat,"Cameroon Mountain Robin, Mountain Robin, Mountain Robin-Chat","Cossypha isabellae, Oreocossypha isabellae"
Cossyphicula roberti,22709770,White-bellied Robin-chat,White-bellied Robin-Chat,Cossypha roberti roberti
Cotinga amabilis,22700871,Lovely Cotinga,,
Cotinga cayana,22700891,Spangled Cotinga,,
Cotinga cotinga,22700883,Purple-breasted Cotinga,,
Cotinga maculata,22700886,Banded Cotinga,Spotted Cotinga,
Cotinga maynana,22700880,Plum-throated Cotinga,,
Cotinga nattererii,22700877,Blue Cotinga,,
Cotinga ridgwayi,22700874,Turquoise Cotinga,,
Coturnicops exquisitus,22692270,Swinhoe's Rail,"Asian Yellow Rail, Siberian Crake",
Coturnicops notatus,22692278,Speckled Rail,Speckled Crake,
Coturnicops noveboracensis,22692275,Yellow Rail,,
Coturnix coromandelica,22678958,Rain Quail,,
Coturnix coturnix,22678944,Common Quail,Quail,
Coturnix delegorguei,22678961,Harlequin Quail,,
Coturnix japonica,22678949,Japanese Quail,,
Coturnix novaezelandiae,22678955,New Zealand Quail,,
Coturnix pectoralis,22678952,Stubble Quail,,
Coua caerulea,22684188,Blue Coua,,
Coua coquereli,22684152,Coquerel's Coua,,
Coua cristata,22725453,Crested Coua,,
Coua cursor,22684164,Running Coua,,
Coua delalandei,22684143,Snail-eating Coua,Delalande's Coua,
Coua gigas,22684148,Giant Coua,,
Coua olivaceiceps,22725447,Olive-capped Coua,,
Coua pyropyga,22725463,Chestnut-vented Coua,,
Coua reynaudii,22684160,Red-fronted Coua,,
Coua ruficeps,22725437,Red-capped Coua,,
Coua serriana,22684156,Red-breasted Coua,,
Coua verreauxi,22684184,Verreaux's Coua,,
Cracticus argenteus,103703525,Silver-backed Butcherbird,,
Cracticus cassicus,22706276,Hooded Butcherbird,,
Cracticus louisiadensis,22706279,Tagula Butcherbird,,
Cracticus mentalis,22706270,Black-backed Butcherbird,,
Cracticus nigrogularis,22706282,Pied Butcherbird,,
Cracticus torquatus,103703460,Grey Butcherbird,,
Cranioleuca albicapilla,22702448,Creamy-crested Spinetail,,
Cranioleuca albiceps,22702441,Light-crowned Spinetail,,
Cranioleuca antisiensis,22702411,Line-cheeked Spinetail,Fraser's Spinetail,
Cranioleuca baroni,22729209,Baron's Spinetail,,
Cranioleuca berlepschi,22702591,Russet-mantled Softtail,,Thripophaga berlepschi
Cranioleuca curtata,22702420,Ash-browed Spinetail,,
Cranioleuca demissa,22702423,Tepui Spinetail,,
Cranioleuca dissita,22702451,Coiba Spinetail,,
Cranioleuca erythrops,22702408,Red-faced Spinetail,,
Cranioleuca hellmayri,22702426,Streak-capped Spinetail,,
Cranioleuca henricae,22724592,Bolivian Spinetail,Inquisivi Spinetail,
Cranioleuca marcapatae,103674421,Marcapata Spinetail,,
Cranioleuca muelleri,22702461,Scaled Spinetail,,
Cranioleuca obsoleta,22702435,Olive Spinetail,,
Cranioleuca pallida,22702417,Pallid Spinetail,,
Cranioleuca pyrrhophia,22702432,Stripe-crowned Spinetail,,
Cranioleuca semicinerea,22702444,Grey-headed Spinetail,Gray-headed Spinetail,
Cranioleuca subcristata,22702429,Crested Spinetail,,
Cranioleuca sulphurifera,22702467,Sulphur-throated Spinetail,Sulphur-bearded Spinetail,
Cranioleuca vulpecula,22733869,Parker's Spinetail,,
Cranioleuca vulpina,103674933,Rusty-backed Spinetail,,Synallaxis vulpina
Cranioleuca weskei,103674478,Vilcabamba Spinetail,,
Crax alberti,22678525,Blue-billed Curassow,Blue-knobbed Curassow,
Crax alector,22678534,Black Curassow,,
Crax blumenbachii,22678544,Red-billed Curassow,"Mutum, Red-knobbed Curassow",
Crax daubentoni,22678530,Yellow-knobbed Curassow,,
Crax fasciolata,45092100,Bare-faced Curassow,,
Crax globulosa,22678537,Wattled Curassow,,
Crax pinima,45092131,Belem Curassow,,
Crax rubra,22678521,Great Curassow,,
Creagrus furcatus,22694493,Swallow-tailed Gull,,
Creatophora cinerea,22710832,Wattled Starling,,
Creurgops dentatus,22722366,Slaty Tanager,,Creurgops dentata
Creurgops verticalis,22722363,Rufous-crested Tanager,,
Crex crex,22692543,Corncrake,Corn Crake,
Crex egregia,22692539,African Crake,,Crecopsis egregia
Crinifer piscator,22688415,Western Plantain-eater,,
Crinifer zonurus,22688420,Eastern Plantain-eater,,
Criniferoides leucogaster,22688410,White-bellied Go-away-bird,White-bellied Go-away Bird,Corythaixoides leucogaster
Criniger barbatus,22713109,Western Bearded Greenbul,"Bearded Bulbul, Bearded Greenbul",
Criniger calurus,22713120,Red-tailed Greenbul,Red-tailed Bulbul,
Criniger chloronotus,22713115,Eastern Bearded Greenbul,Green-backed Bulbul,
Criniger ndussumensis,22713131,White-bearded Greenbul,White-bearded Bulbul,
Criniger olivaceus,22713125,Yellow-bearded Greenbul,Yellow-bearded Bulbul,
Crithagra albogularis,22720210,White-throated Canary,,Serinus albogularis
Crithagra ankoberensis,22720246,Ankober Serin,,Serinus ankoberensis
Crithagra atrogularis,22731333,Black-throated Canary,"Black-throated Seedeater, Southern Yellow-rumped Seedeater",Serinus atrogularis
Crithagra buchanani,22720191,Southern Grosbeak-canary,"Kenya Grosbeak-canary, Kenya Grosbeak-Canary",Serinus buchanani
Crithagra burtoni,22720267,Thick-billed Seedeater,,Serinus burtoni
Crithagra canicapilla,103761640,West African Seedeater,,
Crithagra capistrata,22720105,Black-faced Canary,,Serinus capistratus
Crithagra citrinelloides,22720084,Abyssinian Citril,African Citril,Serinus citrinelloides
Crithagra citrinipectus,22720176,Lemon-breasted Canary,Lemon-breasted Seedeater,Serinus citrinipectus
Crithagra concolor,22720310,Sao Tome Grosbeak,"Sao Tome Canary, São Tomé Canary, Sao Tome Goldfinch, Sao Tomé Grosbeak, São Tomé Grosbeak",Neospiza concolor
Crithagra donaldsoni,22720185,Northern Grosbeak-canary,"Abyssinian Grosbeak-Canary, Ethiopian Grosbeak-canary",Serinus donaldsoni
Crithagra dorsostriata,22720197,White-bellied Canary,,Serinus dorsostriatus
Crithagra flavigula,22720127,Yellow-throated Seedeater,Yellow-throated Serin,Serinus flavigula
Crithagra flaviventris,22720201,Yellow Canary,,Serinus flaviventris
Crithagra frontalis,22720091,Yellow-browed Citril,Western Citril,Serinus frontalis
Crithagra gularis,103762276,Streaky-headed Seedeater,,
Crithagra hyposticta,22720098,East African Citril,Grey-faced Citril,Serinus hypostictus
Crithagra koliensis,22720109,Papyrus Canary,,Serinus koliensis
Crithagra leucoptera,22720283,Protea Canary,White-winged Seedeater,Serinus leucopterus
Crithagra leucopygia,22720117,White-rumped Seedeater,White-rumped Serin,Serinus leucopygius
Crithagra melanochroa,22720278,Kipengere Seedeater,,Serinus melanochrous
Crithagra menachensis,22720241,Yemen Serin,,Serinus menachensis
Crithagra mennelli,22720231,Black-eared Seedeater,Black-eared Seed-eater,Serinus mennelli
Crithagra mozambica,22720181,Yellow-fronted Canary,,Serinus mozambicus
Crithagra reichardi,103761856,Reichard's Seedeater,,
Crithagra reichenowi,22720154,Reichenow's Seedeater,Kenya Yellow-rumped Seedeater,Serinus reichenowi
Crithagra rothschildi,22720122,Arabian Serin,"Arabian Canary, Olive-rumped Serin",Serinus rothschildi
Crithagra rufobrunnea,22720272,Principe Seedeater,"Príncipe Seedeater, Príncipe Seed-eater",Serinus rufobrunneus
Crithagra scotops,22720113,Forest Canary,,Serinus scotops
Crithagra striatipectus,103761521,Stripe-breasted Seedeater,,
Crithagra striolata,22731359,Streaky Seedeater,,Serinus striolatus
Crithagra sulphurata,22720205,Brimstone Canary,Bully Canary,Serinus sulphuratus
Crithagra symonsi,22720292,Drakensberg Siskin,,Serinus symonsi
Crithagra totta,22720288,Cape Siskin,,Serinus totta
Crithagra tristriata,22720236,Brown-rumped Seedeater,Brown-rumped Seed-eater,Serinus tristriatus
Crithagra xantholaema,22720132,Salvadori's Seedeater,Salvadori's Serin,"Serinus xantholaema xantholaema, Serinus xantholaemus"
Crithagra xanthopygia,22720147,Yellow-rumped Seedeater,Yellow-rumped Serin,Serinus xanthopygius
Crossleyia tenebrosa,22713021,Dusky Tetraka,Dusky Greenbul,"Phyllastrephus tenebrosus tenebrosus, Bernieria tenebrosus, Bernieria tenebrosa"
Crossleyia xanthophrys,22716767,Madagascar Yellowbrow,Yellow-browed Oxylabes,
Crossoptilon auritum,22679307,Blue Eared-pheasant,"Blue Eared Pheasant, Blue Eared-Pheasant",
Crossoptilon crossoptilon,22679292,White Eared-pheasant,"White Eared Pheasant, White Eared-Pheasant",
Crossoptilon harmani,22679287,Tibetan Eared-pheasant,"Tibetan Eared Pheasant, Tibetan Eared-Pheasant",
Crossoptilon mantchuricum,22679299,Brown Eared-pheasant,"Brown Eared Pheasant, Brown Eared-Pheasant, Manchurian Eared-pheasant",
Crotophaga ani,22684434,Smooth-billed Ani,,
Crotophaga major,22684431,Greater Ani,,
Crotophaga sulcirostris,22684438,Groove-billed Ani,,
Crypsirina cucullata,22705858,Hooded Treepie,Hooded Racket-tailed Treepie,
Crypsirina temia,22705855,Racquet-tailed Treepie,Racket-tailed Treepie,
Cryptillas victorini,22714510,Victorin's Warbler,"Victorin's Scrub-warbler, Victorin's Scrub-Warbler",Bradypterus victorini
Cryptoleucopteryx plumbea,22695732,Plumbeous Hawk,,"Leucopternis plumbea, Leucopternis plumbeus"
Cryptolybia olivacea,22681732,Green Barbet,,Stactolaema olivacea
Cryptomicroeca flaviventris,22704857,Yellow-bellied Robin,,Eopsaltria flaviventris
Cryptophaps poecilorrhoa,22691847,Sombre Pigeon,,
Cryptopipo holochlora,103676429,Green Manakin,,
Cryptopipo litae,103676467,Choco Manakin,,
Cryptospiza jacksoni,22719369,Dusky Crimsonwing,Dusky Crimson-wing,
Cryptospiza reichenovii,22719359,Red-faced Crimsonwing,Red-faced Crimson-wing,
Cryptospiza salvadorii,22719364,Abyssinian Crimsonwing,Abyssinian Crimson-wing,
Cryptospiza shelleyi,22719374,Shelley's Crimsonwing,Shelley's Crimson-wing,
Cryptosylvicola randrianasoloi,22724439,Cryptic Warbler,,
Crypturellus atrocapillus,22678220,Black-capped Tinamou,,
Crypturellus bartletti,22678229,Bartlett's Tinamou,,
Crypturellus berlepschi,22678163,Berlepsch's Tinamou,,
Crypturellus boucardi,22678191,Slaty-breasted Tinamou,,
Crypturellus brevirostris,22678226,Rusty Tinamou,,
Crypturellus casiquiare,22678235,Barred Tinamou,,
Crypturellus cinereus,22678166,Cinereous Tinamou,,
Crypturellus cinnamomeus,22678179,Thicket Tinamou,,
Crypturellus duidae,22678213,Grey-legged Tinamou,Gray-legged Tinamou,
Crypturellus erythropus,22729569,Red-legged Tinamou,,
Crypturellus kerriae,22678194,Choco Tinamou,Chocó Tinamou,
Crypturellus noctivagus,22678217,Yellow-legged Tinamou,,
Crypturellus obsoletus,22678176,Brown Tinamou,,
Crypturellus parvirostris,22678232,Small-billed Tinamou,,
Crypturellus ptaritepui,22678172,Tepui Tinamou,Tepuí Tinamou,
Crypturellus soui,22678169,Little Tinamou,,
Crypturellus strigulosus,22678188,Brazilian Tinamou,,
Crypturellus tataupa,22678238,Tataupa Tinamou,,
Crypturellus transfasciatus,22678185,Pale-browed Tinamou,,
Crypturellus undulatus,22678182,Undulated Tinamou,,
Crypturellus variegatus,22678223,Variegated Tinamou,,
Cuculus canorus,22683873,Common Cuckoo,"Cuckoo, European Cuckoo",
Cuculus clamosus,22683866,Black Cuckoo,,
Cuculus crassirostris,22683827,Sulawesi Cuckoo,Sulawesi Hawk-Cuckoo,
Cuculus gularis,22683879,African Cuckoo,African Grey Cuckoo,
Cuculus lepidus,22734726,Sunda Cuckoo,Sunda Lesser Cuckoo,
Cuculus micropterus,22683870,Indian Cuckoo,,
Cuculus optatus,22734721,Oriental Cuckoo,,Cuculus saturatus
Cuculus poliocephalus,22683889,Lesser Cuckoo,,
Cuculus rochii,22683893,Madagascar Cuckoo,Madagascar Lesser Cuckoo,
Cuculus saturatus,22734715,Himalayan Cuckoo,Oriental Cuckoo,
Cuculus solitarius,22683862,Red-chested Cuckoo,,
Culicicapa ceylonensis,22709596,Grey-headed Canary-flycatcher,Grey-headed Canary-Flycatcher,
Culicicapa helianthea,22709600,Citrine Canary-flycatcher,Citrine Canary-Flycatcher,
Culicivora caudacuta,22699415,Sharp-tailed Tyrant,"Sharp-tailed Grass Tyrant, Sharp-tailed Grass-Tyrant",
Curaeus curaeus,22724271,Austral Blackbird,,
Curruca balearica,22734798,Balearic Warbler,,Sylvia balearica
Curruca boehmi,22716883,Banded Warbler,Banded Parisoma,"Sylvia boehmi, Parisoma Boehmi"
Curruca buryi,22716864,Yemen Warbler,Arabian Tit-Warbler,"Sylvia buryi, Parisoma buryi"
Curruca cantillans,103874024,Subalpine Warbler,,"Sylvia cantillans, Motacilla (cantillans)"
Curruca communis,22716910,Common Whitethroat,"Greater Whitethroat, Whitethroat",Sylvia communis
Curruca conspicillata,22716976,Spectacled Warbler,,Sylvia conspicillata
Curruca crassirostris,22734793,Eastern Orphean Warbler,,Sylvia crassirostris
Curruca curruca,22734992,Lesser Whitethroat,,"Sylvia althaea, Sylvia minula, Sylvia curruca, Motacilla Curruca"
Curruca deserti,22734413,African Desert Warbler,,"Sylvia deserti, Stoparola Deserti"
Curruca deserticola,22716980,Tristram's Warbler,,Sylvia deserticola
Curruca hortensis,22735012,Western Orphean Warbler,,"Sylvia hortensis, Motacilla hortensis"
Curruca layardi,22716888,Layard's Warbler,Layard's Tit-babbler,"Sylvia layardi, Parisoma layardi"
Curruca leucomelaena,22716949,Arabian Warbler,Red Sea Warbler,Sylvia leucomelaena
Curruca lugens,22716878,Brown Warbler,Brown Parisoma,Sylvia lugens
Curruca melanocephala,22716959,Sardinian Warbler,,Sylvia melanocephala
Curruca melanothorax,22716963,Cyprus Warbler,,Sylvia melanothorax
Curruca mystacea,22716971,Menetries's Warbler,Ménétries's Warbler,Sylvia mystacea
Curruca nana,103872996,Asian Desert Warbler,,Sylvia nana
Curruca nisoria,22716937,Barred Warbler,European Barred Warbler,"Sylvia nisoria, Motacilla nisoria"
Curruca ruppeli,22716954,Rüppell's Warbler,Rueppell's Warbler,Sylvia ruppeli
Curruca sarda,22735017,Marmora's Warbler,,Sylvia sarda
Curruca subalpina,22735596,Moltoni's Warbler,,Sylvia subalpina
Curruca subcoerulea,22716893,Chestnut-vented Warbler,"Rufous-vented Warbler, Tit-babbler","Sylvia subcaeruleum subcaeruleum, Sylvia subcoerulea"
Curruca undata,22716984,Dartford Warbler,,"Sylvia undata, Motacilla undata"
Cursorius coromandelicus,22694124,Indian Courser,,
Cursorius cursor,22735845,Cream-coloured Courser,,
Cursorius rufus,22694116,Burchell's Courser,,
Cursorius somalensis,22732297,Somali Courser,,
Cursorius temminckii,22694120,Temminck's Courser,,
Cutia legalleni,22734578,Vietnamese Cutia,,
Cutia nipalensis,22735167,Himalayan Cutia,,
Cyanerpes caeruleus,22723009,Purple Honeycreeper,,
Cyanerpes cyaneus,22723012,Red-legged Honeycreeper,,
Cyanerpes lucidus,22723006,Shining Honeycreeper,,
Cyanerpes nitidus,22723003,Short-billed Honeycreeper,,
Cyanicterus cyanicterus,22722555,Blue-backed Tanager,,
Cyanistes caeruleus,103761667,Eurasian Blue Tit,,Parus caeruleus
Cyanistes cyanus,22735985,Azure Tit,,Parus cyanus
Cyanistes teneriffae,103761672,African Blue Tit,,
Cyanochen cyanoptera,22679961,Blue-winged Goose,,Cyanochen cyanopterus
Cyanocitta cristata,22705611,Blue Jay,,
Cyanocitta stelleri,22705614,Steller's Jay,,
Cyanocompsa parellina,22723926,Blue Bunting,,Passerina parellina parellina
Cyanocorax affinis,22705723,Black-chested Jay,,
Cyanocorax beecheii,22705699,Purplish-backed Jay,,Cissilopha beecheii beecheii
Cyanocorax cayanus,22705720,Cayenne Jay,,
Cyanocorax chrysops,22705729,Plush-crested Jay,,
Cyanocorax coeruleus,22705708,Azure Jay,,Cyanocorax caeruleus
Cyanocorax colliei,22705756,Black-throated Magpie-jay,Black-throated Magpie-Jay,Calocitta colliei
Cyanocorax cristatellus,22705714,Curl-crested Jay,,
Cyanocorax cyanomelas,22705705,Purplish Jay,,
Cyanocorax cyanopogon,22705732,White-naped Jay,,
Cyanocorax dickeyi,22705726,Tufted Jay,,
Cyanocorax formosus,22705760,White-throated Magpie-jay,White-throated Magpie-Jay,Calocitta formosa
Cyanocorax hafferi,103728087,Campina Jay,,
Cyanocorax heilprini,22705717,Azure-naped Jay,,
Cyanocorax melanocyaneus,22705681,Bushy-crested Jay,,Cissilopha melanocyaneus melanocyaneus
Cyanocorax morio,22705742,Brown Jay,,"Psilorhinus morio morio, Cyanocorax morio, Psilorhinus morio"
Cyanocorax mystacalis,22705735,White-tailed Jay,,
Cyanocorax sanblasianus,22705687,San Blas Jay,,Cissilopha sanblasianus sanblasianus
Cyanocorax violaceus,22705711,Violaceous Jay,,
Cyanocorax yncas,22705738,Green Jay,Inca Jay,
Cyanocorax yucatanicus,22705693,Yucatan Jay,,Cissilopha yucatanicus yucatanicus
Cyanoderma bicolor,103895765,Grey-hooded Babbler,,
Cyanoderma chrysaeum,22716193,Golden Babbler,,Stachyris chrysaea
Cyanoderma erythropterum,103895665,Chestnut-winged Babbler,,
Cyanoderma melanothorax,22716283,Crescent-chested Babbler,,Stachyris melanothorax
Cyanoderma pyrrhops,22716190,Black-chinned Babbler,,Stachyris pyrrhops
Cyanoderma ruficeps,22716187,Rufous-capped Babbler,,Stachyris ruficeps
Cyanoderma rufifrons,103895265,Rufous-fronted Babbler,,Cyanoderma ambigua
Cyanograucalus azureus,22706548,Blue Cuckooshrike,Blue Cuckoo-shrike,Coracina azurea
Cyanolanius comorensis,103703653,Comoro Blue Vanga,,
Cyanolanius madagascarinus,103703584,Madagascar Blue Vanga,,
Cyanolimnas cerverai,22692737,Zapata Rail,,
Cyanoliseus patagonus,22685779,Burrowing Parrot,,
Cyanoloxia brissonii,22723932,Ultramarine Grosbeak,,"Passerina brissonii, Passerina brissonii brissonii, Cyanocompsa brissonii"
Cyanoloxia cyanoides,103810895,Blue-black Grosbeak,,
Cyanoloxia glaucocaerulea,22723912,Glaucous-blue Grosbeak,Indigo Grosbeak,"Passerina glaucocaerulea, Passerina glaucocaerulea glaucocaerulea"
Cyanoloxia rothschildii,103810991,Amazonian Grosbeak,,
Cyanolyca argentigula,22705678,Silvery-throated Jay,,
Cyanolyca armillata,103727626,Black-collared Jay,,
Cyanolyca cucullata,22705663,Azure-hooded Jay,,
Cyanolyca mirabilis,22705675,White-throated Jay,,
Cyanolyca nanus,22705672,Dwarf Jay,,Cyanolyca nana
Cyanolyca pulchra,22705666,Beautiful Jay,,
Cyanolyca pumilo,22705669,Black-throated Jay,,
Cyanolyca quindiuna,103727711,Quindio Jay,,
Cyanolyca turcosa,22705649,Turquoise Jay,,
Cyanolyca viridicyanus,22705652,White-collared Jay,,Cyanolyca viridicyana viridicyana
Cyanomitra alinae,22717733,Blue-headed Sunbird,Ruwenzori Blue-headed Sunbird,Nectarinia alinae
Cyanomitra bannermani,22717742,Bannerman's Sunbird,,Nectarinia bannermani
Cyanomitra cyanolaema,22717746,Blue-throated Brown Sunbird,,Nectarinia cyanolaema
Cyanomitra olivacea,22717691,Olive Sunbird,,Nectarinia olivacea
Cyanomitra oritis,22717728,Cameroon Sunbird,Cameroon Blue-headed Sunbird,Nectarinia oritis
Cyanomitra verreauxii,22717699,Mouse-coloured Sunbird,"Grey Sunbird, Mouse-colored Sunbird",Nectarinia veroxii
Cyanomitra verticalis,22717738,Green-headed Sunbird,,Nectarinia verticalis
Cyanopica cooki,22732302,Iberian Azure-winged Magpie,Iberian Magpie,
Cyanopica cyanus,103721987,Asian Azure-winged Magpie,,
Cyanopsitta spixii,22685533,Spix's Macaw,Little Blue Macaw,
Cyanoptila cumatilis,103758091,Zappey's Flycatcher,,
Cyanoptila cyanomelana,103758039,Blue-and-white Flycatcher,,
Cyanoramphus auriceps,22685175,Yellow-fronted Parakeet,"Yellow-crowned Kakariki, Yellow-crowned Parakeet, Yellow-fronted Kakariki",
Cyanoramphus forbesi,22724553,Chatham Islands Parakeet,"Chatham Parakeet, Forbes’ Parakeet, Forbes’s Parakeet",
Cyanoramphus malherbi,22724562,Malherbe's Parakeet,Orange-fronted Parakeet,
Cyanoramphus novaezelandiae,22727981,Red-fronted Parakeet,Red-crowned Parakeet,"Cyanoramphus cookii, Cyanoramphus saisseti"
Cyanoramphus ulietanus,22728673,Raiatea Parakeet,,
Cyanoramphus unicolor,22685162,Antipodes Parakeet,"Antipodes Green Parakeet, Antipodes Island Parakeet",
Cyanoramphus zealandicus,22685182,Black-fronted Parakeet,,
Cyclarhis gujanensis,22705124,Rufous-browed Peppershrike,,
Cyclarhis nigrirostris,22705127,Black-billed Peppershrike,,
Cyclopsitta amabilis,22725373,Creamy-breasted Fig-parrot,,
Cyclopsitta coxeni,22727593,Coxen's Fig-parrot,,
Cyclopsitta diophthalma,22727581,Double-eyed Fig-parrot,"Double-eyed Fig Parrot, Double-eyed Fig-Parrot",
Cyclopsitta gulielmitertii,22725355,Blue-fronted Fig-parrot,"Orange-breasted Fig-parrot, Orange-breasted Fig Parrot, Orange-breasted Fig-Parrot",
Cyclopsitta melanogenia,22725367,Dusky-cheeked Fig-parrot,,
Cyclopsitta nigrifrons,45420837,Black-fronted Fig-parrot,,
Cygnus atratus,22679843,Black Swan,,
Cygnus buccinator,22679859,Trumpeter Swan,,
Cygnus columbianus,22679862,Tundra Swan,Bewick's Swan,
Cygnus cygnus,22679856,Whooper Swan,,
Cygnus melancoryphus,22679846,Black-necked Swan,,"Cygnus melanocorypha melanocorypha, Cygnus melanocoryphus"
Cygnus olor,22679839,Mute Swan,,
Cymbilaimus lineatus,22701223,Fasciated Antshrike,,
Cymbilaimus sanctaemariae,22701226,Bamboo Antshrike,,
Cymbirhynchus affinis,103656924,Irrawaddy Broadbill,,
Cymbirhynchus macrorhynchos,103656920,Black-and-red Broadbill,,
Cynanthus auriceps,22729031,Golden-crowned Emerald,,Chlorostilbon auriceps
Cynanthus canivetii,22687304,Canivet's Emerald,,Chlorostilbon canivetii
Cynanthus doubledayi,22725775,Turquoise-crowned Hummingbird,,
Cynanthus forficatus,22724454,Cozumel Emerald,,Chlorostilbon forficatus
Cynanthus latirostris,22725767,Broad-billed Hummingbird,,
Cynanthus lawrencei,22726267,Tres Marias Hummingbird,,
Cyornis banyumas,216915083,Javan Blue-flycatcher,,
Cyornis brunneatus,103761460,Brown-chested Jungle-flycatcher,,
Cyornis caerulatus,22709558,Large-billed Blue-flycatcher,"Large-billed Blue-Flycatcher, Sunda Blue Flycatcher",Niltava caerulata caerulata
Cyornis camarinensis,103761646,Rufous-breasted Blue-flycatcher,,
Cyornis colonus,22709166,Henna-tailed Jungle-flycatcher,"Henna-tailed Jungle Flycatcher, Henna-tailed Jungle-Flycatcher, Sulawesi Jungle-flycatcher",Rhinomyias colonus
Cyornis concretus,22709499,White-tailed Flycatcher,,
Cyornis djampeanus,103762270,Tanahjampea Blue-flycatcher,,
Cyornis glaucicomans,103762252,Chinese Blue-flycatcher,,
Cyornis hainanus,22709514,Hainan Blue-flycatcher,"Hainan Blue Flycatcher, Hainan Blue-Flycatcher",
Cyornis herioti,103761568,Blue-breasted Blue-flycatcher,,
Cyornis kadayangensis,216557368,Meratus Blue-flycatcher,,
Cyornis lemprieri,22709548,Palawan Blue-flycatcher,"Palawan Blue Flycatcher, Palawan Blue-Flycatcher",
Cyornis magnirostris,22735904,Large Blue-flycatcher,,
Cyornis montanus,216915119,Dayak Blue-flycatcher,,
Cyornis nicobaricus,103761482,Nicobar Jungle-flycatcher,,
Cyornis olivaceus,22709147,Fulvous-chested Jungle-flycatcher,"Fulvous-chested Jungle Flycatcher, Fulvous-chested Jungle-Flycatcher","Rhinomyias olivacea, Rhinomyias olivaceus"
Cyornis omissus,22709586,Sulawesi Blue-flycatcher,"Sulawesi Blue Flycatcher, Sulawesi Blue-Flycatcher",
Cyornis pallidipes,22709519,White-bellied Blue-flycatcher,"White-bellied Blue Flycatcher, White-bellied Blue-Flycatcher",Niltava pallipes
Cyornis poliogenys,22709527,Pale-chinned Flycatcher,"Pale-chinned Blue-flycatcher, Pale-chinned Blue Flycatcher, Pale-chinned Blue-Flycatcher",
Cyornis rubeculoides,103761873,Blue-throated Blue-flycatcher,,
Cyornis ruckii,22709502,Rück's Blue-flycatcher,"Rueck's Blue-flycatcher, Rueck's Blue-Flycatcher, Rueck's Niltava",Cyornis ruecki
Cyornis ruficauda,22709161,Rufous-tailed Jungle-flycatcher,"Rufous-tailed Jungle Flycatcher, Rufous-tailed Jungle-Flycatcher",Rhinomyias ruficauda
Cyornis rufigastra,103762260,Mangrove Blue-flycatcher,,
Cyornis sumatrensis,103761859,Indochinese Blue-flycatcher,,
